Sample	Total_Reads_1	Total_Reads_2	Not_Truncated_Reads_1	Not_Truncated_Reads_2	Truncated_Read_1	Truncated_Read_2	Average_Length_Truncated_1	Average_Length_Truncated_2	Too_Short_To_Map_Read_1	Too_Short_To_Map_Read_2	Unique_Alignments_Read_1	Unique_Alignments_Read_2	Multiple_Alignments_Read_1	Multiple_Alignments_Read_2	Failed_To_Align_Read_1	Failed_To_Align_Read_2	Paired_Read_1	Paired_Read_2	Valid_Pairs	Invalid_Pairs	Same_Circularised	Same_Dangling_Ends	Same_Fragment_Internal	Re_Ligation	Contiguous_Sequence	Wrong_Size	Deduplication_Read_Pairs_Uniques	Deduplication_Cis_Close_Uniques	Deduplication_Cis_Far_Uniques	Deduplication_Trans_Uniques	Percentage_Mapped	Percentage_Valid	Percentage_Uniques	Percentage_Unique_Trans	Percentage_Ditags_Passed_Through_HiCUP	Duplicate_Read_Pairs
a19121_L002	182753562.0	182753562.0	74213376.0	75466616.0	108540186.0	107286946.0	74.03	74.41	6986550.0	6724074.0	146961278.0	145414078.0	25854438.0	26745595.0	2951296.0	3869815.0	119075342.0	119075342.0	117407756.0	1667586.0	139524.0	456957.0	615921.0	455184.0	0.0	0.0	103156068.0	2031438.0	42328581.0	58796049.0	65.16	98.6	87.86	57.0	56.45	14251688.0
a19121_L003	178161839.0	178161839.0	72468171.0	73708523.0	105693668.0	104453316.0	74.05	74.39	6803017.0	6550062.0	142914886.0	141332406.0	25321186.0	26155428.0	3122750.0	4123943.0	115523925.0	115523925.0	113886813.0	1637112.0	135565.0	447056.0	604800.0	449691.0	0.0	0.0	100041606.0	1972431.0	41175987.0	56893188.0	64.84	98.58	87.84	56.87	56.15	13845207.0
a19121_L004	180669809.0	180669809.0	73522580.0	74644572.0	107147229.0	106025237.0	74.04	74.42	6905588.0	6644230.0	144764159.0	143343094.0	25745574.0	26570392.0	3254488.0	4112093.0	117038078.0	117038078.0	115352133.0	1685945.0	138861.0	456647.0	627232.0	463205.0	0.0	0.0	101390054.0	2001089.0	41692222.0	57696743.0	64.78	98.56	87.9	56.91	56.12	13962079.0
a3023_L001	182309600.0	182309600.0	82881274.0	84070172.0	99428326.0	98239428.0	75.53	75.88	5994432.0	5774577.0	147605800.0	145999610.0	25418484.0	26257601.0	3290884.0	4277812.0	120687962.0	120687962.0	118504687.0	2183275.0	137025.0	539034.0	848590.0	658626.0	0.0	0.0	104384546.0	2614644.0	46178680.0	55591222.0	66.2	98.19	88.08	53.26	57.26	14120141.0
a3023_L002	182753824.0	182753824.0	83549539.0	84826434.0	99204285.0	97927390.0	75.57	75.89	5982950.0	5750897.0	148041229.0	146179859.0	25450019.0	26440057.0	3279626.0	4383011.0	120906574.0	120906574.0	118726543.0	2180031.0	134459.0	537909.0	844720.0	662943.0	0.0	0.0	104408111.0	2612323.0	46088094.0	55707694.0	66.16	98.2	87.94	53.36	57.13	14318432.0
a3023_L003	177564383.0	177564383.0	81247597.0	82561164.0	96316786.0	95003219.0	75.57	75.87	5806290.0	5587484.0	143469651.0	141540487.0	24867531.0	25772569.0	3420911.0	4663843.0	116855931.0	116855931.0	114722204.0	2133727.0	131029.0	522015.0	829520.0	651163.0	0.0	0.0	100921969.0	2531060.0	44662066.0	53728843.0	65.81	98.17	87.97	53.24	56.84	13800235.0
a3023_L004	180089422.0	180089422.0	82413637.0	83612418.0	97675785.0	96477004.0	75.57	75.9	5892716.0	5667845.0	145353514.0	143639371.0	25292234.0	26159512.0	3550958.0	4622694.0	118455243.0	118455243.0	116265300.0	2189943.0	133661.0	534840.0	854570.0	666872.0	0.0	0.0	102316365.0	2566751.0	45232388.0	54517226.0	65.78	98.15	88.0	53.28	56.81	13948935.0
a33173_L001	252426433.0	252426433.0	106202112.0	107840307.0	146224321.0	144586126.0	76.33	76.67	8153755.0	7861242.0	205137126.0	203169580.0	34936083.0	36052262.0	4199469.0	5343349.0	168731728.0	168731728.0	166600160.0	2131568.0	150939.0	570039.0	853740.0	556850.0	0.0	0.0	144774360.0	3743976.0	75604672.0	65425712.0	66.84	98.74	86.9	45.19	57.35	21825800.0
a33173_L002	252116377.0	252116377.0	106687286.0	108419410.0	145429091.0	143696967.0	76.36	76.69	8106052.0	7817725.0	204960360.0	202647261.0	34877849.0	36180001.0	4172116.0	5471390.0	168368969.0	168368969.0	166244970.0	2123999.0	148247.0	568025.0	849277.0	558450.0	0.0	0.0	144200617.0	3725207.0	75128529.0	65346881.0	66.78	98.74	86.74	45.32	57.2	22044353.0
a33173_L003	245383314.0	245383314.0	103977654.0	105778225.0	141405660.0	139605089.0	76.36	76.66	7883096.0	7601882.0	198976876.0	196587287.0	34118224.0	35320032.0	4405118.0	5874113.0	163042226.0	163042226.0	160962374.0	2079852.0	143985.0	552128.0	833905.0	549834.0	0.0	0.0	139738125.0	3616689.0	73015626.0	63105810.0	66.44	98.72	86.81	45.16	56.95	21224249.0
a33173_L004	249167286.0	249167286.0	105606124.0	107201236.0	143561162.0	141966050.0	76.35	76.69	8015373.0	7720620.0	201837279.0	199670046.0	34721774.0	35931044.0	4592860.0	5845576.0	165424338.0	165424338.0	163269007.0	2155331.0	148160.0	567902.0	865506.0	573763.0	0.0	0.0	141785500.0	3670808.0	73996906.0	64117786.0	66.39	98.7	86.84	45.22	56.9	21483507.0
a40507_L001	233192800.0	233192800.0	126561809.0	127637498.0	106630991.0	105555302.0	75.54	75.91	6074257.0	5857250.0	178712382.0	176598266.0	33970922.0	35338860.0	14435239.0	15398424.0	142572491.0	142572491.0	117381522.0	25190969.0	1319416.0	8217366.0	12009279.0	3644908.0	0.0	0.0	100139313.0	1628479.0	36796688.0	61714146.0	61.14	82.33	85.31	61.63	42.94	17242209.0
a40507_L002	232100454.0	232100454.0	126330719.0	127505337.0	105769735.0	104595117.0	75.57	75.93	6022501.0	5798935.0	178011029.0	175608661.0	33788087.0	35320011.0	14278837.0	15372847.0	141833229.0	141833229.0	116891035.0	24942194.0	1284500.0	8142128.0	11875769.0	3639797.0	0.0	0.0	99521082.0	1619485.0	36499081.0	61402516.0	61.11	82.41	85.14	61.7	42.88	17369953.0
a40507_L003	227870165.0	227870165.0	124222491.0	125426003.0	103647674.0	102444162.0	75.57	75.9	5906344.0	5682381.0	174326604.0	171895949.0	33331065.0	34742760.0	14306152.0	15549075.0	138599843.0	138599843.0	114028638.0	24571205.0	1266930.0	8017705.0	11715138.0	3571432.0	0.0	0.0	97072686.0	1580462.0	35670637.0	59821587.0	60.82	82.27	85.13	61.63	42.6	16955952.0
