File	Total_Reads_Processed	Truncated	%Truncated	Not_truncated	%Not_truncated	Average_length_truncated_sequence
PCa13848_L001_R1.fastq.gz	158178447	77913186	49.26	80265261	50.74	74.73
PCa13848_L001_R2.fastq.gz	158178447	76876477	48.6	81301970	51.4	75.11
PCa58215_L001_R1.fastq.gz	197101435	111029942	56.33	86071493	43.67	75.66
PCa58215_L001_R2.fastq.gz	197101435	109819403	55.72	87282032	44.28	76.0
PCa57294_L004_R1.fastq.gz	240039388	138677955	57.77	101361433	42.23	76.31
PCa57294_L004_R2.fastq.gz	240039388	137196986	57.16	102842402	42.84	76.67
PCa19121_L001_R1.fastq.gz	182506221	108783250	59.61	73722971	40.39	74.02
PCa19121_L001_R2.fastq.gz	182506221	107638962	58.98	74867259	41.02	74.4
PCa53687_L004_R1.fastq.gz	206608650	92614011	44.83	113994639	55.17	76.37
PCa53687_L004_R2.fastq.gz	206608650	91839270	44.45	114769380	55.55	76.74
PCa33173_L002_R1.fastq.gz	252116377	145429091	57.68	106687286	42.32	76.36
PCa33173_L002_R2.fastq.gz	252116377	143696967	57.0	108419410	43.0	76.69
PCa56413_L002_R1.fastq.gz	203601984	116489531	57.21	87112453	42.79	76.33
PCa56413_L002_R2.fastq.gz	203601984	115428156	56.69	88173828	43.31	76.64
PCa13848_L004_R1.fastq.gz	156690770	76753090	48.98	79937680	51.02	74.77
PCa13848_L004_R2.fastq.gz	156690770	75685348	48.3	81005422	51.7	75.13
PCa33173_L004_R1.fastq.gz	249167286	143561162	57.62	105606124	42.38	76.35
PCa33173_L004_R2.fastq.gz	249167286	141966050	56.98	107201236	43.02	76.69
PCa51852_L004_R2.fastq.gz	301747082	170212648	56.41	131534434	43.59	75.38
PCa51852_L004_R1.fastq.gz	301747082	171889614	56.96	129857468	43.04	75.0
PCa40507_L002_R1.fastq.gz	232100454	105769735	45.57	126330719	54.43	75.57
PCa40507_L002_R2.fastq.gz	232100454	104595117	45.06	127505337	54.94	75.93
PCa3023_L003_R1.fastq.gz	177564383	96316786	54.24	81247597	45.76	75.57
PCa3023_L003_R2.fastq.gz	177564383	95003219	53.5	82561164	46.5	75.87
PCa13848_L003_R1.fastq.gz	154295042	75596738	48.99	78698304	51.01	74.77
PCa13848_L003_R2.fastq.gz	154295042	74402734	48.22	79892308	51.78	75.1
