w	s1	s2	dist
3	PCa53687	PCa57054	0.2931242789286999
3	PCa57054	PCa53687	0.2931242789286999
3	PCa53687	PCa57294	0.28979864161457547
3	PCa57294	PCa53687	0.28979864161457547
3	PCa53687	PCa58215	0.29202848637338386
3	PCa58215	PCa53687	0.29202848637338386
3	PCa56413	PCa57054	0.2729446173133883
3	PCa57054	PCa56413	0.2729446173133883
3	PCa56413	PCa57294	0.28965220143826587
3	PCa57294	PCa56413	0.28965220143826587
3	PCa56413	PCa58215	0.2658133780955473
3	PCa58215	PCa56413	0.2658133780955473
3	PCa57054	PCa57294	0.2847096935097676
3	PCa57294	PCa57054	0.2847096935097676
3	PCa57054	PCa58215	0.2664825277631138
3	PCa58215	PCa57054	0.2664825277631138
3	PCa57294	PCa58215	0.2732349088318212
3	PCa58215	PCa57294	0.2732349088318212
4	PCa13266	PCa13848	0.23157131938355685
4	PCa13848	PCa13266	0.23157131938355685
4	PCa13266	PCa14121	0.24272070070244248
4	PCa14121	PCa13266	0.24272070070244248
4	PCa13266	PCa19121	0.23525569332128643
4	PCa19121	PCa13266	0.23525569332128643
4	PCa13266	PCa3023	0.23576044885564384
4	PCa3023	PCa13266	0.23576044885564384
4	PCa13266	PCa33173	0.1998482877406235
4	PCa33173	PCa13266	0.1998482877406235
4	PCa13266	PCa40507	0.24577331966392083
4	PCa40507	PCa13266	0.24577331966392083
4	PCa13266	PCa51852	0.23735409199024227
4	PCa51852	PCa13266	0.23735409199024227
4	PCa13266	PCa53687	0.24707559359766415
4	PCa53687	PCa13266	0.24707559359766415
4	PCa13266	PCa56413	0.24170609820672767
4	PCa56413	PCa13266	0.24170609820672767
4	PCa13266	PCa57054	0.21920874436304227
4	PCa57054	PCa13266	0.21920874436304227
4	PCa13266	PCa57294	0.23610375323410307
4	PCa57294	PCa13266	0.23610375323410307
4	PCa13266	PCa58215	0.22899881428393548
4	PCa58215	PCa13266	0.22899881428393548
4	PCa13848	PCa14121	0.24486170015836287
4	PCa14121	PCa13848	0.24486170015836287
4	PCa13848	PCa19121	0.2169996264023975
4	PCa19121	PCa13848	0.2169996264023975
4	PCa13848	PCa3023	0.21091805968739777
4	PCa3023	PCa13848	0.21091805968739777
4	PCa13848	PCa33173	0.21079674718475486
4	PCa33173	PCa13848	0.21079674718475486
4	PCa13848	PCa40507	0.24517938016875346
4	PCa40507	PCa13848	0.24517938016875346
4	PCa13848	PCa51852	0.23048245800510883
4	PCa51852	PCa13848	0.23048245800510883
4	PCa13848	PCa53687	0.2507879092510009
4	PCa53687	PCa13848	0.2507879092510009
4	PCa13848	PCa56413	0.22401004402547764
4	PCa56413	PCa13848	0.22401004402547764
4	PCa13848	PCa57054	0.2078030583307406
4	PCa57054	PCa13848	0.2078030583307406
4	PCa13848	PCa57294	0.24249926800812294
4	PCa57294	PCa13848	0.24249926800812294
4	PCa13848	PCa58215	0.21300601161173746
4	PCa58215	PCa13848	0.21300601161173746
4	PCa14121	PCa19121	0.246887147726579
4	PCa19121	PCa14121	0.246887147726579
4	PCa14121	PCa3023	0.23787409406897994
4	PCa3023	PCa14121	0.23787409406897994
4	PCa14121	PCa33173	0.2241523903168176
4	PCa33173	PCa14121	0.2241523903168176
4	PCa14121	PCa40507	0.24828156639874932
4	PCa40507	PCa14121	0.24828156639874932
4	PCa14121	PCa51852	0.2482740059256805
4	PCa51852	PCa14121	0.2482740059256805
4	PCa14121	PCa53687	0.25473724738962866
4	PCa53687	PCa14121	0.25473724738962866
4	PCa14121	PCa56413	0.23963180491255806
4	PCa56413	PCa14121	0.23963180491255806
4	PCa14121	PCa57054	0.2355983495852166
4	PCa57054	PCa14121	0.2355983495852166
4	PCa14121	PCa57294	0.24041108566754898
4	PCa57294	PCa14121	0.24041108566754898
4	PCa14121	PCa58215	0.23041122732917596
4	PCa58215	PCa14121	0.23041122732917596
4	PCa19121	PCa3023	0.21703379986065136
4	PCa3023	PCa19121	0.21703379986065136
4	PCa19121	PCa33173	0.21477541750795576
4	PCa33173	PCa19121	0.21477541750795576
4	PCa19121	PCa40507	0.2443787517605371
4	PCa40507	PCa19121	0.2443787517605371
4	PCa19121	PCa51852	0.22878346046510487
4	PCa51852	PCa19121	0.22878346046510487
4	PCa19121	PCa53687	0.25254835868146863
4	PCa53687	PCa19121	0.25254835868146863
4	PCa19121	PCa56413	0.23147042714673555
4	PCa56413	PCa19121	0.23147042714673555
4	PCa19121	PCa57054	0.21691506535021104
4	PCa57054	PCa19121	0.21691506535021104
4	PCa19121	PCa57294	0.23794691237274906
4	PCa57294	PCa19121	0.23794691237274906
4	PCa19121	PCa58215	0.22698775630020288
4	PCa58215	PCa19121	0.22698775630020288
4	PCa3023	PCa33173	0.2078813750928005
4	PCa33173	PCa3023	0.2078813750928005
4	PCa3023	PCa40507	0.2359634846333284
4	PCa40507	PCa3023	0.2359634846333284
4	PCa3023	PCa51852	0.23382063234258105
4	PCa51852	PCa3023	0.23382063234258105
4	PCa3023	PCa53687	0.24311160312357186
4	PCa53687	PCa3023	0.24311160312357186
4	PCa3023	PCa56413	0.21344277491409908
4	PCa56413	PCa3023	0.21344277491409908
4	PCa3023	PCa57054	0.21106839870473262
4	PCa57054	PCa3023	0.21106839870473262
4	PCa3023	PCa57294	0.24093962141868017
4	PCa57294	PCa3023	0.24093962141868017
4	PCa3023	PCa58215	0.21383607457010395
4	PCa58215	PCa3023	0.21383607457010395
4	PCa33173	PCa40507	0.2286821184800103
4	PCa40507	PCa33173	0.2286821184800103
4	PCa33173	PCa51852	0.2247043386506664
4	PCa51852	PCa33173	0.2247043386506664
4	PCa33173	PCa53687	0.23647908181712413
4	PCa53687	PCa33173	0.23647908181712413
4	PCa33173	PCa56413	0.21951249842953974
4	PCa56413	PCa33173	0.21951249842953974
4	PCa33173	PCa57054	0.19855808217595022
4	PCa57054	PCa33173	0.19855808217595022
4	PCa33173	PCa57294	0.21913316640117214
4	PCa57294	PCa33173	0.21913316640117214
4	PCa33173	PCa58215	0.19983580297512898
4	PCa58215	PCa33173	0.19983580297512898
4	PCa40507	PCa51852	0.24583374021299045
4	PCa51852	PCa40507	0.24583374021299045
4	PCa40507	PCa53687	0.2603898643854262
4	PCa53687	PCa40507	0.2603898643854262
4	PCa40507	PCa56413	0.2369694057078536
4	PCa56413	PCa40507	0.2369694057078536
4	PCa40507	PCa57054	0.2352425040916534
4	PCa57054	PCa40507	0.2352425040916534
4	PCa40507	PCa57294	0.25404557533962224
4	PCa57294	PCa40507	0.25404557533962224
4	PCa40507	PCa58215	0.2373922075220754
4	PCa58215	PCa40507	0.2373922075220754
4	PCa51852	PCa53687	0.2565488680992543
4	PCa53687	PCa51852	0.2565488680992543
4	PCa51852	PCa56413	0.2401430609524896
4	PCa56413	PCa51852	0.2401430609524896
4	PCa51852	PCa57054	0.22781364584472633
4	PCa57054	PCa51852	0.22781364584472633
4	PCa51852	PCa57294	0.24026128477377634
4	PCa57294	PCa51852	0.24026128477377634
4	PCa51852	PCa58215	0.23606751866868134
4	PCa58215	PCa51852	0.23606751866868134
4	PCa53687	PCa56413	0.25161604723515574
4	PCa56413	PCa53687	0.25161604723515574
4	PCa53687	PCa57054	0.24046366015936768
4	PCa57054	PCa53687	0.24046366015936768
4	PCa53687	PCa57294	0.23982160598806201
4	PCa57294	PCa53687	0.23982160598806201
4	PCa53687	PCa58215	0.2376194972440941
4	PCa58215	PCa53687	0.2376194972440941
4	PCa56413	PCa57054	0.22766759940592546
4	PCa57054	PCa56413	0.22766759940592546
4	PCa56413	PCa57294	0.24179069099280562
4	PCa57294	PCa56413	0.24179069099280562
4	PCa56413	PCa58215	0.21791073479583062
4	PCa58215	PCa56413	0.21791073479583062
4	PCa57054	PCa57294	0.23191803900786465
4	PCa57294	PCa57054	0.23191803900786465
4	PCa57054	PCa58215	0.21576804569738833
4	PCa58215	PCa57054	0.21576804569738833
4	PCa57294	PCa58215	0.2270661789001568
4	PCa58215	PCa57294	0.2270661789001568
5	PCa13266	PCa13848	0.21167251032276785
5	PCa13848	PCa13266	0.21167251032276785
5	PCa13266	PCa14121	0.22103849426587846
5	PCa14121	PCa13266	0.22103849426587846
5	PCa13266	PCa19121	0.2125304522863753
5	PCa19121	PCa13266	0.2125304522863753
5	PCa13266	PCa3023	0.2112218076615496
5	PCa3023	PCa13266	0.2112218076615496
5	PCa13266	PCa33173	0.17039727150958456
5	PCa33173	PCa13266	0.17039727150958456
5	PCa13266	PCa40507	0.2163973722377685
5	PCa40507	PCa13266	0.2163973722377685
5	PCa13266	PCa51852	0.20539164613016292
5	PCa51852	PCa13266	0.20539164613016292
5	PCa13266	PCa53687	0.22597613460913213
5	PCa53687	PCa13266	0.22597613460913213
5	PCa13266	PCa56413	0.21704067380615694
5	PCa56413	PCa13266	0.21704067380615694
5	PCa13266	PCa57054	0.20113605034952664
5	PCa57054	PCa13266	0.20113605034952664
5	PCa13266	PCa57294	0.20556774425442081
5	PCa57294	PCa13266	0.20556774425442081
5	PCa13266	PCa58215	0.19788322198063574
5	PCa58215	PCa13266	0.19788322198063574
5	PCa13848	PCa14121	0.22362973120272445
5	PCa14121	PCa13848	0.22362973120272445
5	PCa13848	PCa19121	0.18915449490933364
5	PCa19121	PCa13848	0.18915449490933364
5	PCa13848	PCa3023	0.1866536352089458
5	PCa3023	PCa13848	0.1866536352089458
5	PCa13848	PCa33173	0.18356113917950137
5	PCa33173	PCa13848	0.18356113917950137
5	PCa13848	PCa40507	0.21722194266528552
5	PCa40507	PCa13848	0.21722194266528552
5	PCa13848	PCa51852	0.2029148595971643
5	PCa51852	PCa13848	0.2029148595971643
5	PCa13848	PCa53687	0.22976245437162301
5	PCa53687	PCa13848	0.22976245437162301
5	PCa13848	PCa56413	0.2042247710320778
5	PCa56413	PCa13848	0.2042247710320778
5	PCa13848	PCa57054	0.18786711921202237
5	PCa57054	PCa13848	0.18786711921202237
5	PCa13848	PCa57294	0.22003765474949066
5	PCa57294	PCa13848	0.22003765474949066
5	PCa13848	PCa58215	0.18956380268175588
5	PCa58215	PCa13848	0.18956380268175588
5	PCa14121	PCa19121	0.2174957617118973
5	PCa19121	PCa14121	0.2174957617118973
5	PCa14121	PCa3023	0.21402240591428742
5	PCa3023	PCa14121	0.21402240591428742
5	PCa14121	PCa33173	0.19736310254234143
5	PCa33173	PCa14121	0.19736310254234143
5	PCa14121	PCa40507	0.22210953024500993
5	PCa40507	PCa14121	0.22210953024500993
5	PCa14121	PCa51852	0.21974120921447007
5	PCa51852	PCa14121	0.21974120921447007
5	PCa14121	PCa53687	0.22429111411220196
5	PCa53687	PCa14121	0.22429111411220196
5	PCa14121	PCa56413	0.21133505570320957
5	PCa56413	PCa14121	0.21133505570320957
5	PCa14121	PCa57054	0.20768181725832302
5	PCa57054	PCa14121	0.20768181725832302
5	PCa14121	PCa57294	0.2086210113145924
5	PCa57294	PCa14121	0.2086210113145924
5	PCa14121	PCa58215	0.20256454664749285
5	PCa58215	PCa14121	0.20256454664749285
5	PCa19121	PCa3023	0.1865388081118493
5	PCa3023	PCa19121	0.1865388081118493
5	PCa19121	PCa33173	0.18625751570299764
5	PCa33173	PCa19121	0.18625751570299764
5	PCa19121	PCa40507	0.21676922709013602
5	PCa40507	PCa19121	0.21676922709013602
5	PCa19121	PCa51852	0.1974805279467023
5	PCa51852	PCa19121	0.1974805279467023
5	PCa19121	PCa53687	0.2192474078332301
5	PCa53687	PCa19121	0.2192474078332301
5	PCa19121	PCa56413	0.2023825636443547
5	PCa56413	PCa19121	0.2023825636443547
5	PCa19121	PCa57054	0.18857584827946683
5	PCa57054	PCa19121	0.18857584827946683
5	PCa19121	PCa57294	0.20581837208496978
5	PCa57294	PCa19121	0.20581837208496978
5	PCa19121	PCa58215	0.19325579000679693
5	PCa58215	PCa19121	0.19325579000679693
5	PCa3023	PCa33173	0.18018992421893637
5	PCa33173	PCa3023	0.18018992421893637
5	PCa3023	PCa40507	0.2091451983333287
5	PCa40507	PCa3023	0.2091451983333287
5	PCa3023	PCa51852	0.20754676364853092
5	PCa51852	PCa3023	0.20754676364853092
5	PCa3023	PCa53687	0.21970530985661013
5	PCa53687	PCa3023	0.21970530985661013
5	PCa3023	PCa56413	0.18818776185246225
5	PCa56413	PCa3023	0.18818776185246225
5	PCa3023	PCa57054	0.18561691998164376
5	PCa57054	PCa3023	0.18561691998164376
5	PCa3023	PCa57294	0.2099646223462833
5	PCa57294	PCa3023	0.2099646223462833
5	PCa3023	PCa58215	0.18764550449630732
5	PCa58215	PCa3023	0.18764550449630732
5	PCa33173	PCa40507	0.19925844641459145
5	PCa40507	PCa33173	0.19925844641459145
5	PCa33173	PCa51852	0.19259862775169279
5	PCa51852	PCa33173	0.19259862775169279
5	PCa33173	PCa53687	0.2060623199945468
5	PCa53687	PCa33173	0.2060623199945468
5	PCa33173	PCa56413	0.18836301017136994
5	PCa56413	PCa33173	0.18836301017136994
5	PCa33173	PCa57054	0.1715365202431135
5	PCa57054	PCa33173	0.1715365202431135
5	PCa33173	PCa57294	0.19302230512649865
5	PCa57294	PCa33173	0.19302230512649865
5	PCa33173	PCa58215	0.17078491213246716
5	PCa58215	PCa33173	0.17078491213246716
5	PCa40507	PCa51852	0.21708247331261954
5	PCa51852	PCa40507	0.21708247331261954
5	PCa40507	PCa53687	0.2310911580596329
5	PCa53687	PCa40507	0.2310911580596329
5	PCa40507	PCa56413	0.21073936030700222
5	PCa56413	PCa40507	0.21073936030700222
5	PCa40507	PCa57054	0.20851427190282218
5	PCa57054	PCa40507	0.20851427190282218
5	PCa40507	PCa57294	0.22523237667950513
5	PCa57294	PCa40507	0.22523237667950513
5	PCa40507	PCa58215	0.21216585902392648
5	PCa58215	PCa40507	0.21216585902392648
5	PCa51852	PCa53687	0.22921827553292576
5	PCa53687	PCa51852	0.22921827553292576
5	PCa51852	PCa56413	0.21247429980420524
5	PCa56413	PCa51852	0.21247429980420524
5	PCa51852	PCa57054	0.1993825530084473
5	PCa57054	PCa51852	0.1993825530084473
5	PCa51852	PCa57294	0.21103147116175974
5	PCa57294	PCa51852	0.21103147116175974
5	PCa51852	PCa58215	0.20424497762660015
5	PCa58215	PCa51852	0.20424497762660015
5	PCa53687	PCa56413	0.2277649399860539
5	PCa56413	PCa53687	0.2277649399860539
5	PCa53687	PCa57054	0.2167212464506352
5	PCa57054	PCa53687	0.2167212464506352
5	PCa53687	PCa57294	0.20885802927525127
5	PCa57294	PCa53687	0.20885802927525127
5	PCa53687	PCa58215	0.21080640002855905
5	PCa58215	PCa53687	0.21080640002855905
5	PCa56413	PCa57054	0.19860233966116517
5	PCa57054	PCa56413	0.19860233966116517
5	PCa56413	PCa57294	0.21643472191382865
5	PCa57294	PCa56413	0.21643472191382865
5	PCa56413	PCa58215	0.19801967507872692
5	PCa58215	PCa56413	0.19801967507872692
5	PCa57054	PCa57294	0.2057123376983317
5	PCa57294	PCa57054	0.2057123376983317
5	PCa57054	PCa58215	0.18506137959598376
5	PCa58215	PCa57054	0.18506137959598376
5	PCa57294	PCa58215	0.19582809054191497
5	PCa58215	PCa57294	0.19582809054191497
6	PCa13266	PCa13848	0.1986496336815595
6	PCa13848	PCa13266	0.1986496336815595
6	PCa13266	PCa14121	0.20182977396357202
6	PCa14121	PCa13266	0.20182977396357202
6	PCa13266	PCa19121	0.1991683106916722
6	PCa19121	PCa13266	0.1991683106916722
6	PCa13266	PCa3023	0.19625361009648812
6	PCa3023	PCa13266	0.19625361009648812
6	PCa13266	PCa33173	0.15491046403702816
6	PCa33173	PCa13266	0.15491046403702816
6	PCa13266	PCa40507	0.1968430260947127
6	PCa40507	PCa13266	0.1968430260947127
6	PCa13266	PCa51852	0.18704330263262584
6	PCa51852	PCa13266	0.18704330263262584
6	PCa13266	PCa53687	0.20889032067748492
6	PCa53687	PCa13266	0.20889032067748492
6	PCa13266	PCa56413	0.20472925159772726
6	PCa56413	PCa13266	0.20472925159772726
6	PCa13266	PCa57054	0.1876323046666636
6	PCa57054	PCa13266	0.1876323046666636
6	PCa13266	PCa57294	0.19270709957118157
6	PCa57294	PCa13266	0.19270709957118157
6	PCa13266	PCa58215	0.18982815558821245
6	PCa58215	PCa13266	0.18982815558821245
6	PCa13848	PCa14121	0.2109797423155021
6	PCa14121	PCa13848	0.2109797423155021
6	PCa13848	PCa19121	0.17854429608305034
6	PCa19121	PCa13848	0.17854429608305034
6	PCa13848	PCa3023	0.1732645472409054
6	PCa3023	PCa13848	0.1732645472409054
6	PCa13848	PCa33173	0.17331059088353215
6	PCa33173	PCa13848	0.17331059088353215
6	PCa13848	PCa40507	0.19891930475359274
6	PCa40507	PCa13848	0.19891930475359274
6	PCa13848	PCa51852	0.19011815824338726
6	PCa51852	PCa13848	0.19011815824338726
6	PCa13848	PCa53687	0.21477235801946476
6	PCa53687	PCa13848	0.21477235801946476
6	PCa13848	PCa56413	0.19337243284673403
6	PCa56413	PCa13848	0.19337243284673403
6	PCa13848	PCa57054	0.17288196512308848
6	PCa57054	PCa13848	0.17288196512308848
6	PCa13848	PCa57294	0.20717124235642248
6	PCa57294	PCa13848	0.20717124235642248
6	PCa13848	PCa58215	0.17748741140057117
6	PCa58215	PCa13848	0.17748741140057117
6	PCa14121	PCa19121	0.20484135163661002
6	PCa19121	PCa14121	0.20484135163661002
6	PCa14121	PCa3023	0.19970718367562956
6	PCa3023	PCa14121	0.19970718367562956
6	PCa14121	PCa33173	0.1829646939239758
6	PCa33173	PCa14121	0.1829646939239758
6	PCa14121	PCa40507	0.20428536467855435
6	PCa40507	PCa14121	0.20428536467855435
6	PCa14121	PCa51852	0.20023229068898118
6	PCa51852	PCa14121	0.20023229068898118
6	PCa14121	PCa53687	0.20685472098438726
6	PCa53687	PCa14121	0.20685472098438726
6	PCa14121	PCa56413	0.19966932307149365
6	PCa56413	PCa14121	0.19966932307149365
6	PCa14121	PCa57054	0.19574693494951934
6	PCa57054	PCa14121	0.19574693494951934
6	PCa14121	PCa57294	0.19632345493915165
6	PCa57294	PCa14121	0.19632345493915165
6	PCa14121	PCa58215	0.19058289245200907
6	PCa58215	PCa14121	0.19058289245200907
6	PCa19121	PCa3023	0.17881618778957487
6	PCa3023	PCa19121	0.17881618778957487
6	PCa19121	PCa33173	0.17741438448152505
6	PCa33173	PCa19121	0.17741438448152505
6	PCa19121	PCa40507	0.1996038435807068
6	PCa40507	PCa19121	0.1996038435807068
6	PCa19121	PCa51852	0.1852449280442034
6	PCa51852	PCa19121	0.1852449280442034
6	PCa19121	PCa53687	0.20887735055916146
6	PCa53687	PCa19121	0.20887735055916146
6	PCa19121	PCa56413	0.19649287103639232
6	PCa56413	PCa19121	0.19649287103639232
6	PCa19121	PCa57054	0.18092282867252368
6	PCa57054	PCa19121	0.18092282867252368
6	PCa19121	PCa57294	0.19824597063156368
6	PCa57294	PCa19121	0.19824597063156368
6	PCa19121	PCa58215	0.1906489911884911
6	PCa58215	PCa19121	0.1906489911884911
6	PCa3023	PCa33173	0.1679733076885797
6	PCa33173	PCa3023	0.1679733076885797
6	PCa3023	PCa40507	0.19208746208117294
6	PCa40507	PCa3023	0.19208746208117294
6	PCa3023	PCa51852	0.19165090894888726
6	PCa51852	PCa3023	0.19165090894888726
6	PCa3023	PCa53687	0.20927025655936066
6	PCa53687	PCa3023	0.20927025655936066
6	PCa3023	PCa56413	0.17929973505247968
6	PCa56413	PCa3023	0.17929973505247968
6	PCa3023	PCa57054	0.17427815859029178
6	PCa57054	PCa3023	0.17427815859029178
6	PCa3023	PCa57294	0.19867441516186868
6	PCa57294	PCa3023	0.19867441516186868
6	PCa3023	PCa58215	0.1790109894186312
6	PCa58215	PCa3023	0.1790109894186312
6	PCa33173	PCa40507	0.18334158061169267
6	PCa40507	PCa33173	0.18334158061169267
6	PCa33173	PCa51852	0.177322986698314
6	PCa51852	PCa33173	0.177322986698314
6	PCa33173	PCa53687	0.19521089513024475
6	PCa53687	PCa33173	0.19521089513024475
6	PCa33173	PCa56413	0.17827689692897158
6	PCa56413	PCa33173	0.17827689692897158
6	PCa33173	PCa57054	0.15895152503637477
6	PCa57054	PCa33173	0.15895152503637477
6	PCa33173	PCa57294	0.18287913010120024
6	PCa57294	PCa33173	0.18287913010120024
6	PCa33173	PCa58215	0.1617260672674486
6	PCa58215	PCa33173	0.1617260672674486
6	PCa40507	PCa51852	0.1953829816520889
6	PCa51852	PCa40507	0.1953829816520889
6	PCa40507	PCa53687	0.21615933961229436
6	PCa53687	PCa40507	0.21615933961229436
6	PCa40507	PCa56413	0.18735752044155132
6	PCa56413	PCa40507	0.18735752044155132
6	PCa40507	PCa57054	0.19480251175336838
6	PCa57054	PCa40507	0.19480251175336838
6	PCa40507	PCa57294	0.2073019936533126
6	PCa57294	PCa40507	0.2073019936533126
6	PCa40507	PCa58215	0.1943909336851974
6	PCa58215	PCa40507	0.1943909336851974
6	PCa51852	PCa53687	0.2109223704256379
6	PCa53687	PCa51852	0.2109223704256379
6	PCa51852	PCa56413	0.1969855528478693
6	PCa56413	PCa51852	0.1969855528478693
6	PCa51852	PCa57054	0.1811548215675359
6	PCa57054	PCa51852	0.1811548215675359
6	PCa51852	PCa57294	0.19101378517385192
6	PCa57294	PCa51852	0.19101378517385192
6	PCa51852	PCa58215	0.18902079251356363
6	PCa58215	PCa51852	0.18902079251356363
6	PCa53687	PCa56413	0.21811809139075644
6	PCa56413	PCa53687	0.21811809139075644
6	PCa53687	PCa57054	0.20242906534545638
