N_Samples	Iteration	N_Loops
9	9	12430
10	9	12955
11	9	14559
12	9	14639
13	9	15211
14	9	15853
15	9	16002
16	9	16073
17	9	16474
1	10	5032
2	10	6711
3	10	7656
4	10	7801
5	10	8620
6	10	10943
7	10	11269
8	10	11753
9	10	12790
10	10	13309
11	10	13928
12	10	14092
13	10	14722
14	10	15371
15	10	15443
16	10	16173
17	10	16474
1	11	7040
2	11	7894
3	11	8678
4	11	9394
5	11	9514
6	11	10563
7	11	11689
8	11	12440
9	11	12923
10	11	13461
11	11	14160
12	11	14322
13	11	14891
14	11	15670
15	11	15901
16	11	16403
17	11	16474
1	12	4416
2	12	5708
3	12	7226
4	12	8043
5	12	8835
6	12	9754
7	12	10757
8	12	11206
9	12	12029
10	12	12119
11	12	12291
12	12	13258
13	12	14122
14	12	14771
15	12	16177
16	12	16403
17	12	16474
1	13	5604
2	13	6940
3	13	8238
4	13	8964
5	13	9953
6	13	10728
7	13	12630
8	13	12899
9	13	13083
10	13	13753
11	13	14212
12	13	14546
13	13	15229
14	13	15611
15	13	15685
16	13	16403
17	13	16474
1	14	4712
2	14	5947
3	14	6552
4	14	8455
5	14	8574
6	14	9288
7	14	10044
8	14	10159
9	14	11126
10	14	11667
11	14	11841
12	14	13575
13	14	14419
14	14	14811
15	14	15360
16	14	15880
17	14	16474
1	15	4601
2	15	7137
3	15	7663
4	15	8422
5	15	9222
6	15	10442
7	15	10998
8	15	11102
9	15	11975
10	15	13704
11	15	14163
12	15	14249
13	15	14821
14	15	14972
15	15	15296
16	15	15910
17	15	16474
1	16	4416
2	16	6372
3	16	7265
4	16	8364
5	16	10748
6	16	10857
7	16	11953
8	16	12444
9	16	12938
10	16	13105
11	16	13719
12	16	14578
13	16	14915
14	16	15553
15	16	15626
16	16	15855
17	16	16474
1	17	3535
2	17	5501
3	17	5719
4	17	6822
5	17	7682
6	17	8883
7	17	10225
8	17	11058
9	17	12850
10	17	12936
11	17	13674
12	17	13841
13	17	14287
14	17	14532
