Sample	Sequencing Batch	Lane	Read Mate	Total_Reads_Processed	Truncated	Not_truncated	Average_length_truncated_sequence
PCa53687	HLGJ3DSXX	2	2	209370921	93156042	116214879	76.74
PCa53687	HLGJ3DSXX	3	1	203575824	91238123	112337701	76.38
PCa53687	HLGJ3DSXX	3	2	203575824	90390421	113185403	76.72
PCa53687	HLGJ3DSXX	4	1	206608650	92614011	113994639	76.37
PCa53687	HLGJ3DSXX	4	2	206608650	91839270	114769380	76.74
PCa56413	HKYH3DSXX	4	1	182873200	103095065	79778135	76.36
PCa56413	HKYH3DSXX	4	2	182873200	102270618	80602582	76.67
PCa56413	HLGJ3DSXX	1	1	204660098	117572313	87087785	76.3
PCa56413	HLGJ3DSXX	1	2	204660098	116578654	88081444	76.63
PCa56413	HLGJ3DSXX	2	1	203601984	116489531	87112453	76.33
PCa56413	HLGJ3DSXX	2	2	203601984	115428156	88173828	76.64
PCa56413	HLGJ3DSXX	3	1	199074065	113796646	85277419	76.33
PCa56413	HLGJ3DSXX	3	2	199074065	112737333	86336732	76.62
PCa56413	HLGJ3DSXX	4	1	201755044	115293669	86461375	76.32
PCa56413	HLGJ3DSXX	4	2	201755044	114355920	87399124	76.65
PCa57054	HKYH3DSXX	4	1	299297771	170343313	128954458	78.88
PCa57054	HKYH3DSXX	4	2	299297771	168573911	130723860	79.15
PCa57054	HLGJ3DSXX	1	1	309750829	179906792	129844037	78.77
PCa57054	HLGJ3DSXX	1	2	309750829	178195904	131554925	79.09
PCa57054	HLGJ3DSXX	2	1	307198354	177652196	129546158	78.81
PCa57054	HLGJ3DSXX	2	2	307198354	175801213	131397141	79.11
PCa57054	HLGJ3DSXX	3	1	299607751	173192233	126415518	78.82
PCa57054	HLGJ3DSXX	3	2	299607751	171333882	128273869	79.09
PCa57054	HLGJ3DSXX	4	1	304410188	175918996	128491192	78.8
PCa57054	HLGJ3DSXX	4	2	304410188	174191403	130218785	79.11
PCa57294	HKYH3DSXX	4	1	238309004	135806988	102502016	76.33
PCa57294	HKYH3DSXX	4	2	238309004	134250723	104058281	76.69
PCa57294	HLGJ3DSXX	1	1	242401704	140762065	101639639	76.29
PCa57294	HLGJ3DSXX	1	2	242401704	139322477	103079227	76.64
PCa57294	HLGJ3DSXX	2	1	242230536	140083648	102146888	76.3
PCa57294	HLGJ3DSXX	2	2	242230536	138487925	103742611	76.66
PCa57294	HLGJ3DSXX	3	1	238148586	137570297	100578289	76.31
PCa57294	HLGJ3DSXX	3	2	238148586	135916701	102231885	76.64
PCa57294	HLGJ3DSXX	4	1	240039388	138677955	101361433	76.31
PCa57294	HLGJ3DSXX	4	2	240039388	137196986	102842402	76.67
PCa58215	HKYH3DSXX	4	1	202949172	112199115	90750057	75.69
PCa58215	HKYH3DSXX	4	2	202949172	110912791	92036381	76.0
PCa58215	HLGJ3DSXX	1	1	197101435	111029942	86071493	75.66
PCa58215	HLGJ3DSXX	1	2	197101435	109819403	87282032	76.0
PCa58215	HLGJ3DSXX	2	1	197578594	110826675	86751919	75.68
PCa58215	HLGJ3DSXX	2	2	197578594	109500402	88078192	76.02
PCa58215	HLGJ3DSXX	3	1	193156913	108257725	84899188	75.68
PCa58215	HLGJ3DSXX	3	2	193156913	106872840	86284073	75.99
PCa58215	HLGJ3DSXX	4	1	195158636	109363514	85795122	75.68
PCa58215	HLGJ3DSXX	4	2	195158636	108138356	87020280	76.02
