SampleID	Distance_Bin	N_Bin	N_Total	Freq	Bin_Lower	Bin_Mid	Bin_Upper
4DNFI6HDY7WZ	(3.25e+04,3.75e+04]	2915	189800	0.0153582718651212	32500	35000	37500
4DNFI6HDY7WZ	(3.75e+04,4.25e+04]	2619	189800	0.0137987355110643	37500	40000	42500
4DNFI6HDY7WZ	(4.25e+04,4.75e+04]	2374	189800	0.0125079030558483	42500	45000	47500
4DNFI6HDY7WZ	(4.75e+04,5.25e+04]	2339	189800	0.0123234984193888	47500	50000	52500
4DNFI6HDY7WZ	(5.25e+04,5.75e+04]	2225	189800	0.011722866174921	52500	55000	57500
4DNFI6HDY7WZ	(5.75e+04,6.25e+04]	2159	189800	0.0113751317175975	57500	60000	62500
4DNFI6HDY7WZ	(6.25e+04,6.75e+04]	2085	189800	0.0109852476290832	62500	65000	67500
4DNFI6HDY7WZ	(6.75e+04,7.25e+04]	1995	189800	0.0105110642781876	67500	70000	72500
4DNFI6HDY7WZ	(7.25e+04,7.75e+04]	2139	189800	0.0112697576396207	72500	75000	77500
4DNFI6HDY7WZ	(7.75e+04,8.25e+04]	1960	189800	0.0103266596417281	77500	80000	82500
4DNFI6HDY7WZ	(8.25e+04,8.75e+04]	1957	189800	0.0103108535300316	82500	85000	87500
4DNFI6HDY7WZ	(8.75e+04,9.25e+04]	1968	189800	0.0103688092729189	87500	90000	92500
4DNFI6HDY7WZ	(9.25e+04,9.75e+04]	1992	189800	0.010495258166491	92500	95000	97500
4DNFI6HDY7WZ	(9.75e+04,1.02e+05]	2028	189800	0.0106849315068493	97500	99750	102000
4DNFI6HDY7WZ	(1.02e+05,1.08e+05]	2001	189800	0.0105426765015806	102000	105000	108000
4DNFI6HDY7WZ	(1.08e+05,1.12e+05]	1915	189800	0.0100895679662803	108000	110000	112000
4DNFI6HDY7WZ	(1.12e+05,1.18e+05]	1957	189800	0.0103108535300316	112000	115000	118000
4DNFI6HDY7WZ	(1.18e+05,1.22e+05]	2088	189800	0.0110010537407798	118000	120000	122000
4DNFI6HDY7WZ	(1.22e+05,1.28e+05]	2021	189800	0.0106480505795574	122000	125000	128000
4DNFI6HDY7WZ	(1.28e+05,1.32e+05]	2035	189800	0.0107218124341412	128000	130000	132000
4DNFI6HDY7WZ	(1.32e+05,1.38e+05]	2080	189800	0.010958904109589	132000	135000	138000
4DNFI6HDY7WZ	(1.38e+05,1.42e+05]	2043	189800	0.0107639620653319	138000	140000	142000
4DNFI6HDY7WZ	(1.42e+05,1.48e+05]	2000	189800	0.0105374077976818	142000	145000	148000
4DNFI6HDY7WZ	(1.48e+05,1.52e+05]	2083	189800	0.0109747102212856	148000	150000	152000
4DNFI6HDY7WZ	(1.52e+05,1.58e+05]	2101	189800	0.0110695468914647	152000	155000	158000
4DNFI6HDY7WZ	(1.58e+05,1.62e+05]	2089	189800	0.0110063224446786	158000	160000	162000
4DNFI6HDY7WZ	(1.62e+05,1.68e+05]	2152	189800	0.0113382507903056	162000	165000	168000
4DNFI6HDY7WZ	(1.68e+05,1.72e+05]	2233	189800	0.0117650158061117	168000	170000	172000
4DNFI6HDY7WZ	(1.72e+05,1.78e+05]	2194	189800	0.0115595363540569	172000	175000	178000
4DNFI6HDY7WZ	(1.78e+05,1.82e+05]	2088	189800	0.0110010537407798	178000	180000	182000
4DNFI6HDY7WZ	(1.82e+05,1.88e+05]	2238	189800	0.0117913593256059	182000	185000	188000
4DNFI6HDY7WZ	(1.88e+05,1.92e+05]	2190	189800	0.0115384615384615	188000	190000	192000
4DNFI6HDY7WZ	(1.92e+05,1.98e+05]	2208	189800	0.0116332982086407	192000	195000	198000
4DNFIIV4M7TF		2353	211746	0.0111123704816148			
4DNFIIV4M7TF	(-1.98e+05,-1.92e+05]	2410	211746	0.0113815609267708	-198000	-195000	-192000
4DNFIIV4M7TF	(-1.92e+05,-1.88e+05]	2430	211746	0.0114760137145448	-192000	-190000	-188000
4DNFIIV4M7TF	(-1.88e+05,-1.82e+05]	2416	211746	0.011409896763103	-188000	-185000	-182000
4DNFIIV4M7TF	(-1.82e+05,-1.78e+05]	2377	211746	0.0112257138269436	-182000	-180000	-178000
4DNFIIV4M7TF	(-1.78e+05,-1.72e+05]	2303	211746	0.0108762385121797	-178000	-175000	-172000
4DNFIIV4M7TF	(-1.72e+05,-1.68e+05]	2219	211746	0.0104795368035288	-172000	-170000	-168000
4DNFIIV4M7TF	(-1.68e+05,-1.62e+05]	2481	211746	0.0117168683233686	-168000	-165000	-162000
