SampleID	Distance_Bin	N_Bin	N_Total	Freq	Bin_Lower	Bin_Mid	Bin_Upper
4DNFI6HDY7WZ	(3.25e+04,3.75e+04]	1506	99488	0.0151375040205854	32500	35000	37500
4DNFI6HDY7WZ	(3.75e+04,4.25e+04]	1337	99488	0.0134388066902541	37500	40000	42500
4DNFI6HDY7WZ	(4.25e+04,4.75e+04]	1241	99488	0.012473866194918	42500	45000	47500
4DNFI6HDY7WZ	(4.75e+04,5.25e+04]	1192	99488	0.0119813444837568	47500	50000	52500
4DNFI6HDY7WZ	(5.25e+04,5.75e+04]	1100	99488	0.0110566098423931	52500	55000	57500
4DNFI6HDY7WZ	(5.75e+04,6.25e+04]	1096	99488	0.0110164039884207	57500	60000	62500
4DNFI6HDY7WZ	(6.25e+04,6.75e+04]	1070	99488	0.0107550659376005	62500	65000	67500
4DNFI6HDY7WZ	(6.75e+04,7.25e+04]	1020	99488	0.0102524927629463	67500	70000	72500
4DNFI6HDY7WZ	(7.25e+04,7.75e+04]	1062	99488	0.0106746542296558	72500	75000	77500
4DNFI6HDY7WZ	(7.75e+04,8.25e+04]	964	99488	0.00968961080733355	77500	80000	82500
4DNFI6HDY7WZ	(8.25e+04,8.75e+04]	955	99488	0.00959914763589579	82500	85000	87500
4DNFI6HDY7WZ	(8.75e+04,9.25e+04]	970	99488	0.00974991958829206	87500	90000	92500
4DNFI6HDY7WZ	(9.25e+04,9.75e+04]	973	99488	0.00978007397877131	92500	95000	97500
4DNFI6HDY7WZ	(9.75e+04,1.02e+05]	1030	99488	0.0103530073978771	97500	99750	102000
4DNFI6HDY7WZ	(1.02e+05,1.08e+05]	1024	99488	0.0102926986169186	102000	105000	108000
4DNFI6HDY7WZ	(1.08e+05,1.12e+05]	922	99488	0.00926744934062399	108000	110000	112000
4DNFI6HDY7WZ	(1.12e+05,1.18e+05]	998	99488	0.0100313605660984	112000	115000	118000
4DNFI6HDY7WZ	(1.18e+05,1.22e+05]	1051	99488	0.0105640881312319	118000	120000	122000
4DNFI6HDY7WZ	(1.22e+05,1.28e+05]	1027	99488	0.0103228530073979	122000	125000	128000
4DNFI6HDY7WZ	(1.28e+05,1.32e+05]	1056	99488	0.0106143454486973	128000	130000	132000
4DNFI6HDY7WZ	(1.32e+05,1.38e+05]	1000	99488	0.0100514634930846	132000	135000	138000
4DNFI6HDY7WZ	(1.38e+05,1.42e+05]	1046	99488	0.0105138308137665	138000	140000	142000
4DNFI6HDY7WZ	(1.42e+05,1.48e+05]	1053	99488	0.0105841910582181	142000	145000	148000
4DNFI6HDY7WZ	(1.48e+05,1.52e+05]	1094	99488	0.0109963010614345	148000	150000	152000
4DNFI6HDY7WZ	(1.52e+05,1.58e+05]	1100	99488	0.0110566098423931	152000	155000	158000
4DNFI6HDY7WZ	(1.58e+05,1.62e+05]	1082	99488	0.0108756834995175	158000	160000	162000
4DNFI6HDY7WZ	(1.62e+05,1.68e+05]	1134	99488	0.0113983596011579	162000	165000	168000
4DNFI6HDY7WZ	(1.68e+05,1.72e+05]	1122	99488	0.0112777420392409	168000	170000	172000
4DNFI6HDY7WZ	(1.72e+05,1.78e+05]	1075	99488	0.0108053232550659	172000	175000	178000
4DNFI6HDY7WZ	(1.78e+05,1.82e+05]	1027	99488	0.0103228530073979	178000	180000	182000
4DNFI6HDY7WZ	(1.82e+05,1.88e+05]	1168	99488	0.0117401093599228	182000	185000	188000
4DNFI6HDY7WZ	(1.88e+05,1.92e+05]	1122	99488	0.0112777420392409	188000	190000	192000
4DNFI6HDY7WZ	(1.92e+05,1.98e+05]	1119	99488	0.0112475876487617	192000	195000	198000
4DNFIIV4M7TF		1215	111608	0.0108863163930901			
4DNFIIV4M7TF	(-1.98e+05,-1.92e+05]	1229	111608	0.0110117554297183	-198000	-195000	-192000
4DNFIIV4M7TF	(-1.92e+05,-1.88e+05]	1256	111608	0.011253673571787	-192000	-190000	-188000
4DNFIIV4M7TF	(-1.88e+05,-1.82e+05]	1188	111608	0.0106443982510214	-188000	-185000	-182000
4DNFIIV4M7TF	(-1.82e+05,-1.78e+05]	1199	111608	0.0107429574940864	-182000	-180000	-178000
4DNFIIV4M7TF	(-1.78e+05,-1.72e+05]	1195	111608	0.0107071177693355	-178000	-175000	-172000
4DNFIIV4M7TF	(-1.72e+05,-1.68e+05]	1153	111608	0.0103308006594509	-172000	-170000	-168000
4DNFIIV4M7TF	(-1.68e+05,-1.62e+05]	1229	111608	0.0110117554297183	-168000	-165000	-162000
4DNFIIV4M7TF	(-1.62e+05,-1.58e+05]	1156	111608	0.0103576804530141	-162000	-160000	-158000
4DNFIIV4M7TF	(-1.58e+05,-1.52e+05]	1214	111608	0.0108773564619024	-158000	-155000	-152000
4DNFIIV4M7TF	(-1.52e+05,-1.48e+05]	1185	111608	0.0106175184574582	-152000	-150000	-148000
4DNFIIV4M7TF	(-1.48e+05,-1.42e+05]	1197	111608	0.010725037631711	-148000	-145000	-142000
4DNFIIV4M7TF	(-1.42e+05,-1.38e+05]	1179	111608	0.0105637588703319	-142000	-140000	-138000
4DNFIIV4M7TF	(-1.38e+05,-1.32e+05]	1200	111608	0.0107519174252742	-138000	-135000	-132000
4DNFIIV4M7TF	(-1.32e+05,-1.28e+05]	1135	111608	0.0101695218980718	-132000	-130000	-128000
4DNFIIV4M7TF	(-1.28e+05,-1.22e+05]	1147	111608	0.0102770410723246	-128000	-125000	-122000
4DNFIIV4M7TF	(-1.22e+05,-1.18e+05]	1180	111608	0.0105727188015196	-122000	-120000	-118000
4DNFIIV4M7TF	(-1.18e+05,-1.12e+05]	1143	111608	0.0102412013475737	-118000	-115000	-112000
4DNFIIV4M7TF	(-1.12e+05,-1.08e+05]	1140	111608	0.0102143215540105	-112000	-110000	-108000
4DNFIIV4M7TF	(-1.08e+05,-1.02e+05]	1155	111608	0.0103487205218264	-108000	-105000	-102000
4DNFIIV4M7TF	(-1.02e+05,-9.75e+04]	1197	111608	0.010725037631711	-102000	-99750	-97500
4DNFIIV4M7TF	(-9.75e+04,-9.25e+04]	1138	111608	0.010196401691635	-97500	-95000	-92500
4DNFIIV4M7TF	(-9.25e+04,-8.75e+04]	1206	111608	0.0108056770124005	-92500	-90000	-87500
4DNFIIV4M7TF	(-8.75e+04,-8.25e+04]	1232	111608	0.0110386352232815	-87500	-85000	-82500
4DNFIIV4M7TF	(-8.25e+04,-7.75e+04]	1125	111608	0.0100799225861945	-82500	-80000	-77500
4DNFIIV4M7TF	(-7.75e+04,-7.25e+04]	1243	111608	0.0111371944663465	-77500	-75000	-72500
4DNFIIV4M7TF	(-7.25e+04,-6.75e+04]	1274	111608	0.0114149523331661	-72500	-70000	-67500
4DNFIIV4M7TF	(-6.75e+04,-6.25e+04]	1250	111608	0.0111999139846606	-67500	-65000	-62500
4DNFIIV4M7TF	(-6.25e+04,-5.75e+04]	1341	111608	0.0120152677227439	-62500	-60000	-57500
4DNFIIV4M7TF	(-5.75e+04,-5.25e+04]	1363	111608	0.0122123862088739	-57500	-55000	-52500
4DNFIIV4M7TF	(-5.25e+04,-4.75e+04]	1410	111608	0.0126335029746972	-52500	-50000	-47500
4DNFIIV4M7TF	(-4.75e+04,-4.25e+04]	1552	111608	0.0139058132033546	-47500	-45000	-42500
4DNFIIV4M7TF	(-4.25e+04,-3.75e+04]	1677	111608	0.0150258046018207	-42500	-40000	-37500
4DNFIIV4M7TF	(-3.75e+04,-3.25e+04]	1744	111608	0.0156261199913985	-37500	-35000	-32500
4DNFIIV4M7TF	(-3.25e+04,-2.75e+04]	1943	111608	0.0174091462977564	-32500	-30000	-27500
4DNFIIV4M7TF	(-2.75e+04,-2.25e+04]	2000	111608	0.017919862375457	-27500	-25000	-22500
4DNFIIV4M7TF	(-2.25e+04,-1.75e+04]	2091	111608	0.0187352161135403	-22500	-20000	-17500
4DNFIIV4M7TF	(-1.75e+04,-1.25e+04]	2118	111608	0.0189771342556089	-17500	-15000	-12500
4DNFIIV4M7TF	(-1.25e+04,-7.5e+03]	2221	111608	0.019900007167945	-12500	-10000	-7500
4DNFIIV4M7TF	(-7.5e+03,-2.5e+03]	2379	111608	0.0213156762956061	-7500	-5000	-2500
4DNFIIV4M7TF	(-2.5e+03,2.5e+03]	2642	111608	0.0236721381979786	-2500	0	2500
4DNFIIV4M7TF	(2.5e+03,7.5e+03]	2285	111608	0.0204734427639596	2500	5000	7500
4DNFIIV4M7TF	(7.5e+03,1.25e+04]	2286	111608	0.0204824026951473	7500	10000	12500
4DNFIIV4M7TF	(1.25e+04,1.75e+04]	2089	111608	0.0187172962511648	12500	15000	17500
4DNFIIV4M7TF	(1.75e+04,2.25e+04]	1937	111608	0.0173553867106301	17500	20000	22500
4DNFIIV4M7TF	(2.25e+04,2.75e+04]	1941	111608	0.017391226435381	22500	25000	27500
4DNFIIV4M7TF	(2.75e+04,3.25e+04]	1721	111608	0.0154200415740807	27500	30000	32500
4DNFIIV4M7TF	(3.25e+04,3.75e+04]	1652	111608	0.0148018063221274	32500	35000	37500
4DNFIIV4M7TF	(3.75e+04,4.25e+04]	1576	111608	0.0141208515518601	37500	40000	42500
4DNFIIV4M7TF	(4.25e+04,4.75e+04]	1397	111608	0.0125170238692567	42500	45000	47500
4DNFIIV4M7TF	(4.75e+04,5.25e+04]	1415	111608	0.0126783026306358	47500	50000	52500
4DNFIIV4M7TF	(5.25e+04,5.75e+04]	1322	111608	0.011845029030177	52500	55000	57500
4DNFIIV4M7TF	(5.75e+04,6.25e+04]	1343	111608	0.0120331875851193	57500	60000	62500
4DNFIIV4M7TF	(6.25e+04,6.75e+04]	1314	111608	0.0117733495806752	62500	65000	67500
4DNFIIV4M7TF	(6.75e+04,7.25e+04]	1191	111608	0.0106712780445846	67500	70000	72500
4DNFIIV4M7TF	(7.25e+04,7.75e+04]	1277	111608	0.0114418321267293	72500	75000	77500
4DNFIIV4M7TF	(7.75e+04,8.25e+04]	1198	111608	0.0107339975628987	77500	80000	82500
4DNFIIV4M7TF	(8.25e+04,8.75e+04]	1168	111608	0.0104651996272669	82500	85000	87500
4DNFIIV4M7TF	(8.75e+04,9.25e+04]	1138	111608	0.010196401691635	87500	90000	92500
4DNFIIV4M7TF	(9.25e+04,9.75e+04]	1217	111608	0.0109042362554656	92500	95000	97500
4DNFIIV4M7TF	(9.75e+04,1.02e+05]	1253	111608	0.0112267937782238	97500	99750	102000
4DNFIIV4M7TF	(1.02e+05,1.08e+05]	1193	111608	0.0106891979069601	102000	105000	108000
4DNFIIV4M7TF	(1.08e+05,1.12e+05]	1147	111608	0.0102770410723246	108000	110000	112000
4DNFIIV4M7TF	(1.12e+05,1.18e+05]	1188	111608	0.0106443982510214	112000	115000	118000
4DNFIIV4M7TF	(1.18e+05,1.22e+05]	1187	111608	0.0106354383198337	118000	120000	122000
4DNFIIV4M7TF	(1.22e+05,1.28e+05]	1176	111608	0.0105368790767687	122000	125000	128000
4DNFIIV4M7TF	(1.28e+05,1.32e+05]	1129	111608	0.0101157623109455	128000	130000	132000
4DNFIIV4M7TF	(1.32e+05,1.38e+05]	1146	111608	0.0102680811411368	132000	135000	138000
4DNFIIV4M7TF	(1.38e+05,1.42e+05]	1180	111608	0.0105727188015196	138000	140000	142000
4DNFIIV4M7TF	(1.42e+05,1.48e+05]	1217	111608	0.0109042362554656	142000	145000	148000
4DNFIIV4M7TF	(1.48e+05,1.52e+05]	1276	111608	0.0114328721955415	148000	150000	152000
4DNFIIV4M7TF	(1.52e+05,1.58e+05]	1282	111608	0.0114866317826679	152000	155000	158000
4DNFIIV4M7TF	(1.58e+05,1.62e+05]	1225	111608	0.0109759157049674	158000	160000	162000
4DNFIIV4M7TF	(1.62e+05,1.68e+05]	1208	111608	0.010823596874776	162000	165000	168000
4DNFIIV4M7TF	(1.68e+05,1.72e+05]	1259	111608	0.0112805533653502	168000	170000	172000
4DNFIIV4M7TF	(1.72e+05,1.78e+05]	1239	111608	0.0111013547415956	172000	175000	178000
4DNFIIV4M7TF	(1.78e+05,1.82e+05]	1172	111608	0.0105010393520178	178000	180000	182000
4DNFIIV4M7TF	(1.82e+05,1.88e+05]	1281	111608	0.0114776718514802	182000	185000	188000
4DNFIIV4M7TF	(1.88e+05,1.92e+05]	1339	111608	0.0119973478603684	188000	190000	192000
4DNFIIV4M7TF	(1.92e+05,1.98e+05]	1203	111608	0.0107787972188374	192000	195000	198000
4DNFINSKEZND		1162	104984	0.0110683532728797			
4DNFINSKEZND	(-1.98e+05,-1.92e+05]	1204	104984	0.01146841423455	-198000	-195000	-192000
4DNFINSKEZND	(-1.92e+05,-1.88e+05]	1174	104984	0.0111826564047855	-192000	-190000	-188000
4DNFINSKEZND	(-1.88e+05,-1.82e+05]	1177	104984	0.0112112321877619	-188000	-185000	-182000
4DNFINSKEZND	(-1.82e+05,-1.78e+05]	1128	104984	0.0107444943991465	-182000	-180000	-178000
