N_Samples	Iteration	N_Loops	Model
3	39	5648	T2E_Tumour_Only
4	39	8927	T2E_Tumour_Only
5	39	9842	T2E_Tumour_Only
6	39	10487	T2E_Tumour_Only
1	40	6993	T2E_Tumour_Only
2	40	8250	T2E_Tumour_Only
3	40	9031	T2E_Tumour_Only
4	40	9144	T2E_Tumour_Only
5	40	9541	T2E_Tumour_Only
6	40	10487	T2E_Tumour_Only
1	41	2451	T2E_Tumour_Only
2	41	5270	T2E_Tumour_Only
3	41	6462	T2E_Tumour_Only
4	41	7880	T2E_Tumour_Only
5	41	10392	T2E_Tumour_Only
6	41	10487	T2E_Tumour_Only
1	42	4527	T2E_Tumour_Only
2	42	5270	T2E_Tumour_Only
3	42	6995	T2E_Tumour_Only
4	42	7139	T2E_Tumour_Only
5	42	9842	T2E_Tumour_Only
6	42	10487	T2E_Tumour_Only
1	43	4527	T2E_Tumour_Only
2	43	5270	T2E_Tumour_Only
3	43	5475	T2E_Tumour_Only
4	43	8812	T2E_Tumour_Only
5	43	9541	T2E_Tumour_Only
6	43	10487	T2E_Tumour_Only
1	44	2451	T2E_Tumour_Only
2	44	7578	T2E_Tumour_Only
3	44	8691	T2E_Tumour_Only
4	44	9737	T2E_Tumour_Only
5	44	9842	T2E_Tumour_Only
6	44	10487	T2E_Tumour_Only
1	45	3645	T2E_Tumour_Only
2	45	5887	T2E_Tumour_Only
3	45	6067	T2E_Tumour_Only
4	45	9144	T2E_Tumour_Only
5	45	9541	T2E_Tumour_Only
6	45	10487	T2E_Tumour_Only
1	46	6993	T2E_Tumour_Only
2	46	8359	T2E_Tumour_Only
3	46	8810	T2E_Tumour_Only
4	46	8927	T2E_Tumour_Only
5	46	9644	T2E_Tumour_Only
6	46	10487	T2E_Tumour_Only
1	47	4527	T2E_Tumour_Only
2	47	5270	T2E_Tumour_Only
3	47	6462	T2E_Tumour_Only
4	47	7880	T2E_Tumour_Only
5	47	8004	T2E_Tumour_Only
6	47	10487	T2E_Tumour_Only
1	48	1286	T2E_Tumour_Only
2	48	2918	T2E_Tumour_Only
3	48	5475	T2E_Tumour_Only
4	48	6618	T2E_Tumour_Only
5	48	8004	T2E_Tumour_Only
6	48	10487	T2E_Tumour_Only
1	49	4527	T2E_Tumour_Only
2	49	4790	T2E_Tumour_Only
3	49	6639	T2E_Tumour_Only
4	49	7546	T2E_Tumour_Only
5	49	8004	T2E_Tumour_Only
6	49	10487	T2E_Tumour_Only
1	50	4687	T2E_Tumour_Only
2	50	6477	T2E_Tumour_Only
3	50	9355	T2E_Tumour_Only
4	50	10029	T2E_Tumour_Only
5	50	10128	T2E_Tumour_Only
6	50	10487	T2E_Tumour_Only
1	51	6993	T2E_Tumour_Only
2	51	7578	T2E_Tumour_Only
3	51	8810	T2E_Tumour_Only
4	51	8927	T2E_Tumour_Only
5	51	9842	T2E_Tumour_Only
6	51	10487	T2E_Tumour_Only
1	52	2451	T2E_Tumour_Only
2	52	7578	T2E_Tumour_Only
3	52	7721	T2E_Tumour_Only
4	52	8812	T2E_Tumour_Only
5	52	9842	T2E_Tumour_Only
6	52	10487	T2E_Tumour_Only
1	53	6993	T2E_Tumour_Only
2	53	8359	T2E_Tumour_Only
3	53	8483	T2E_Tumour_Only
4	53	9464	T2E_Tumour_Only
5	53	9842	T2E_Tumour_Only
6	53	10487	T2E_Tumour_Only
1	54	4687	T2E_Tumour_Only
2	54	5459	T2E_Tumour_Only
3	54	5648	T2E_Tumour_Only
4	54	6739	T2E_Tumour_Only
5	54	8004	T2E_Tumour_Only
6	54	10487	T2E_Tumour_Only
1	55	3645	T2E_Tumour_Only
2	55	5972	T2E_Tumour_Only
3	55	7410	T2E_Tumour_Only
4	55	7880	T2E_Tumour_Only
5	55	10392	T2E_Tumour_Only
6	55	10487	T2E_Tumour_Only
1	56	6993	T2E_Tumour_Only
2	56	8250	T2E_Tumour_Only
3	56	8380	T2E_Tumour_Only
4	56	8812	T2E_Tumour_Only
5	56	9541	T2E_Tumour_Only
6	56	10487	T2E_Tumour_Only
1	57	2451	T2E_Tumour_Only
2	57	4613	T2E_Tumour_Only
3	57	6590	T2E_Tumour_Only
4	57	9539	T2E_Tumour_Only
5	57	10392	T2E_Tumour_Only
6	57	10487	T2E_Tumour_Only
1	58	3645	T2E_Tumour_Only
2	58	4613	T2E_Tumour_Only
3	58	6462	T2E_Tumour_Only
4	58	7880	T2E_Tumour_Only
5	58	10392	T2E_Tumour_Only
6	58	10487	T2E_Tumour_Only
1	59	4687	T2E_Tumour_Only
2	59	8359	T2E_Tumour_Only
3	59	8483	T2E_Tumour_Only
4	59	8927	T2E_Tumour_Only
5	59	9644	T2E_Tumour_Only
6	59	10487	T2E_Tumour_Only
1	60	4687	T2E_Tumour_Only
2	60	6477	T2E_Tumour_Only
3	60	6639	T2E_Tumour_Only
4	60	7546	T2E_Tumour_Only
5	60	8004	T2E_Tumour_Only
6	60	10487	T2E_Tumour_Only
1	61	2451	T2E_Tumour_Only
2	61	7578	T2E_Tumour_Only
3	61	8810	T2E_Tumour_Only
4	61	8927	T2E_Tumour_Only
5	61	9842	T2E_Tumour_Only
6	61	10487	T2E_Tumour_Only
1	62	1286	T2E_Tumour_Only
2	62	4790	T2E_Tumour_Only
3	62	5475	T2E_Tumour_Only
4	62	6618	T2E_Tumour_Only
5	62	8004	T2E_Tumour_Only
6	62	10487	T2E_Tumour_Only
1	63	6993	T2E_Tumour_Only
2	63	7985	T2E_Tumour_Only
3	63	8124	T2E_Tumour_Only
4	63	8586	T2E_Tumour_Only
5	63	9541	T2E_Tumour_Only
6	63	10487	T2E_Tumour_Only
1	64	1286	T2E_Tumour_Only
2	64	4790	T2E_Tumour_Only
3	64	5475	T2E_Tumour_Only
4	64	6618	T2E_Tumour_Only
5	64	9541	T2E_Tumour_Only
6	64	10487	T2E_Tumour_Only
1	65	3645	T2E_Tumour_Only
2	65	4613	T2E_Tumour_Only
3	65	6462	T2E_Tumour_Only
4	65	9434	T2E_Tumour_Only
5	65	10392	T2E_Tumour_Only
6	65	10487	T2E_Tumour_Only
1	66	4527	T2E_Tumour_Only
2	66	4790	T2E_Tumour_Only
3	66	6067	T2E_Tumour_Only
4	66	7546	T2E_Tumour_Only
5	66	10128	T2E_Tumour_Only
6	66	10487	T2E_Tumour_Only
1	67	6993	T2E_Tumour_Only
2	67	7985	T2E_Tumour_Only
3	67	8124	T2E_Tumour_Only
4	67	9144	T2E_Tumour_Only
5	67	10128	T2E_Tumour_Only
6	67	10487	T2E_Tumour_Only
1	68	3645	T2E_Tumour_Only
2	68	5972	T2E_Tumour_Only
3	68	6149	T2E_Tumour_Only
4	68	7546	T2E_Tumour_Only
5	68	8004	T2E_Tumour_Only
6	68	10487	T2E_Tumour_Only
1	69	6993	T2E_Tumour_Only
2	69	7985	T2E_Tumour_Only
3	69	9126	T2E_Tumour_Only
4	69	10029	T2E_Tumour_Only
5	69	10392	T2E_Tumour_Only
6	69	10487	T2E_Tumour_Only
1	70	4687	T2E_Tumour_Only
2	70	8359	T2E_Tumour_Only
3	70	9355	T2E_Tumour_Only
4	70	10029	T2E_Tumour_Only
5	70	10128	T2E_Tumour_Only
6	70	10487	T2E_Tumour_Only
1	71	1286	T2E_Tumour_Only
2	71	2918	T2E_Tumour_Only
3	71	7721	T2E_Tumour_Only
4	71	8812	T2E_Tumour_Only
5	71	9842	T2E_Tumour_Only
6	71	10487	T2E_Tumour_Only
1	72	1286	T2E_Tumour_Only
2	72	7170	T2E_Tumour_Only
3	72	7721	T2E_Tumour_Only
4	72	8927	T2E_Tumour_Only
5	72	9644	T2E_Tumour_Only
6	72	10487	T2E_Tumour_Only
1	73	4527	T2E_Tumour_Only
2	73	8250	T2E_Tumour_Only
3	73	8691	T2E_Tumour_Only
4	73	9737	T2E_Tumour_Only
5	73	10392	T2E_Tumour_Only
6	73	10487	T2E_Tumour_Only
1	74	3645	T2E_Tumour_Only
2	74	4613	T2E_Tumour_Only
3	74	6590	T2E_Tumour_Only
4	74	9539	T2E_Tumour_Only
5	74	10392	T2E_Tumour_Only
6	74	10487	T2E_Tumour_Only
1	75	6993	T2E_Tumour_Only
2	75	8250	T2E_Tumour_Only
3	75	9031	T2E_Tumour_Only
4	75	10029	T2E_Tumour_Only
5	75	10128	T2E_Tumour_Only
6	75	10487	T2E_Tumour_Only
1	76	2451	T2E_Tumour_Only
2	76	2918	T2E_Tumour_Only
3	76	7721	T2E_Tumour_Only
4	76	8586	T2E_Tumour_Only
5	76	9541	T2E_Tumour_Only
6	76	10487	T2E_Tumour_Only
1	77	4687	T2E_Tumour_Only
2	77	6477	T2E_Tumour_Only
3	77	7410	T2E_Tumour_Only
4	77	7880	T2E_Tumour_Only
5	77	10392	T2E_Tumour_Only
6	77	10487	T2E_Tumour_Only
1	78	4527	T2E_Tumour_Only
2	78	4790	T2E_Tumour_Only
3	78	6067	T2E_Tumour_Only
4	78	9144	T2E_Tumour_Only
5	78	10128	T2E_Tumour_Only
6	78	10487	T2E_Tumour_Only
1	79	6993	T2E_Tumour_Only
2	79	8250	T2E_Tumour_Only
3	79	9355	T2E_Tumour_Only
4	79	9737	T2E_Tumour_Only
5	79	10392	T2E_Tumour_Only
6	79	10487	T2E_Tumour_Only
1	80	4687	T2E_Tumour_Only
2	80	5459	T2E_Tumour_Only
3	80	6590	T2E_Tumour_Only
4	80	7880	T2E_Tumour_Only
5	80	10392	T2E_Tumour_Only
6	80	10487	T2E_Tumour_Only
1	81	6993	T2E_Tumour_Only
2	81	7578	T2E_Tumour_Only
3	81	8691	T2E_Tumour_Only
4	81	9737	T2E_Tumour_Only
5	81	10392	T2E_Tumour_Only
6	81	10487	T2E_Tumour_Only
1	82	4527	T2E_Tumour_Only
2	82	5270	T2E_Tumour_Only
3	82	8691	T2E_Tumour_Only
4	82	9737	T2E_Tumour_Only
5	82	9842	T2E_Tumour_Only
6	82	10487	T2E_Tumour_Only
1	83	4527	T2E_Tumour_Only
2	83	4790	T2E_Tumour_Only
3	83	6067	T2E_Tumour_Only
4	83	7546	T2E_Tumour_Only
5	83	8004	T2E_Tumour_Only
6	83	10487	T2E_Tumour_Only
1	84	6993	T2E_Tumour_Only
2	84	7578	T2E_Tumour_Only
3	84	8810	T2E_Tumour_Only
4	84	9539	T2E_Tumour_Only
5	84	9644	T2E_Tumour_Only
6	84	10487	T2E_Tumour_Only
1	85	1286	T2E_Tumour_Only
2	85	4933	T2E_Tumour_Only
3	85	6639	T2E_Tumour_Only
4	85	7546	T2E_Tumour_Only
5	85	8004	T2E_Tumour_Only
6	85	10487	T2E_Tumour_Only
1	86	6993	T2E_Tumour_Only
2	86	7170	T2E_Tumour_Only
3	86	8483	T2E_Tumour_Only
4	86	9464	T2E_Tumour_Only
5	86	9842	T2E_Tumour_Only
6	86	10487	T2E_Tumour_Only
1	87	3645	T2E_Tumour_Only
2	87	5972	T2E_Tumour_Only
3	87	7410	T2E_Tumour_Only
4	87	10029	T2E_Tumour_Only
5	87	10128	T2E_Tumour_Only
6	87	10487	T2E_Tumour_Only
1	88	1286	T2E_Tumour_Only
2	88	3963	T2E_Tumour_Only
3	88	6067	T2E_Tumour_Only
4	88	9144	T2E_Tumour_Only
5	88	10128	T2E_Tumour_Only
6	88	10487	T2E_Tumour_Only
1	89	4687	T2E_Tumour_Only
2	89	5459	T2E_Tumour_Only
3	89	5648	T2E_Tumour_Only
4	89	7139	T2E_Tumour_Only
5	89	8004	T2E_Tumour_Only
6	89	10487	T2E_Tumour_Only
1	90	1286	T2E_Tumour_Only
2	90	4790	T2E_Tumour_Only
3	90	6067	T2E_Tumour_Only
4	90	7546	T2E_Tumour_Only
5	90	8004	T2E_Tumour_Only
6	90	10487	T2E_Tumour_Only
1	91	1286	T2E_Tumour_Only
2	91	3963	T2E_Tumour_Only
3	91	6149	T2E_Tumour_Only
4	91	7546	T2E_Tumour_Only
5	91	8004	T2E_Tumour_Only
6	91	10487	T2E_Tumour_Only
1	92	2451	T2E_Tumour_Only
2	92	7578	T2E_Tumour_Only
3	92	8810	T2E_Tumour_Only
4	92	8927	T2E_Tumour_Only
5	92	9644	T2E_Tumour_Only
6	92	10487	T2E_Tumour_Only
1	93	1286	T2E_Tumour_Only
2	93	7170	T2E_Tumour_Only
3	93	8483	T2E_Tumour_Only
4	93	9238	T2E_Tumour_Only
5	93	9644	T2E_Tumour_Only
6	93	10487	T2E_Tumour_Only
1	94	6993	T2E_Tumour_Only
2	94	8250	T2E_Tumour_Only
3	94	9031	T2E_Tumour_Only
4	94	9434	T2E_Tumour_Only
5	94	10392	T2E_Tumour_Only
6	94	10487	T2E_Tumour_Only
1	95	2451	T2E_Tumour_Only
2	95	5270	T2E_Tumour_Only
3	95	8691	T2E_Tumour_Only
4	95	9737	T2E_Tumour_Only
5	95	10392	T2E_Tumour_Only
6	95	10487	T2E_Tumour_Only
1	96	1286	T2E_Tumour_Only
2	96	4933	T2E_Tumour_Only
3	96	6639	T2E_Tumour_Only
4	96	7139	T2E_Tumour_Only
5	96	9842	T2E_Tumour_Only
6	96	10487	T2E_Tumour_Only
1	97	6993	T2E_Tumour_Only
2	97	8359	T2E_Tumour_Only
3	97	8483	T2E_Tumour_Only
4	97	8927	T2E_Tumour_Only
5	97	9644	T2E_Tumour_Only
6	97	10487	T2E_Tumour_Only
1	98	4687	T2E_Tumour_Only
2	98	6477	T2E_Tumour_Only
3	98	7410	T2E_Tumour_Only
4	98	10029	T2E_Tumour_Only
5	98	10392	T2E_Tumour_Only
6	98	10487	T2E_Tumour_Only
1	99	4687	T2E_Tumour_Only
2	99	5972	T2E_Tumour_Only
3	99	7410	T2E_Tumour_Only
4	99	7880	T2E_Tumour_Only
5	99	8004	T2E_Tumour_Only
6	99	10487	T2E_Tumour_Only
1	100	6993	T2E_Tumour_Only
2	100	8250	T2E_Tumour_Only
3	100	9355	T2E_Tumour_Only
4	100	9464	T2E_Tumour_Only
5	100	9842	T2E_Tumour_Only
6	100	10487	T2E_Tumour_Only
1	1	1421	NonT2E_Tumour_Only
2	1	3946	NonT2E_Tumour_Only
3	1	4403	NonT2E_Tumour_Only
4	1	7160	NonT2E_Tumour_Only
5	1	8029	NonT2E_Tumour_Only
6	1	9260	NonT2E_Tumour_Only
1	2	3953	NonT2E_Tumour_Only
2	2	6396	NonT2E_Tumour_Only
3	2	7262	NonT2E_Tumour_Only
4	2	8921	NonT2E_Tumour_Only
5	2	9146	NonT2E_Tumour_Only
6	2	9260	NonT2E_Tumour_Only
1	3	5722	NonT2E_Tumour_Only
2	3	7438	NonT2E_Tumour_Only
3	3	8277	NonT2E_Tumour_Only
4	3	8921	NonT2E_Tumour_Only
5	3	9041	NonT2E_Tumour_Only
6	3	9260	NonT2E_Tumour_Only
1	4	3569	NonT2E_Tumour_Only
2	4	6713	NonT2E_Tumour_Only
3	4	7632	NonT2E_Tumour_Only
4	4	7883	NonT2E_Tumour_Only
5	4	9146	NonT2E_Tumour_Only
6	4	9260	NonT2E_Tumour_Only
1	5	3569	NonT2E_Tumour_Only
2	5	5382	NonT2E_Tumour_Only
3	5	7262	NonT2E_Tumour_Only
4	5	8921	NonT2E_Tumour_Only
5	5	9041	NonT2E_Tumour_Only
6	5	9260	NonT2E_Tumour_Only
1	6	3569	NonT2E_Tumour_Only
2	6	6191	NonT2E_Tumour_Only
3	6	6365	NonT2E_Tumour_Only
4	6	8310	NonT2E_Tumour_Only
5	6	8540	NonT2E_Tumour_Only
6	6	9260	NonT2E_Tumour_Only
1	7	1421	NonT2E_Tumour_Only
2	7	4316	NonT2E_Tumour_Only
3	7	4743	NonT2E_Tumour_Only
4	7	6849	NonT2E_Tumour_Only
5	7	8640	NonT2E_Tumour_Only
6	7	9260	NonT2E_Tumour_Only
1	8	5722	NonT2E_Tumour_Only
2	8	6071	NonT2E_Tumour_Only
3	8	7111	NonT2E_Tumour_Only
4	8	7883	NonT2E_Tumour_Only
5	8	9146	NonT2E_Tumour_Only
6	8	9260	NonT2E_Tumour_Only
1	9	3569	NonT2E_Tumour_Only
2	9	3946	NonT2E_Tumour_Only
3	9	6365	NonT2E_Tumour_Only
4	9	6654	NonT2E_Tumour_Only
5	9	8540	NonT2E_Tumour_Only
6	9	9260	NonT2E_Tumour_Only
1	10	5003	NonT2E_Tumour_Only
2	10	5414	NonT2E_Tumour_Only
3	10	5620	NonT2E_Tumour_Only
4	10	6849	NonT2E_Tumour_Only
5	10	8640	NonT2E_Tumour_Only
6	10	9260	NonT2E_Tumour_Only
1	11	5722	NonT2E_Tumour_Only
2	11	6713	NonT2E_Tumour_Only
3	11	6990	NonT2E_Tumour_Only
4	11	7883	NonT2E_Tumour_Only
5	11	9146	NonT2E_Tumour_Only
6	11	9260	NonT2E_Tumour_Only
1	12	5722	NonT2E_Tumour_Only
2	12	6828	NonT2E_Tumour_Only
3	12	8277	NonT2E_Tumour_Only
4	12	8409	NonT2E_Tumour_Only
5	12	8640	NonT2E_Tumour_Only
6	12	9260	NonT2E_Tumour_Only
1	13	3953	NonT2E_Tumour_Only
2	13	4443	NonT2E_Tumour_Only
3	13	4743	NonT2E_Tumour_Only
4	13	7278	NonT2E_Tumour_Only
5	13	8029	NonT2E_Tumour_Only
6	13	9260	NonT2E_Tumour_Only
1	14	5003	NonT2E_Tumour_Only
2	14	5245	NonT2E_Tumour_Only
3	14	6569	NonT2E_Tumour_Only
4	14	6849	NonT2E_Tumour_Only
5	14	7659	NonT2E_Tumour_Only
6	14	9260	NonT2E_Tumour_Only
1	15	5722	NonT2E_Tumour_Only
2	15	5963	NonT2E_Tumour_Only
3	15	6286	NonT2E_Tumour_Only
4	15	7278	NonT2E_Tumour_Only
5	15	8640	NonT2E_Tumour_Only
6	15	9260	NonT2E_Tumour_Only
1	16	1651	NonT2E_Tumour_Only
2	16	5414	NonT2E_Tumour_Only
3	16	6690	NonT2E_Tumour_Only
4	16	6849	NonT2E_Tumour_Only
5	16	8640	NonT2E_Tumour_Only
6	16	9260	NonT2E_Tumour_Only
1	17	5722	NonT2E_Tumour_Only
2	17	6713	NonT2E_Tumour_Only
3	17	8178	NonT2E_Tumour_Only
4	17	8416	NonT2E_Tumour_Only
5	17	8540	NonT2E_Tumour_Only
6	17	9260	NonT2E_Tumour_Only
1	18	3569	NonT2E_Tumour_Only
2	18	3946	NonT2E_Tumour_Only
3	18	5606	NonT2E_Tumour_Only
4	18	5935	NonT2E_Tumour_Only
5	18	8029	NonT2E_Tumour_Only
6	18	9260	NonT2E_Tumour_Only
1	19	5003	NonT2E_Tumour_Only
2	19	5414	NonT2E_Tumour_Only
3	19	6496	NonT2E_Tumour_Only
4	19	6654	NonT2E_Tumour_Only
5	19	8540	NonT2E_Tumour_Only
6	19	9260	NonT2E_Tumour_Only
1	20	1651	NonT2E_Tumour_Only
2	20	4443	NonT2E_Tumour_Only
3	20	4743	NonT2E_Tumour_Only
4	20	5935	NonT2E_Tumour_Only
5	20	7659	NonT2E_Tumour_Only
6	20	9260	NonT2E_Tumour_Only
1	21	1651	NonT2E_Tumour_Only
2	21	4443	NonT2E_Tumour_Only
3	21	4743	NonT2E_Tumour_Only
4	21	7278	NonT2E_Tumour_Only
5	21	8640	NonT2E_Tumour_Only
6	21	9260	NonT2E_Tumour_Only
1	22	3569	NonT2E_Tumour_Only
2	22	6191	NonT2E_Tumour_Only
3	22	7262	NonT2E_Tumour_Only
4	22	7524	NonT2E_Tumour_Only
5	22	9146	NonT2E_Tumour_Only
6	22	9260	NonT2E_Tumour_Only
1	23	5003	NonT2E_Tumour_Only
2	23	6191	NonT2E_Tumour_Only
3	23	6496	NonT2E_Tumour_Only
4	23	8416	NonT2E_Tumour_Only
5	23	9146	NonT2E_Tumour_Only
6	23	9260	NonT2E_Tumour_Only
1	24	5722	NonT2E_Tumour_Only
2	24	6828	NonT2E_Tumour_Only
3	24	7632	NonT2E_Tumour_Only
4	24	7883	NonT2E_Tumour_Only
5	24	8029	NonT2E_Tumour_Only
6	24	9260	NonT2E_Tumour_Only
1	25	5722	NonT2E_Tumour_Only
2	25	6071	NonT2E_Tumour_Only
3	25	6286	NonT2E_Tumour_Only
4	25	7851	NonT2E_Tumour_Only
5	25	8540	NonT2E_Tumour_Only
6	25	9260	NonT2E_Tumour_Only
1	26	3569	NonT2E_Tumour_Only
2	26	3946	NonT2E_Tumour_Only
3	26	5606	NonT2E_Tumour_Only
4	26	5935	NonT2E_Tumour_Only
5	26	8029	NonT2E_Tumour_Only
6	26	9260	NonT2E_Tumour_Only
1	27	5003	NonT2E_Tumour_Only
2	27	5245	NonT2E_Tumour_Only
3	27	7593	NonT2E_Tumour_Only
4	27	8409	NonT2E_Tumour_Only
5	27	9041	NonT2E_Tumour_Only
6	27	9260	NonT2E_Tumour_Only
1	28	3569	NonT2E_Tumour_Only
2	28	6713	NonT2E_Tumour_Only
3	28	6990	NonT2E_Tumour_Only
4	28	8416	NonT2E_Tumour_Only
5	28	9146	NonT2E_Tumour_Only
6	28	9260	NonT2E_Tumour_Only
1	29	3953	NonT2E_Tumour_Only
2	29	4443	NonT2E_Tumour_Only
3	29	7111	NonT2E_Tumour_Only
4	29	7278	NonT2E_Tumour_Only
5	29	8640	NonT2E_Tumour_Only
6	29	9260	NonT2E_Tumour_Only
1	30	5722	NonT2E_Tumour_Only
2	30	7438	NonT2E_Tumour_Only
3	30	8178	NonT2E_Tumour_Only
4	30	8416	NonT2E_Tumour_Only
5	30	8540	NonT2E_Tumour_Only
6	30	9260	NonT2E_Tumour_Only
1	31	5003	NonT2E_Tumour_Only
2	31	5245	NonT2E_Tumour_Only
3	31	7593	NonT2E_Tumour_Only
4	31	8310	NonT2E_Tumour_Only
5	31	9041	NonT2E_Tumour_Only
6	31	9260	NonT2E_Tumour_Only
1	32	3569	NonT2E_Tumour_Only
2	32	6713	NonT2E_Tumour_Only
3	32	8178	NonT2E_Tumour_Only
4	32	8310	NonT2E_Tumour_Only
5	32	9041	NonT2E_Tumour_Only
6	32	9260	NonT2E_Tumour_Only
1	33	5722	NonT2E_Tumour_Only
2	33	5963	NonT2E_Tumour_Only
3	33	7008	NonT2E_Tumour_Only
4	33	8409	NonT2E_Tumour_Only
5	33	9041	NonT2E_Tumour_Only
6	33	9260	NonT2E_Tumour_Only
1	34	1651	NonT2E_Tumour_Only
2	34	6071	NonT2E_Tumour_Only
3	34	7708	NonT2E_Tumour_Only
4	34	8516	NonT2E_Tumour_Only
5	34	8640	NonT2E_Tumour_Only
6	34	9260	NonT2E_Tumour_Only
1	35	5722	NonT2E_Tumour_Only
2	35	6828	NonT2E_Tumour_Only
3	35	7632	NonT2E_Tumour_Only
4	35	8921	NonT2E_Tumour_Only
5	35	9041	NonT2E_Tumour_Only
6	35	9260	NonT2E_Tumour_Only
1	36	1651	NonT2E_Tumour_Only
2	36	4095	NonT2E_Tumour_Only
3	36	6990	NonT2E_Tumour_Only
4	36	7160	NonT2E_Tumour_Only
5	36	8540	NonT2E_Tumour_Only
6	36	9260	NonT2E_Tumour_Only
1	37	5722	NonT2E_Tumour_Only
2	37	6071	NonT2E_Tumour_Only
3	37	6990	NonT2E_Tumour_Only
4	37	7160	NonT2E_Tumour_Only
5	37	8540	NonT2E_Tumour_Only
6	37	9260	NonT2E_Tumour_Only
1	38	1651	NonT2E_Tumour_Only
2	38	4443	NonT2E_Tumour_Only
3	38	6690	NonT2E_Tumour_Only
4	38	8516	NonT2E_Tumour_Only
5	38	9146	NonT2E_Tumour_Only
6	38	9260	NonT2E_Tumour_Only
1	39	1651	NonT2E_Tumour_Only
2	39	2354	NonT2E_Tumour_Only
3	39	5620	NonT2E_Tumour_Only
4	39	6849	NonT2E_Tumour_Only
5	39	8640	NonT2E_Tumour_Only
6	39	9260	NonT2E_Tumour_Only
1	40	1651	NonT2E_Tumour_Only
2	40	5414	NonT2E_Tumour_Only
3	40	6496	NonT2E_Tumour_Only
4	40	8416	NonT2E_Tumour_Only
5	40	9146	NonT2E_Tumour_Only
6	40	9260	NonT2E_Tumour_Only
1	41	1421	NonT2E_Tumour_Only
2	41	4316	NonT2E_Tumour_Only
3	41	4743	NonT2E_Tumour_Only
4	41	5935	NonT2E_Tumour_Only
5	41	7659	NonT2E_Tumour_Only
6	41	9260	NonT2E_Tumour_Only
1	42	1421	NonT2E_Tumour_Only
2	42	3946	NonT2E_Tumour_Only
3	42	4403	NonT2E_Tumour_Only
4	42	7160	NonT2E_Tumour_Only
5	42	8029	NonT2E_Tumour_Only
6	42	9260	NonT2E_Tumour_Only
1	43	3569	NonT2E_Tumour_Only
2	43	4095	NonT2E_Tumour_Only
3	43	4403	NonT2E_Tumour_Only
4	43	6654	NonT2E_Tumour_Only
5	43	8540	NonT2E_Tumour_Only
6	43	9260	NonT2E_Tumour_Only
1	44	1421	NonT2E_Tumour_Only
2	44	5245	NonT2E_Tumour_Only
3	44	6569	NonT2E_Tumour_Only
4	44	8409	NonT2E_Tumour_Only
5	44	8640	NonT2E_Tumour_Only
6	44	9260	NonT2E_Tumour_Only
1	45	3953	NonT2E_Tumour_Only
2	45	5382	NonT2E_Tumour_Only
3	45	7632	NonT2E_Tumour_Only
4	45	7786	NonT2E_Tumour_Only
5	45	9041	NonT2E_Tumour_Only
6	45	9260	NonT2E_Tumour_Only
1	46	5722	NonT2E_Tumour_Only
2	46	6713	NonT2E_Tumour_Only
3	46	7632	NonT2E_Tumour_Only
4	46	8921	NonT2E_Tumour_Only
5	46	9041	NonT2E_Tumour_Only
6	46	9260	NonT2E_Tumour_Only
1	47	5003	NonT2E_Tumour_Only
2	47	5414	NonT2E_Tumour_Only
3	47	5620	NonT2E_Tumour_Only
4	47	7851	NonT2E_Tumour_Only
5	47	8640	NonT2E_Tumour_Only
6	47	9260	NonT2E_Tumour_Only
1	48	3953	NonT2E_Tumour_Only
2	48	6396	NonT2E_Tumour_Only
3	48	7262	NonT2E_Tumour_Only
4	48	8921	NonT2E_Tumour_Only
5	48	9041	NonT2E_Tumour_Only
6	48	9260	NonT2E_Tumour_Only
1	49	5003	NonT2E_Tumour_Only
2	49	6396	NonT2E_Tumour_Only
3	49	6569	NonT2E_Tumour_Only
4	49	6849	NonT2E_Tumour_Only
5	49	7659	NonT2E_Tumour_Only
6	49	9260	NonT2E_Tumour_Only
1	50	5003	NonT2E_Tumour_Only
2	50	7438	NonT2E_Tumour_Only
3	50	7593	NonT2E_Tumour_Only
4	50	7851	NonT2E_Tumour_Only
5	50	8540	NonT2E_Tumour_Only
6	50	9260	NonT2E_Tumour_Only
1	51	5003	NonT2E_Tumour_Only
2	51	7438	NonT2E_Tumour_Only
3	51	8277	NonT2E_Tumour_Only
4	51	8409	NonT2E_Tumour_Only
5	51	9041	NonT2E_Tumour_Only
6	51	9260	NonT2E_Tumour_Only
1	52	5003	NonT2E_Tumour_Only
2	52	6191	NonT2E_Tumour_Only
3	52	6365	NonT2E_Tumour_Only
4	52	6654	NonT2E_Tumour_Only
5	52	8540	NonT2E_Tumour_Only
6	52	9260	NonT2E_Tumour_Only
1	53	3569	NonT2E_Tumour_Only
2	53	6191	NonT2E_Tumour_Only
3	53	6496	NonT2E_Tumour_Only
4	53	6654	NonT2E_Tumour_Only
5	53	8540	NonT2E_Tumour_Only
6	53	9260	NonT2E_Tumour_Only
1	54	5003	NonT2E_Tumour_Only
2	54	6191	NonT2E_Tumour_Only
3	54	6365	NonT2E_Tumour_Only
4	54	7407	NonT2E_Tumour_Only
5	54	9041	NonT2E_Tumour_Only
6	54	9260	NonT2E_Tumour_Only
1	55	3569	NonT2E_Tumour_Only
2	55	4095	NonT2E_Tumour_Only
3	55	6990	NonT2E_Tumour_Only
4	55	8416	NonT2E_Tumour_Only
5	55	8540	NonT2E_Tumour_Only
6	55	9260	NonT2E_Tumour_Only
