Gene	W	p	FDR
RAD21	188	0.842226714131281	0.987511138267396
YY1	288	0.0955502844639502	0.955502844639502
CTCF	112	0.987511138267396	0.987511138267396
SMC1A	248	0.352207429320796	0.987511138267396
PDS5A	194	0.806289342032617	0.987511138267396
WAPAL	166	0.854398660072215	0.987511138267396
STAG2	241	0.41358242825816	0.987511138267396
STAG1	217	0.630561044050239	0.987511138267396
PDS5B	153	0.966276186733057	0.987511138267396
SMC3	243	0.395763234735161	0.987511138267396
