Cell_Line	Shift	z
22Rv1	-3530	-8.8724874907572
22Rv1	-3520	-8.79233770756987
22Rv1	-3510	-8.92592067954876
22Rv1	-3500	-9.01942875993397
22Rv1	-3490	-8.88584578795509
22Rv1	-3480	-8.6453964383931
22Rv1	-3470	-8.72554622158043
22Rv1	-3460	-8.69882962718465
22Rv1	-3450	-8.55188835800788
22Rv1	-3440	-8.77897941037198
22Rv1	-3430	-8.81905430196565
22Rv1	-3420	-8.77897941037198
22Rv1	-3410	-8.77897941037198
22Rv1	-3400	-8.92592067954876
22Rv1	-3390	-8.77897941037198
22Rv1	-3380	-9.1129368403192
22Rv1	-3370	-9.23316151510019
22Rv1	-3360	-9.13965343471497
22Rv1	-3350	-9.00607046273609
22Rv1	-3340	-8.92592067954876
22Rv1	-3330	-9.07286194872553
22Rv1	-3320	-9.20644492070442
22Rv1	-3310	-9.20644492070442
22Rv1	-3300	-9.17972832630864
22Rv1	-3290	-9.09957854312131
22Rv1	-3280	-9.01942875993397
22Rv1	-3270	-8.89920408515298
22Rv1	-3260	-9.05950365152764
22Rv1	-3250	-8.95263727394453
22Rv1	-3240	-8.61867984399732
22Rv1	-3230	-8.59196324960154
22Rv1	-3220	-8.47173857482054
22Rv1	-3210	-8.48509687201843
22Rv1	-3200	-8.47173857482054
22Rv1	-3190	-8.57860495240365
22Rv1	-3180	-8.44502198042477
22Rv1	-3170	-8.4049470888311
22Rv1	-3160	-8.177856036467
22Rv1	-3150	-8.29808071124799
22Rv1	-3140	-8.29808071124799
22Rv1	-3130	-8.16449773926911
22Rv1	-3120	-8.12442284767544
22Rv1	-3110	-8.13778114487333
22Rv1	-3100	-8.00419817289444
22Rv1	-3090	-7.92404838970711
22Rv1	-3080	-7.85725690371767
22Rv1	-3070	-7.937406686905
22Rv1	-3060	-8.09770625327966
22Rv1	-3050	-8.33815560284166
22Rv1	-3040	-8.57860495240365
22Rv1	-3030	-8.43166368322688
22Rv1	-3020	-8.63203814119521
22Rv1	-3010	-8.41830538602899
22Rv1	-3000	-8.36487219723744
22Rv1	-2990	-8.37823049443532
22Rv1	-2980	-8.35151390003955
22Rv1	-2970	-8.44502198042477
22Rv1	-2960	-8.29808071124799
22Rv1	-2950	-8.33815560284166
22Rv1	-2940	-8.29808071124799
22Rv1	-2930	-8.39158879163321
22Rv1	-2920	-8.49845516921632
22Rv1	-2910	-8.44502198042477
22Rv1	-2900	-8.32479730564377
22Rv1	-2890	-8.33815560284166
22Rv1	-2880	-8.25800581965433
22Rv1	-2870	-8.37823049443532
22Rv1	-2860	-8.45838027762266
22Rv1	-2850	-8.6453964383931
22Rv1	-2840	-8.6453964383931
22Rv1	-2830	-8.65875473559098
22Rv1	-2820	-8.57860495240365
22Rv1	-2810	-8.57860495240365
22Rv1	-2800	-8.61867984399732
22Rv1	-2790	-8.60532154679943
22Rv1	-2780	-8.48509687201843
22Rv1	-2770	-8.63203814119521
22Rv1	-2760	-8.8724874907572
22Rv1	-2750	-8.89920408515298
22Rv1	-2740	-8.89920408515298
22Rv1	-2730	-8.68547132998676
22Rv1	-2720	-8.77897941037198
22Rv1	-2710	-8.81905430196565
22Rv1	-2700	-8.73890451877831
22Rv1	-2690	-8.77897941037198
22Rv1	-2680	-8.84577089636142
22Rv1	-2670	-8.76562111317409
22Rv1	-2660	-8.60532154679943
22Rv1	-2650	-8.49845516921632
22Rv1	-2640	-8.27136411685222
22Rv1	-2630	-8.5251717636121
22Rv1	-2620	-8.37823049443532
22Rv1	-2610	-8.43166368322688
22Rv1	-2600	-8.33815560284166
22Rv1	-2590	-8.13778114487333
22Rv1	-2580	-8.09770625327966
22Rv1	-2570	-8.07098965888389
22Rv1	-2560	-8.177856036467
22Rv1	-2550	-8.24464752245644
22Rv1	-2540	-8.33815560284166
22Rv1	-2530	-8.37823049443532
22Rv1	-2520	-8.24464752245644
22Rv1	-2510	-8.24464752245644
22Rv1	-2500	-8.12442284767544
22Rv1	-2490	-8.01755647009233
22Rv1	-2480	-8.07098965888389
22Rv1	-2470	-8.09770625327966
22Rv1	-2460	-8.23128922525855
22Rv1	-2450	-8.36487219723744
22Rv1	-2440	-8.37823049443532
22Rv1	-2430	-8.41830538602899
22Rv1	-2420	-8.41830538602899
22Rv1	-2410	-8.49845516921632
22Rv1	-2400	-8.56524665520576
22Rv1	-2390	-8.44502198042477
22Rv1	-2380	-8.25800581965433
22Rv1	-2370	-8.27136411685222
22Rv1	-2360	-8.23128922525855
22Rv1	-2350	-8.25800581965433
22Rv1	-2340	-8.25800581965433
22Rv1	-2330	-8.37823049443532
22Rv1	-2320	-8.21793092806066
22Rv1	-2310	-8.01755647009233
22Rv1	-2300	-8.11106455047755
22Rv1	-2290	-7.92404838970711
22Rv1	-2280	-8.07098965888389
22Rv1	-2270	-8.04427306448811
22Rv1	-2260	-8.00419817289444
22Rv1	-2250	-8.01755647009233
22Rv1	-2240	-7.87061520091556
22Rv1	-2230	-7.817182012124
22Rv1	-2220	-7.7103156345409
22Rv1	-2210	-7.91069009250922
22Rv1	-2200	-7.89733179531134
22Rv1	-2190	-7.80382371492612
22Rv1	-2180	-7.75039052613456
22Rv1	-2170	-7.7103156345409
22Rv1	-2160	-7.53665777096834
22Rv1	-2150	-7.5900909597599
22Rv1	-2140	-7.65688244574934
22Rv1	-2130	-7.50994117657257
22Rv1	-2120	-7.53665777096834
22Rv1	-2110	-7.53665777096834
22Rv1	-2100	-7.37635820459368
22Rv1	-2090	-7.29620842140635
22Rv1	-2080	-7.21605863821902
22Rv1	-2070	-7.16262544942746
22Rv1	-2060	-7.04240077464647
22Rv1	-2050	-7.01568418025069
22Rv1	-2040	-7.04240077464647
22Rv1	-2030	-6.6550101559077
22Rv1	-2020	-6.68172675030348
22Rv1	-2010	-6.6550101559077
22Rv1	-2000	-6.50806888673093
22Rv1	-1990	-6.34776932035626
22Rv1	-1980	-6.33441102315837
22Rv1	-1970	-6.33441102315837
22Rv1	-1960	-6.25426123997104
22Rv1	-1950	-6.26761953716893
22Rv1	-1940	-6.28097783436682
22Rv1	-1930	-6.33441102315837
22Rv1	-1920	-6.12067826799216
22Rv1	-1910	-6.21418634837738
22Rv1	-1900	-6.33441102315837
22Rv1	-1890	-6.37448591475204
22Rv1	-1880	-6.42791910354359
22Rv1	-1870	-6.5347854811267
22Rv1	-1860	-6.60157696711615
22Rv1	-1850	-6.37448591475204
22Rv1	-1840	-6.14739486238793
22Rv1	-1830	-5.92030381002383
22Rv1	-1820	-5.97373699881538
22Rv1	-1810	-5.97373699881538
22Rv1	-1800	-5.98709529601327
22Rv1	-1790	-6.05388678200271
22Rv1	-1780	-5.98709529601327
22Rv1	-1770	-5.85351232403439
22Rv1	-1760	-5.77336254084705
22Rv1	-1750	-5.70657105485761
22Rv1	-1740	-5.69321275765972
22Rv1	-1730	-5.58634638007661
22Rv1	-1720	-5.2523889501294
22Rv1	-1710	-5.31918043611884
22Rv1	-1700	-5.14552257254629
22Rv1	-1690	-5.21231405853574
22Rv1	-1680	-4.79820684540119
22Rv1	-1670	-4.75813195380752
22Rv1	-1660	-4.57111579303708
22Rv1	-1650	-4.46424941545398
22Rv1	-1640	-4.53104090144342
22Rv1	-1630	-4.57111579303708
22Rv1	-1620	-4.58447409023497
22Rv1	-1610	-4.42417452386031
22Rv1	-1600	-4.23715836308987
22Rv1	-1590	-4.21044176869409
22Rv1	-1580	-4.21044176869409
22Rv1	-1570	-4.13029198550676
22Rv1	-1560	-4.17036687710043
22Rv1	-1550	-3.9699924191321
22Rv1	-1540	-3.88984263594477
22Rv1	-1530	-3.82305114995532
22Rv1	-1520	-3.75625966396588
22Rv1	-1510	-3.70282647517433
22Rv1	-1500	-3.78297625836166
22Rv1	-1490	-3.68946817797644
22Rv1	-1480	-3.622676691987
22Rv1	-1470	-3.54252690879966
22Rv1	-1460	-3.47573542281022
22Rv1	-1450	-3.382227342425
22Rv1	-1440	-3.23528607324823
22Rv1	-1430	-3.39558563962289
22Rv1	-1420	-3.12841969566512
22Rv1	-1410	-2.76774567132213
22Rv1	-1400	-2.66087929373902
22Rv1	-1390	-2.86125375170735
22Rv1	-1380	-2.83453715731157
22Rv1	-1370	-3.02155331808201
22Rv1	-1360	-2.82117886011368
22Rv1	-1350	-2.79446226571791
22Rv1	-1340	-2.99483672368623
22Rv1	-1330	-2.90132864330101
22Rv1	-1320	-2.99483672368623
22Rv1	-1310	-2.88797034610313
22Rv1	-1300	-2.82117886011368
22Rv1	-1290	-2.86125375170735
22Rv1	-1280	-2.86125375170735
22Rv1	-1270	-2.52729632176013
22Rv1	-1260	-2.30020526939603
22Rv1	-1250	-2.17998059461503
22Rv1	-1240	-2.23341378340659
22Rv1	-1230	-2.26013037780236
22Rv1	-1220	-2.12654740582348
22Rv1	-1210	-1.87273975906359
22Rv1	-1200	-1.89945635345937
22Rv1	-1190	-1.69908189549104
22Rv1	-1180	-1.39184105993961
22Rv1	-1170	-1.20482489916917
22Rv1	-1160	-1.24489979076283
22Rv1	-1150	-1.17810830477339
22Rv1	-1140	-1.08460022438817
22Rv1	-1130	-0.630418119659958
22Rv1	-1120	-0.456760256087406
22Rv1	-1110	-0.162877717733858
22Rv1	-1100	-0.0693696373486381
22Rv1	-1090	0.0241384430365818
22Rv1	-1080	0.22451290100491
22Rv1	-1070	0.464962250566904
22Rv1	-1060	0.745486491722564
22Rv1	-1050	0.932502652493004
22Rv1	-1040	1.01265243568034
22Rv1	-1030	1.13287711046133
22Rv1	-1020	1.31989327123177
22Rv1	-1010	1.46683454040855
22Rv1	-1000	1.45347624321066
22Rv1	-990	1.54698432359588
22Rv1	-980	1.73400048436632
22Rv1	-970	1.96109153673042
22Rv1	-960	2.24161577788608
22Rv1	-950	2.29504896667764
22Rv1	-940	2.3351238582713
22Rv1	-930	2.49542342464597
22Rv1	-920	2.62900639662485
22Rv1	-910	2.68243958541641
22Rv1	-900	3.05647190695729
22Rv1	-890	3.28356295932139
22Rv1	-880	3.55072890327916
22Rv1	-870	3.76446165844538
22Rv1	-860	4.19192716877781
22Rv1	-850	4.4457348155377
22Rv1	-840	4.69954246229758
22Rv1	-830	5.03349989224479
22Rv1	-820	5.16708286422368
22Rv1	-810	5.1403662698279
22Rv1	-800	5.11364967543212
22Rv1	-790	5.51439859136878
22Rv1	-780	5.91514750730544
22Rv1	-770	6.26246323445054
22Rv1	-760	6.31589642324209
22Rv1	-750	6.44947939522098
22Rv1	-740	6.68992874478297
22Rv1	-730	7.11739425511541
22Rv1	-720	7.39791849627107
22Rv1	-710	7.45135168506262
22Rv1	-700	7.55821806264573
22Rv1	-690	7.74523422341617
22Rv1	-680	8.01240016737394
22Rv1	-670	7.95896697858239
22Rv1	-660	7.99904187017605
22Rv1	-650	8.10590824775916
22Rv1	-640	8.38643248891482
22Rv1	-630	8.92076437683036
22Rv1	-620	8.74710651325781
22Rv1	-610	8.89404778243459
22Rv1	-600	8.77382310765359
22Rv1	-590	8.86733118803881
22Rv1	-580	9.09442224040292
22Rv1	-570	9.18793032078814
22Rv1	-560	9.4684545619438
22Rv1	-550	9.78905369469312
22Rv1	-540	10.0295030442551
22Rv1	-530	9.76233710029734
22Rv1	-520	9.97606985546356
22Rv1	-510	10.1096528274424
22Rv1	-500	10.2031609078277
22Rv1	-490	10.1230111246403
22Rv1	-480	10.3634604742023
22Rv1	-470	10.403535365796
22Rv1	-460	10.7107762013474
22Rv1	-450	10.8577174705242
22Rv1	-440	10.6840596069517
22Rv1	-430	10.7508510929411
22Rv1	-420	10.8042842817327
22Rv1	-410	10.9913004425031
22Rv1	-400	11.2317497920651
22Rv1	-390	11.3920493584397
22Rv1	-380	11.7794399771785
22Rv1	-370	11.9263812463553
22Rv1	-360	11.8863063547616
22Rv1	-350	11.846231463168
22Rv1	-340	12.0065310295426
22Rv1	-330	12.1801888931152
22Rv1	-320	12.2202637847088
22Rv1	-310	12.3404884594898
22Rv1	-300	12.4206382426772
22Rv1	-290	12.5542212146561
22Rv1	-280	12.8748203474054
22Rv1	-270	12.9015369418012
22Rv1	-260	12.6477292950413
22Rv1	-250	12.5542212146561
22Rv1	-240	12.5007880258645
22Rv1	-230	12.4339965398751
22Rv1	-220	12.5809378090518
22Rv1	-210	12.5408629174582
22Rv1	-200	12.5141463230624
22Rv1	-190	12.3805633510835
22Rv1	-180	12.3805633510835
22Rv1	-170	12.2736969735004
22Rv1	-160	12.1801888931152
22Rv1	-150	12.1000391099278
22Rv1	-140	12.0466059211363
22Rv1	-130	12.2336220819067
22Rv1	-120	12.206905487511
22Rv1	-110	12.1133974071257
22Rv1	-100	12.2336220819067
22Rv1	-90	12.3672050538856
22Rv1	-80	12.6210127006455
22Rv1	-70	12.5942961062497
22Rv1	-60	12.6878041866349
22Rv1	-50	13.0084033193843
22Rv1	-40	13.0751948053737
22Rv1	-30	13.1419862913632
22Rv1	-20	13.4492271269146
22Rv1	-10	13.5427352072998
22Rv1	0	13.8366177456534
22Rv1	10	13.9835590148301
22Rv1	20	13.9835590148301
22Rv1	30	14.3041581475795
22Rv1	40	14.357591336371
22Rv1	50	14.4510994167562
22Rv1	60	14.3709496335689
22Rv1	70	14.7583402523077
22Rv1	80	14.7583402523077
22Rv1	90	14.5178909027457
22Rv1	100	14.4510994167562
22Rv1	110	14.3976662279647
22Rv1	120	14.3709496335689
22Rv1	130	14.2106500671942
22Rv1	140	14.23736666159
22Rv1	150	14.3175164447773
22Rv1	160	14.3976662279647
22Rv1	170	14.2240083643921
22Rv1	180	14.2774415531837
22Rv1	190	14.1572168784027
22Rv1	200	13.9835590148301
22Rv1	210	14.23736666159
22Rv1	220	14.0637087980175
22Rv1	230	14.0904253924132
22Rv1	240	14.2106500671942
22Rv1	250	14.2240083643921
22Rv1	260	14.0770670952154
22Rv1	270	14.1037836896111
22Rv1	280	14.0102756092259
22Rv1	290	14.1705751756006
22Rv1	300	14.1438585812048
22Rv1	310	14.2774415531837
22Rv1	320	14.1438585812048
22Rv1	330	14.1572168784027
22Rv1	340	14.1305002840069
22Rv1	350	13.9434841232365
22Rv1	360	13.6496015848829
22Rv1	370	13.5427352072998
22Rv1	380	13.756467962466
22Rv1	390	13.6896764764766
22Rv1	400	13.5694518016956
22Rv1	410	13.6629598820808
22Rv1	420	13.7698262596639
22Rv1	430	13.6896764764766
22Rv1	440	13.6095266932893
22Rv1	450	13.4893020185083
22Rv1	460	13.5961683960914
22Rv1	470	13.4358688297167
22Rv1	480	13.3557190465294
22Rv1	490	13.2087777773526
22Rv1	500	13.2488526689463
22Rv1	510	13.2622109661441
22Rv1	520	13.2488526689463
22Rv1	530	13.0751948053737
22Rv1	540	12.8614620502075
22Rv1	550	12.6878041866349
22Rv1	560	12.5542212146561
22Rv1	570	12.2469803791046
22Rv1	580	12.2603386763025
22Rv1	590	12.1401140015215
22Rv1	600	11.9798144351468
22Rv1	610	11.9263812463553
22Rv1	620	11.7927982743764
22Rv1	630	11.7794399771785
22Rv1	640	11.846231463168
22Rv1	650	11.7393650855849
22Rv1	660	11.6992901939912
22Rv1	670	11.5790655192102
22Rv1	680	11.3386161696482
22Rv1	690	11.0313753340968
22Rv1	700	11.0180170368989
22Rv1	710	10.8710757677221
22Rv1	720	10.6039098237643
22Rv1	730	10.5638349321707
22Rv1	740	10.3901770685981
22Rv1	750	10.0161447470572
22Rv1	760	9.88256177507834
22Rv1	770	9.4684545619438
22Rv1	780	9.40166307595435
22Rv1	790	9.14785542919447
22Rv1	800	8.62688183847682
22Rv1	810	8.43986567770638
22Rv1	820	8.33299930012327
22Rv1	830	8.05247505896761
22Rv1	840	8.0658333561655
22Rv1	850	8.03911676176972
22Rv1	860	7.83874230380139
22Rv1	870	7.43799338786473
22Rv1	880	7.26433552429218
22Rv1	890	6.99716958033441
22Rv1	900	6.78343682516819
22Rv1	910	6.34261301763787
22Rv1	920	6.03537218208644
22Rv1	930	5.75484794093078
22Rv1	940	5.487681996973
22Rv1	950	5.11364967543212
22Rv1	960	4.88655862306802
22Rv1	970	4.73961735389124
22Rv1	980	4.43237651833981
22Rv1	990	4.3255101407567
22Rv1	1000	4.07170249399682
22Rv1	1010	3.81789484723693
22Rv1	1020	3.37707103970661
22Rv1	1030	3.09654679855095
22Rv1	1040	2.88281404338473
22Rv1	1050	2.52214001904174
22Rv1	1060	2.5755732078333
22Rv1	1070	2.01452472552198
22Rv1	1080	1.5202677292001
22Rv1	1090	1.38668475722122
22Rv1	1100	1.11951881326344
22Rv1	1110	0.985935841284558
22Rv1	1120	0.745486491722564
22Rv1	1130	0.651978411337344
22Rv1	1140	0.291304386994353
22Rv1	1150	0.197796306609133
22Rv1	1160	0.0107801458386933
22Rv1	1170	-0.122802826140192
22Rv1	1180	-0.496835147681072
22Rv1	1190	-0.683851308451512
22Rv1	1200	-0.844150874826175
22Rv1	1210	-1.27161638515861
22Rv1	1220	-1.52542403191849
22Rv1	1230	-1.49870743752271
22Rv1	1240	-1.5120657347206
22Rv1	1250	-1.79258997587626
22Rv1	1260	-1.91281465065726
22Rv1	1270	-1.95288954225093
22Rv1	1280	-1.99296443384459
22Rv1	1290	-2.08647251422981
22Rv1	1300	-2.17998059461503
22Rv1	1310	-2.26013037780236
22Rv1	1320	-2.62080440214535
22Rv1	1330	-2.70095418533269
22Rv1	1340	-2.76774567132213
22Rv1	1350	-2.90132864330101
22Rv1	1360	-3.16849458725878
22Rv1	1370	-3.16849458725878
22Rv1	1380	-3.36886904522711
22Rv1	1390	-3.58260180039333
22Rv1	1400	-3.87648433874688
22Rv1	1410	-3.87648433874688
22Rv1	1420	-4.17036687710043
22Rv1	1430	-4.42417452386031
22Rv1	1440	-4.39745792946453
22Rv1	1450	-4.33066644347509
22Rv1	1460	-4.25051666028776
