gene_id	gene_name	detected_prom_enh_loop	n_enhancers
ENSG00000006747.15	SCIN	False	12
ENSG00000006788.14	MYH13	False	6
ENSG00000006831.10	ADIPOR2	False	45
ENSG00000006837.12	CDKL3	False	28
ENSG00000006837.12	CDKL3	True	10
ENSG00000007001.12	UPP2	False	16
ENSG00000007062.11	PROM1	False	4
ENSG00000007129.18	CEACAM21	False	39
ENSG00000007168.13	PAFAH1B1	False	25
ENSG00000007171.18	NOS2	False	27
ENSG00000007171.18	NOS2	True	12
ENSG00000007174.18	DNAH9	False	24
ENSG00000007237.18	AC005747.1	False	6
ENSG00000007264.15	MATK	False	53
ENSG00000007264.15	MATK	True	6
ENSG00000007341.19	ST7L	False	7
ENSG00000007341.19	ST7L	True	9
ENSG00000007384.15	RHBDF1	False	40
ENSG00000007384.15	RHBDF1	True	11
ENSG00000007392.16	LUC7L	False	45
ENSG00000007392.16	LUC7L	True	6
ENSG00000007402.11	CACNA2D2	False	21
ENSG00000007402.11	CACNA2D2	True	2
ENSG00000007866.21	TEAD3	False	33
ENSG00000007923.16	DNAJC11	False	27
ENSG00000007944.15	MYLIP	False	8
ENSG00000007944.15	MYLIP	True	4
ENSG00000007968.7	E2F2	False	16
ENSG00000007968.7	E2F2	True	13
ENSG00000008018.9	PSMB1	False	30
ENSG00000008018.9	PSMB1	True	6
ENSG00000008083.14	JARID2	False	21
ENSG00000008083.14	JARID2	True	60
ENSG00000008086.13	CDKL5	False	3
ENSG00000008086.13	CDKL5	True	13
ENSG00000008118.10	CAMK1G	False	27
ENSG00000008118.10	CAMK1G	True	8
ENSG00000008130.15	NADK	False	22
ENSG00000008130.15	NADK	True	2
ENSG00000008196.13	TFAP2B	False	17
ENSG00000008196.13	TFAP2B	True	7
ENSG00000008197.4	TFAP2D	False	24
ENSG00000008226.20	DLEC1	False	24
ENSG00000008256.16	CYTH3	False	11
ENSG00000008277.14	ADAM22	False	3
ENSG00000008283.16	CYB561	False	4
ENSG00000008283.16	CYB561	True	22
ENSG00000008294.21	SPAG9	False	24
ENSG00000008323.15	PLEKHG6	False	20
ENSG00000008382.15	MPND	False	59
ENSG00000008394.13	MGST1	False	37
ENSG00000008394.13	MGST1	True	4
ENSG00000008405.12	CRY1	False	3
ENSG00000008405.12	CRY1	True	10
ENSG00000008438.5	PGLYRP1	False	33
ENSG00000008438.5	PGLYRP1	True	4
ENSG00000008441.16	NFIX	False	58
ENSG00000008441.16	NFIX	True	24
ENSG00000008513.16	ST3GAL1	False	23
ENSG00000008513.16	ST3GAL1	True	17
ENSG00000008735.14	MAPK8IP2	False	26
ENSG00000008735.14	MAPK8IP2	True	8
ENSG00000008838.20	MED24	False	41
ENSG00000008853.16	RHOBTB2	False	38
ENSG00000008988.9	RPS20	False	2
ENSG00000008988.9	RPS20	True	6
ENSG00000009335.18	UBE3C	False	7
ENSG00000009335.18	UBE3C	True	12
ENSG00000009413.16	REV3L	False	11
ENSG00000009413.16	REV3L	True	3
ENSG00000009709.12	PAX7	False	31
ENSG00000009724.17	MASP2	False	77
ENSG00000009724.17	MASP2	True	17
ENSG00000009765.14	IYD	False	21
ENSG00000009830.11	POMT2	False	27
ENSG00000009844.16	VTA1	False	20
ENSG00000009844.16	VTA1	True	1
ENSG00000009950.16	MLXIPL	False	27
ENSG00000009950.16	MLXIPL	True	26
ENSG00000009954.11	BAZ1B	False	53
ENSG00000010030.14	ETV7	False	41
ENSG00000010072.16	SPRTN	False	1
ENSG00000010072.16	SPRTN	True	4
ENSG00000010165.20	EEF1AKNMT	False	4
ENSG00000010165.20	EEF1AKNMT	True	9
ENSG00000010219.13	DYRK4	False	14
ENSG00000010270.13	STARD3NL	False	81
ENSG00000010278.14	CD9	False	10
ENSG00000010278.14	CD9	True	18
ENSG00000010295.19	IFFO1	False	24
ENSG00000010295.19	IFFO1	True	25
ENSG00000010310.9	GIPR	False	20
ENSG00000010310.9	GIPR	True	7
ENSG00000010319.7	SEMA3G	False	12
ENSG00000010319.7	SEMA3G	True	10
ENSG00000010322.16	NISCH	False	12
ENSG00000010322.16	NISCH	True	10
ENSG00000010438.16	PRSS3	False	5
ENSG00000010610.10	CD4	False	49
ENSG00000010810.17	FYN	False	14
ENSG00000010818.10	HIVEP2	False	1
ENSG00000010818.10	HIVEP2	True	4
ENSG00000010932.17	FMO1	False	18
ENSG00000011028.14	MRC2	False	26
ENSG00000011052.21	NME1-NME2	False	17
ENSG00000011052.21	NME1-NME2	True	7
ENSG00000011083.9	SLC6A7	False	11
ENSG00000011105.14	TSPAN9	False	10
ENSG00000011105.14	TSPAN9	True	17
ENSG00000011114.15	BTBD7	False	28
ENSG00000011198.10	ABHD5	False	9
ENSG00000011201.12	ANOS1	True	1
ENSG00000011243.18	AKAP8L	False	41
ENSG00000011243.18	AKAP8L	True	7
ENSG00000011260.14	UTP18	False	24
ENSG00000011275.18	RNF216	False	45
ENSG00000011295.16	TTC19	False	5
ENSG00000011332.19	DPF1	False	5
ENSG00000011332.19	DPF1	True	11
ENSG00000011347.10	SYT7	False	42
ENSG00000011376.12	LARS2	False	16
ENSG00000011451.20	WIZ	False	48
ENSG00000011454.17	RABGAP1	False	11
ENSG00000011465.17	DCN	False	1
ENSG00000011465.17	DCN	True	3
ENSG00000011485.15	PPP5C	False	37
ENSG00000011523.14	CEP68	True	15
ENSG00000011566.15	MAP4K3	False	4
ENSG00000011590.14	ZBTB32	False	16
ENSG00000011590.14	ZBTB32	True	10
ENSG00000011638.10	TMEM159	False	4
ENSG00000011638.10	TMEM159	True	5
ENSG00000012048.23	BRCA1	False	68
ENSG00000012048.23	BRCA1	True	5
ENSG00000012124.17	CD22	False	28
ENSG00000012223.13	LTF	False	15
ENSG00000012223.13	LTF	True	2
ENSG00000012232.9	EXTL3	False	9
ENSG00000012232.9	EXTL3	True	6
ENSG00000012504.15	NR1H4	False	4
ENSG00000012779.11	ALOX5	False	71
ENSG00000012822.16	CALCOCO1	False	60
ENSG00000012963.15	UBR7	False	28
ENSG00000012983.11	MAP4K5	False	38
ENSG00000013016.16	EHD3	False	42
ENSG00000013293.6	SLC7A14	False	5
ENSG00000013297.11	CLDN11	False	2
ENSG00000013297.11	CLDN11	True	3
ENSG00000013306.16	SLC25A39	False	45
ENSG00000013306.16	SLC25A39	True	11
ENSG00000013364.19	MVP	False	16
ENSG00000013364.19	MVP	True	13
ENSG00000013374.16	NUB1	False	56
ENSG00000013375.16	PGM3	True	15
ENSG00000013392.8	RWDD2A	False	5
ENSG00000013392.8	RWDD2A	True	10
ENSG00000013441.16	CLK1	False	49
ENSG00000013441.16	CLK1	True	5
ENSG00000013503.10	POLR3B	False	44
ENSG00000013561.18	RNF14	False	23
ENSG00000013561.18	RNF14	True	13
ENSG00000013583.10	HEBP1	False	47
ENSG00000013583.10	HEBP1	True	12
ENSG00000013588.8	GPRC5A	False	59
ENSG00000013725.14	CD6	False	45
ENSG00000013725.14	CD6	True	14
ENSG00000014164.7	ZC3H3	False	40
ENSG00000014164.7	ZC3H3	True	6
ENSG00000014257.16	ACPP	False	32
ENSG00000014257.16	ACPP	True	12
ENSG00000014914.21	MTMR11	False	41
ENSG00000014914.21	MTMR11	True	15
ENSG00000015133.19	CCDC88C	False	5
ENSG00000015133.19	CCDC88C	True	3
ENSG00000015171.19	ZMYND11	False	16
ENSG00000015475.18	BID	False	33
