Seq_Depth	Est_N_Loops	Frac_Saturation	Model
50000000	0	0	PCa13266
100000000	235.416581506014	0.0365513883405559	PCa13266
150000000	760.595738344076	0.118092064817771	PCa13266
200000000	1241.32679156554	0.192731613575355	PCa13266
250000000	1681.37156966147	0.261054105850639	PCa13266
300000000	2084.17352187964	0.323594180494804	PCa13266
350000000	2452.88466398845	0.38084122764201	PCa13266
400000000	2790.39024350845	0.433243218297136	PCa13266
450000000	3099.33131742239	0.481210209809535	PCa13266
500000000	3382.12541903943	0.525117554663913	PCa13266
550000000	3640.98547573643	0.56530883769785	PCa13266
600000000	3877.93712561176	0.602098564730341	PCa13266
650000000	4094.83456855855	0.635774623640488	PCa13266
700000000	4293.37507579541	0.666600537154826	PCa13266
750000000	4475.11227139499	0.694817524971863	PCa13266
800000000	4641.46828974138	0.720646391360412	PCa13266
850000000	4793.74490405122	0.744289253002601	PCa13266
900000000	4933.13371304147	0.765931120602314	PCa13266
950000000	5060.72546545718	0.785741346635519	PCa13266
1000000000	5177.51859542537	0.803874950571431	PCa13266
50000000	0	0	PCa13848
100000000	1280.27730717504	0.125157413264011	PCa13848
150000000	2480.68815943475	0.24250723761916	PCa13848
200000000	3520.07804083356	0.344115965821727	PCa13848
250000000	4420.04601723144	0.432095080436313	PCa13848
300000000	5199.29389431456	0.508272833522006	PCa13848
350000000	5874.01485090791	0.574232238667267	PCa13848
400000000	6458.22994170844	0.631343966841011	PCa13848
450000000	6964.07946214178	0.680794829652893	PCa13848
500000000	7402.07523005667	0.723612441919856	PCa13848
550000000	7781.3190268028	0.760686576039988	PCa13848
600000000	8109.69173701212	0.792787651928754	PCa13848
650000000	8394.01711750712	0.820582746748157	PCa13848
700000000	8640.20359853989	0.84464945711938	PCa13848
750000000	8853.36706406585	0.865487901882952	PCa13848
800000000	9037.93716249049	0.883531114830062	PCa13848
850000000	9197.74935708222	0.899154043371442	PCa13848
900000000	9336.12462890694	0.912681340140843	PCa13848
950000000	9455.93848855314	0.924394109446724	PCa13848
1000000000	9559.68073074728	0.93453574876694	PCa13848
50000000	0	0	PCa14121
100000000	56.8124284782725	0.0160104260457881	PCa14121
150000000	313.365059946846	0.088310045037622	PCa14121
