SampleID	Seq_Depth	Replicate	N
Benign-Prostate-3330581	150000000	10	1963
Benign-Prostate-3330581	150000000	2	1955
Benign-Prostate-3330581	150000000	3	1962
Benign-Prostate-3330581	150000000	4	1958
Benign-Prostate-3330581	150000000	5	1906
Benign-Prostate-3330581	150000000	6	1973
Benign-Prostate-3330581	150000000	7	1921
Benign-Prostate-3330581	150000000	8	1910
Benign-Prostate-3330581	150000000	9	1880
Benign-Prostate-3330581	200000000	1	3192
Benign-Prostate-3330581	200000000	10	3235
Benign-Prostate-3330581	200000000	2	3170
Benign-Prostate-3330581	200000000	3	3226
Benign-Prostate-3330581	200000000	4	3223
Benign-Prostate-3330581	200000000	5	3242
Benign-Prostate-3330581	200000000	6	3194
Benign-Prostate-3330581	200000000	7	3266
Benign-Prostate-3330581	200000000	8	3268
Benign-Prostate-3330581	200000000	9	3177
Benign-Prostate-3330581	250000000	1	4313
Benign-Prostate-3330581	250000000	10	4220
Benign-Prostate-3330581	250000000	2	4247
Benign-Prostate-3330581	250000000	3	4284
Benign-Prostate-3330581	250000000	4	4246
Benign-Prostate-3330581	250000000	5	4233
Benign-Prostate-3330581	250000000	6	4354
Benign-Prostate-3330581	250000000	7	4281
Benign-Prostate-3330581	250000000	8	4380
Benign-Prostate-3330581	250000000	9	4355
Benign-Prostate-3330581	300000000	1	5131
Benign-Prostate-3330581	300000000	10	5109
Benign-Prostate-3330581	300000000	2	5209
Benign-Prostate-3330581	300000000	3	5058
Benign-Prostate-3330581	300000000	4	5137
Benign-Prostate-3330581	300000000	5	5130
Benign-Prostate-3330581	300000000	6	5134
Benign-Prostate-3330581	300000000	7	5108
Benign-Prostate-3330581	300000000	8	5069
Benign-Prostate-3330581	300000000	9	5152
Benign-Prostate-3330581	50000000	1	4
Benign-Prostate-3330581	50000000	10	8
Benign-Prostate-3330581	50000000	2	6
Benign-Prostate-3330581	50000000	3	9
Benign-Prostate-3330581	50000000	4	5
Benign-Prostate-3330581	50000000	5	9
Benign-Prostate-3330581	50000000	6	2
Benign-Prostate-3330581	50000000	7	7
Benign-Prostate-3330581	50000000	8	3
Benign-Prostate-3330581	50000000	9	5
PCa13266	100000000	1	8
PCa13266	100000000	10	7
PCa13266	100000000	2	11
PCa13266	100000000	3	12
PCa13266	100000000	4	11
PCa13266	100000000	5	7
PCa13266	100000000	6	18
PCa13266	100000000	7	7
PCa13266	100000000	8	10
PCa13266	100000000	9	11
PCa13266	150000000	1	316
PCa13266	150000000	10	310
PCa13266	150000000	2	290
PCa13266	150000000	3	321
PCa13266	150000000	4	303
PCa13266	150000000	5	321
PCa13266	150000000	6	321
PCa13266	150000000	7	308
PCa13266	150000000	8	296
PCa13266	150000000	9	310
PCa13266	200000000	1	1232
PCa13266	200000000	10	1206
PCa13266	200000000	2	1232
PCa13266	200000000	3	1198
PCa13266	200000000	4	1201
PCa13266	200000000	5	1230
PCa13266	200000000	6	1221
PCa13266	200000000	7	1244
PCa13266	200000000	8	1184
PCa13266	200000000	9	1205
PCa13266	250000000	1	1949
PCa13266	250000000	10	1996
PCa13266	250000000	2	1984
PCa13266	250000000	3	1902
PCa13266	250000000	4	1977
PCa13266	250000000	5	1936
PCa13266	250000000	6	1957
PCa13266	250000000	7	1913
PCa13266	250000000	8	1949
PCa13266	250000000	9	1894
PCa13266	300000000	1	2280
PCa13266	300000000	10	2240
PCa13266	300000000	2	2219
PCa13266	300000000	3	2215
PCa13266	300000000	4	2271
PCa13266	300000000	5	2201
PCa13266	300000000	6	2246
PCa13266	300000000	7	2205
PCa13266	300000000	8	2269
PCa13266	300000000	9	2159
PCa13266	50000000	1	0
PCa13266	50000000	10	0
PCa13266	50000000	2	0
PCa13266	50000000	3	0
PCa13266	50000000	4	0
PCa13266	50000000	5	0
PCa13266	50000000	6	0
PCa13266	50000000	7	0
PCa13266	50000000	8	0
PCa13266	50000000	9	0
PCa13848	100000000	1	947
PCa13848	100000000	10	948
PCa13848	100000000	2	923
PCa13848	100000000	3	950
PCa13848	100000000	4	957
PCa13848	100000000	5	939
PCa13848	100000000	6	948
PCa13848	100000000	7	946
PCa13848	100000000	8	906
PCa13848	100000000	9	957
PCa13848	150000000	1	2840
PCa13848	150000000	10	2709
PCa13848	150000000	2	2771
PCa13848	150000000	3	2824
PCa13848	150000000	4	2808
PCa13848	150000000	5	2762
PCa13848	150000000	6	2762
PCa13848	150000000	7	2749
PCa13848	150000000	8	2781
PCa13848	150000000	9	2850
PCa13848	200000000	1	3469
PCa13848	200000000	10	3607
PCa13848	200000000	2	3511
PCa13848	200000000	3	3505
PCa13848	200000000	4	3425
PCa13848	200000000	5	3512
PCa13848	200000000	6	3516
PCa13848	200000000	7	3452
PCa13848	200000000	8	3553
PCa13848	200000000	9	3481
PCa13848	250000000	1	4337
PCa13848	250000000	10	4314
PCa13848	250000000	2	4411
PCa13848	250000000	3	4390
PCa13848	250000000	4	4394
PCa13848	250000000	5	4324
PCa13848	250000000	6	4284
PCa13848	250000000	7	4450
PCa13848	250000000	8	4357
PCa13848	250000000	9	4371
PCa13848	300000000	1	5203
PCa13848	300000000	10	5188
PCa13848	300000000	2	5192
PCa13848	300000000	3	5176
PCa13848	300000000	4	5189
PCa13848	300000000	5	5194
PCa13848	300000000	6	5210
PCa13848	300000000	7	5213
PCa13848	300000000	8	5242
PCa13848	300000000	9	5127
PCa13848	50000000	1	2
PCa13848	50000000	10	1
PCa13848	50000000	2	3
PCa13848	50000000	3	0
PCa13848	50000000	4	3
PCa13848	50000000	5	3
PCa13848	50000000	6	0
PCa13848	50000000	7	6
PCa13848	50000000	8	3
PCa13848	50000000	9	5
PCa14121	100000000	1	0
PCa14121	100000000	10	0
PCa14121	100000000	2	1
PCa14121	100000000	3	0
PCa14121	100000000	4	0
PCa14121	100000000	5	0
PCa14121	100000000	6	0
PCa14121	100000000	7	0
PCa14121	100000000	8	1
PCa14121	100000000	9	0
PCa14121	150000000	1	34
PCa14121	150000000	10	32
PCa14121	150000000	2	29
PCa14121	150000000	3	41
PCa14121	150000000	4	34
PCa14121	150000000	5	34
PCa14121	150000000	6	34
PCa14121	150000000	7	24
PCa14121	150000000	8	32
PCa14121	150000000	9	36
PCa14121	200000000	1	337
PCa14121	200000000	10	320
PCa14121	200000000	2	298
PCa14121	200000000	3	336
PCa14121	200000000	4	301
PCa14121	200000000	5	278
PCa14121	200000000	6	321
PCa14121	200000000	7	278
PCa14121	200000000	8	304
PCa14121	200000000	9	341
PCa14121	250000000	1	874
PCa14121	250000000	10	862
PCa14121	250000000	2	886
PCa14121	250000000	3	887
PCa14121	250000000	4	824
PCa14121	250000000	5	849
PCa14121	250000000	6	876
PCa14121	250000000	7	870
PCa14121	250000000	8	830
PCa14121	250000000	9	859
PCa14121	300000000	1	1299
PCa14121	300000000	10	1288
PCa14121	300000000	2	1231
PCa14121	300000000	3	1310
PCa14121	300000000	4	1292
PCa14121	300000000	5	1340
PCa14121	300000000	6	1280
PCa14121	300000000	7	1297
PCa14121	300000000	8	1273
PCa14121	300000000	9	1299
PCa14121	50000000	1	0
PCa14121	50000000	10	0
PCa14121	50000000	2	0
PCa14121	50000000	3	0
PCa14121	50000000	4	0
PCa14121	50000000	5	0
PCa14121	50000000	6	0
PCa14121	50000000	7	0
PCa14121	50000000	8	0
PCa14121	50000000	9	0
PCa19121	100000000	1	73
PCa19121	100000000	10	77
PCa19121	100000000	2	79
PCa19121	100000000	3	73
PCa19121	100000000	4	78
PCa19121	100000000	5	70
PCa19121	100000000	6	60
PCa19121	100000000	7	77
PCa19121	100000000	8	66
PCa19121	100000000	9	82
PCa19121	150000000	1	930
PCa19121	150000000	10	885
PCa19121	150000000	2	906
PCa19121	150000000	3	923
PCa19121	150000000	4	913
PCa19121	150000000	5	901
PCa19121	150000000	6	936
PCa19121	150000000	7	957
PCa19121	150000000	8	898
PCa19121	150000000	9	920
PCa19121	200000000	1	2025
PCa19121	200000000	10	2059
PCa19121	200000000	2	1992
PCa19121	200000000	3	2020
PCa19121	200000000	4	1997
PCa19121	200000000	5	2014
PCa19121	200000000	6	2064
PCa19121	200000000	7	2041
PCa19121	200000000	8	1992
PCa19121	200000000	9	1966
PCa19121	250000000	1	2382
PCa19121	250000000	10	2446
PCa19121	250000000	2	2435
PCa19121	250000000	3	2352
PCa19121	250000000	4	2377
PCa19121	250000000	5	2374
PCa19121	250000000	6	2400
PCa19121	250000000	7	2486
PCa19121	250000000	8	2377
PCa19121	250000000	9	2360
PCa19121	300000000	1	2809
PCa19121	300000000	10	2822
PCa19121	300000000	2	2778
PCa19121	300000000	3	2772
PCa19121	300000000	4	2730
PCa19121	300000000	5	2766
PCa19121	300000000	6	2726
PCa19121	300000000	7	2820
PCa19121	300000000	8	2716
PCa19121	300000000	9	2743
PCa19121	50000000	1	0
PCa19121	50000000	10	0
PCa19121	50000000	2	0
PCa19121	50000000	3	0
PCa19121	50000000	4	0
PCa19121	50000000	5	0
PCa19121	50000000	6	0
PCa19121	50000000	7	0
PCa19121	50000000	8	0
PCa19121	50000000	9	0
PCa3023	100000000	1	345
PCa3023	100000000	10	339
PCa3023	100000000	2	349
PCa3023	100000000	3	351
PCa3023	100000000	4	331
PCa3023	100000000	5	330
PCa3023	100000000	6	358
PCa3023	100000000	7	331
PCa3023	100000000	8	336
PCa3023	100000000	9	350
PCa3023	150000000	1	1902
PCa3023	150000000	10	1872
PCa3023	150000000	2	1869
PCa3023	150000000	3	1884
PCa3023	150000000	4	1876
PCa3023	150000000	5	1884
PCa3023	150000000	6	1859
PCa3023	150000000	7	1849
PCa3023	150000000	8	1894
PCa3023	150000000	9	1905
PCa3023	200000000	1	2602
PCa3023	200000000	10	2510
PCa3023	200000000	2	2597
PCa3023	200000000	3	2526
PCa3023	200000000	4	2549
PCa3023	200000000	5	2574
PCa3023	200000000	6	2620
PCa3023	200000000	7	2600
PCa3023	200000000	8	2574
PCa3023	200000000	9	2512
PCa3023	250000000	1	2667
PCa3023	250000000	10	2638
PCa3023	250000000	2	2612
PCa3023	250000000	3	2722
PCa3023	250000000	4	2689
PCa3023	250000000	5	2732
PCa3023	250000000	6	2730
PCa3023	250000000	7	2643
PCa3023	250000000	8	2676
PCa3023	250000000	9	2705
PCa3023	300000000	1	3088
PCa3023	300000000	10	2989
PCa3023	300000000	2	3000
PCa3023	300000000	3	2980
PCa3023	300000000	4	3054
PCa3023	300000000	5	3072
PCa3023	300000000	6	3014
PCa3023	300000000	7	2938
PCa3023	300000000	8	3083
PCa3023	300000000	9	3042
PCa3023	50000000	1	0
PCa3023	50000000	10	0
PCa3023	50000000	2	0
PCa3023	50000000	3	0
PCa3023	50000000	4	0
PCa3023	50000000	5	0
PCa3023	50000000	6	1
PCa3023	50000000	7	0
PCa3023	50000000	8	0
PCa3023	50000000	9	0
PCa33173	100000000	1	456
PCa33173	100000000	10	426
PCa33173	100000000	2	476
PCa33173	100000000	3	474
PCa33173	100000000	4	448
PCa33173	100000000	5	459
PCa33173	100000000	6	487
PCa33173	100000000	7	448
PCa33173	100000000	8	476
PCa33173	100000000	9	471
PCa33173	150000000	1	2201
PCa33173	150000000	10	2266
PCa33173	150000000	2	2222
PCa33173	150000000	3	2191
PCa33173	150000000	4	2196
PCa33173	150000000	5	2253
PCa33173	150000000	6	2229
PCa33173	150000000	7	2208
PCa33173	150000000	8	2209
PCa33173	150000000	9	2258
PCa33173	200000000	1	3008
PCa33173	200000000	10	2949
PCa33173	200000000	2	2963
PCa33173	200000000	3	3074
PCa33173	200000000	4	3069
PCa33173	200000000	5	2963
PCa33173	200000000	6	2997
PCa33173	200000000	7	2981
PCa33173	200000000	8	2993
PCa33173	200000000	9	2989
PCa33173	250000000	1	3230
PCa33173	250000000	10	3246
PCa33173	250000000	2	3292
PCa33173	250000000	3	3181
PCa33173	250000000	4	3183
PCa33173	250000000	5	3274
PCa33173	250000000	6	3179
PCa33173	250000000	7	3121
PCa33173	250000000	8	3221
PCa33173	250000000	9	3230
PCa33173	300000000	1	3558
PCa33173	300000000	10	3555
PCa33173	300000000	2	3638
PCa33173	300000000	3	3659
PCa33173	300000000	4	3623
PCa33173	300000000	5	3623
PCa33173	300000000	6	3543
PCa33173	300000000	7	3651
PCa33173	300000000	8	3592
PCa33173	300000000	9	3486
PCa33173	50000000	1	0
PCa33173	50000000	10	1
PCa33173	50000000	2	0
PCa33173	50000000	3	0
PCa33173	50000000	4	0
PCa33173	50000000	5	0
PCa33173	50000000	6	1
PCa33173	50000000	7	0
PCa33173	50000000	8	0
PCa33173	50000000	9	1
PCa40507	100000000	1	5
PCa40507	100000000	10	3
PCa40507	100000000	2	4
PCa40507	100000000	3	6
PCa40507	100000000	4	1
PCa40507	100000000	5	6
PCa40507	100000000	6	4
PCa40507	100000000	7	0
PCa40507	100000000	8	2
PCa40507	100000000	9	1
PCa40507	150000000	1	150
PCa40507	150000000	10	145
PCa40507	150000000	2	128
PCa40507	150000000	3	118
PCa40507	150000000	4	146
PCa40507	150000000	5	156
PCa40507	150000000	6	142
PCa40507	150000000	7	139
PCa40507	150000000	8	142
PCa40507	150000000	9	145
PCa40507	200000000	1	600
PCa40507	200000000	10	582
PCa40507	200000000	2	580
PCa40507	200000000	3	585
PCa40507	200000000	4	557
PCa40507	200000000	5	577
PCa40507	200000000	6	573
PCa40507	200000000	7	599
PCa40507	200000000	8	593
PCa40507	200000000	9	569
PCa40507	250000000	1	795
PCa40507	250000000	10	785
PCa40507	250000000	2	808
PCa40507	250000000	3	810
PCa40507	250000000	4	840
PCa40507	250000000	5	814
PCa40507	250000000	6	852
PCa40507	250000000	7	814
PCa40507	250000000	8	819
PCa40507	250000000	9	815
PCa40507	300000000	1	843
PCa40507	300000000	10	816
PCa40507	300000000	2	787
PCa40507	300000000	3	806
PCa40507	300000000	4	865
PCa40507	300000000	5	818
PCa40507	300000000	6	853
PCa40507	300000000	7	788
PCa40507	300000000	8	857
PCa40507	300000000	9	826
PCa40507	50000000	1	0
PCa40507	50000000	10	0
PCa40507	50000000	2	0
PCa40507	50000000	3	0
PCa40507	50000000	4	0
PCa40507	50000000	5	0
PCa40507	50000000	6	0
PCa40507	50000000	7	0
PCa40507	50000000	8	0
PCa40507	50000000	9	0
PCa51852	100000000	1	0
PCa51852	100000000	10	0
PCa51852	100000000	2	0
PCa51852	100000000	3	0
PCa51852	100000000	4	0
PCa51852	100000000	5	1
PCa51852	100000000	6	0
PCa51852	100000000	7	0
PCa51852	100000000	8	0
PCa51852	100000000	9	0
PCa51852	150000000	1	31
PCa51852	150000000	10	27
PCa51852	150000000	2	23
PCa51852	150000000	3	22
PCa51852	150000000	4	26
PCa51852	150000000	5	29
PCa51852	150000000	6	31
PCa51852	150000000	7	37
PCa51852	150000000	8	27
PCa51852	150000000	9	19
PCa51852	200000000	1	266
PCa51852	200000000	10	283
PCa51852	200000000	2	256
PCa51852	200000000	3	272
PCa51852	200000000	4	265
PCa51852	200000000	5	269
PCa51852	200000000	6	259
PCa51852	200000000	7	272
PCa51852	200000000	8	256
PCa51852	200000000	9	252
PCa51852	250000000	1	808
PCa51852	250000000	10	797
PCa51852	250000000	2	777
PCa51852	250000000	3	765
PCa51852	250000000	4	775
PCa51852	250000000	5	793
PCa51852	250000000	6	833
PCa51852	250000000	7	763
PCa51852	250000000	8	826
PCa51852	250000000	9	832
PCa51852	300000000	1	1198
PCa51852	300000000	10	1206
PCa51852	300000000	2	1217
PCa51852	300000000	3	1239
PCa51852	300000000	4	1183
PCa51852	300000000	5	1223
PCa51852	300000000	6	1247
PCa51852	300000000	7	1202
PCa51852	300000000	8	1202
PCa51852	300000000	9	1216
PCa51852	50000000	1	0
PCa51852	50000000	10	0
PCa51852	50000000	2	0
PCa51852	50000000	3	0
PCa51852	50000000	4	0
PCa51852	50000000	5	0
PCa51852	50000000	6	0
PCa51852	50000000	7	0
PCa51852	50000000	8	0
PCa51852	50000000	9	0
PCa53687	100000000	1	0
PCa53687	100000000	10	3
PCa53687	100000000	2	1
PCa53687	100000000	3	4
PCa53687	100000000	4	1
PCa53687	100000000	5	2
PCa53687	100000000	6	1
PCa53687	100000000	7	1
PCa53687	100000000	8	2
PCa53687	100000000	9	2
PCa53687	150000000	1	142
PCa53687	150000000	10	152
PCa53687	150000000	2	150
PCa53687	150000000	3	136
PCa53687	150000000	4	142
PCa53687	150000000	5	155
PCa53687	150000000	6	148
PCa53687	150000000	7	138
PCa53687	150000000	8	142
PCa53687	150000000	9	130
PCa53687	200000000	1	651
PCa53687	200000000	10	687
PCa53687	200000000	2	637
PCa53687	200000000	3	609
PCa53687	200000000	4	637
PCa53687	200000000	5	607
PCa53687	200000000	6	651
PCa53687	200000000	7	610
PCa53687	200000000	8	662
PCa53687	200000000	9	643
PCa53687	250000000	1	833
PCa53687	250000000	10	818
PCa53687	250000000	2	818
PCa53687	250000000	3	831
