Sample1	Sample2	Window	N_Int	Total	Frac
PCa13848	PCa14121	5	4668	6167	0.756932057726609
PCa13848	PCa14121	6	4278	5507	0.776829489740331
PCa13848	PCa14121	7	4017	4998	0.803721488595438
PCa13848	PCa14121	8	3689	4554	0.810057092665788
PCa13848	PCa14121	9	3378	4167	0.810655147588193
PCa13848	PCa14121	10	3104	3838	0.808754559666493
PCa13848	PCa14121	11	2871	3533	0.812623832437022
PCa13848	PCa14121	12	2702	3319	0.814100632720699
PCa13848	PCa14121	13	2553	3126	0.816698656429943
PCa13848	PCa14121	14	2384	2953	0.807314595326786
PCa13848	PCa14121	15	2261	2784	0.812140804597701
PCa13848	PCa14121	16	2153	2625	0.820190476190476
PCa13848	PCa14121	17	2045	2510	0.814741035856574
PCa13848	PCa14121	18	1960	2402	0.815986677768526
PCa13848	PCa14121	19	1891	2322	0.814384151593454
PCa13848	PCa14121	20	1795	2220	0.808558558558559
PCa13848	PCa14121	21	1731	2128	0.81343984962406
PCa13848	PCa14121	22	1666	2050	0.812682926829268
PCa13848	PCa14121	23	1622	1982	0.818365287588295
PCa13848	PCa14121	24	1568	1933	0.811174340403518
PCa13848	PCa14121	25	1525	1877	0.812466702184337
PCa13848	PCa14121	26	1482	1817	0.815630159603743
PCa13848	PCa14121	27	1428	1787	0.799104644655848
PCa13848	PCa14121	28	1383	1736	0.796658986175115
PCa13848	PCa14121	29	1339	1687	0.793716656787196
PCa13848	PCa14121	30	1318	1642	0.802679658952497
PCa13848	PCa19121	3	5255	7722	0.680523180523181
PCa13848	PCa19121	4	5223	6918	0.75498699045967
PCa13848	PCa19121	5	4926	6167	0.798767634181936
PCa13848	PCa19121	6	4537	5507	0.823860541129472
PCa13848	PCa19121	7	4166	4998	0.833533413365346
PCa13848	PCa19121	8	3861	4554	0.847826086956522
PCa13848	PCa19121	9	3522	4167	0.845212383009359
PCa13848	PCa19121	10	3252	3838	0.847316310578426
PCa13848	PCa19121	11	2966	3533	0.839513161619021
PCa13848	PCa19121	12	2807	3319	0.845736667670985
PCa13848	PCa19121	13	2670	3126	0.854126679462572
PCa13848	PCa19121	14	2499	2953	0.846258042668473
PCa13848	PCa19121	15	2355	2784	0.845905172413793
PCa13848	PCa19121	16	2224	2625	0.847238095238095
PCa13848	PCa19121	17	2127	2510	0.847410358565737
PCa13848	PCa19121	18	2058	2402	0.856786011656953
PCa13848	PCa19121	19	1969	2322	0.847975882859604
PCa13848	PCa19121	20	1887	2220	0.85
PCa13848	PCa19121	21	1801	2128	0.846334586466166
PCa13848	PCa19121	22	1759	2050	0.858048780487805
PCa13848	PCa19121	23	1682	1982	0.848637739656912
PCa13848	PCa19121	24	1640	1933	0.848422141748577
PCa13848	PCa19121	25	1597	1877	0.85082578582845
PCa13848	PCa19121	26	1544	1817	0.849752339020363
PCa13848	PCa19121	27	1508	1787	0.843872411863458
PCa13848	PCa19121	28	1462	1736	0.842165898617512
PCa13848	PCa19121	29	1419	1687	0.841138114997036
PCa13848	PCa19121	30	1399	1642	0.852009744214373
PCa13848	PCa3023	3	5464	7722	0.707588707588708
PCa13848	PCa3023	4	5353	6918	0.773778548713501
PCa13848	PCa3023	5	5012	6167	0.812712826333712
PCa13848	PCa3023	6	4626	5507	0.84002179044852
PCa13848	PCa3023	7	4229	4998	0.846138455382153
PCa13848	PCa3023	8	3859	4554	0.847386912604304
PCa13848	PCa3023	9	3566	4167	0.855771538276938
PCa13848	PCa3023	10	3300	3838	0.859822824387702
PCa13848	PCa3023	11	3029	3533	0.857345032550241
PCa13848	PCa3023	12	2852	3319	0.859294968363965
PCa13848	PCa3023	13	2706	3126	0.865642994241843
PCa13848	PCa3023	14	2527	2953	0.855739925499492
PCa13848	PCa3023	15	2393	2784	0.859554597701149
PCa13848	PCa3023	16	2256	2625	0.859428571428571
PCa13848	PCa3023	17	2137	2510	0.851394422310757
PCa13848	PCa3023	18	2065	2402	0.85970024979184
PCa13848	PCa3023	19	1996	2322	0.859603789836348
PCa13848	PCa3023	20	1896	2220	0.854054054054054
PCa13848	PCa3023	21	1792	2128	0.842105263157895
PCa13848	PCa3023	22	1741	2050	0.849268292682927
PCa13848	PCa3023	23	1687	1982	0.851160443995964
PCa13848	PCa3023	24	1646	1933	0.851526125193999
PCa13848	PCa3023	25	1602	1877	0.853489611081513
PCa13848	PCa3023	26	1536	1817	0.845349477160154
PCa13848	PCa3023	27	1514	1787	0.847229994404029
PCa13848	PCa3023	28	1469	1736	0.846198156682028
PCa13848	PCa3023	29	1427	1687	0.84588026081802
PCa13848	PCa3023	30	1389	1642	0.845919610231425
PCa13848	PCa33173	3	5409	7722	0.700466200466201
PCa13848	PCa33173	4	5268	6918	0.761491760624458
PCa13848	PCa33173	5	4965	6167	0.805091616669369
PCa13848	PCa33173	6	4531	5507	0.822771018703468
PCa13848	PCa33173	7	4165	4998	0.833333333333333
PCa13848	PCa33173	8	3800	4554	0.834431269213878
PCa13848	PCa33173	9	3502	4167	0.840412766978642
PCa13848	PCa33173	10	3244	3838	0.845231891610214
PCa13848	PCa33173	11	2968	3533	0.840079252759694
PCa13848	PCa33173	12	2803	3319	0.844531485387165
PCa13848	PCa33173	13	2616	3126	0.836852207293666
PCa13848	PCa33173	14	2472	2953	0.83711479850999
PCa13848	PCa33173	15	2348	2784	0.843390804597701
PCa13848	PCa33173	16	2238	2625	0.852571428571429
PCa13848	PCa33173	17	2119	2510	0.844223107569721
PCa13848	PCa33173	18	2016	2402	0.839300582847627
PCa13848	PCa33173	19	1986	2322	0.855297157622739
PCa13848	PCa33173	20	1895	2220	0.853603603603604
PCa13848	PCa33173	21	1799	2128	0.845394736842105
PCa13848	PCa33173	22	1740	2050	0.848780487804878
PCa13848	PCa33173	23	1671	1982	0.843087790110999
PCa13848	PCa33173	24	1616	1933	0.836006207966891
PCa13848	PCa33173	25	1583	1877	0.843367075119872
PCa13848	PCa33173	26	1534	1817	0.844248761695102
PCa13848	PCa33173	27	1496	1787	0.837157246782317
PCa13848	PCa33173	28	1457	1736	0.839285714285714
PCa13848	PCa33173	29	1425	1687	0.844694724362774
PCa13848	PCa33173	30	1380	1642	0.840438489646772
PCa13848	PCa40507	3	4834	7722	0.626003626003626
PCa13848	PCa40507	4	4915	6918	0.710465452442903
PCa13848	PCa40507	5	4658	6167	0.755310523755473
PCa13848	PCa40507	6	4375	5507	0.794443435627383
PCa13848	PCa40507	7	4002	4998	0.800720288115246
