Sample1	Sample2	Window	N_Int	Total	Frac
PCa14121	PCa33173	13	2575	3017	0.853496851176666
PCa14121	PCa33173	14	2411	2809	0.858312566749733
PCa14121	PCa33173	15	2294	2666	0.86046511627907
PCa14121	PCa33173	16	2196	2520	0.871428571428572
PCa14121	PCa33173	17	2099	2409	0.871315898713159
PCa14121	PCa33173	18	1999	2300	0.869130434782609
PCa14121	PCa33173	19	1897	2195	0.864236902050114
PCa14121	PCa33173	20	1823	2108	0.864800759013283
PCa14121	PCa33173	21	1775	2038	0.870951913640824
PCa14121	PCa33173	22	1684	1960	0.859183673469388
PCa14121	PCa33173	23	1634	1911	0.855049712192569
PCa14121	PCa33173	24	1577	1858	0.848762109795479
PCa14121	PCa33173	25	1529	1787	0.855623950755456
PCa14121	PCa33173	26	1504	1748	0.860411899313501
PCa14121	PCa33173	27	1431	1682	0.85077288941736
PCa14121	PCa33173	28	1378	1639	0.840756558877364
PCa14121	PCa33173	29	1362	1601	0.850718301061836
PCa14121	PCa33173	30	1323	1565	0.845367412140575
PCa14121	PCa40507	3	4380	6824	0.641852286049238
PCa14121	PCa40507	4	4686	6448	0.726736972704715
PCa14121	PCa40507	5	4473	5868	0.762269938650307
PCa14121	PCa40507	6	4201	5233	0.802789986623352
PCa14121	PCa40507	7	3907	4825	0.809740932642487
PCa14121	PCa40507	8	3589	4357	0.823731925636906
PCa14121	PCa40507	9	3369	4029	0.836187639612807
PCa14121	PCa40507	10	3115	3704	0.84098272138229
PCa14121	PCa40507	11	2922	3413	0.856138294755347
PCa14121	PCa40507	12	2746	3232	0.849628712871287
PCa14121	PCa40507	13	2553	3017	0.846204839244282
PCa14121	PCa40507	14	2359	2809	0.839800640797437
PCa14121	PCa40507	15	2259	2666	0.847336834208552
PCa14121	PCa40507	16	2158	2520	0.856349206349206
PCa14121	PCa40507	17	2050	2409	0.850975508509755
PCa14121	PCa40507	18	1970	2300	0.856521739130435
PCa14121	PCa40507	19	1891	2195	0.861503416856492
PCa14121	PCa40507	20	1802	2108	0.854838709677419
PCa14121	PCa40507	21	1760	2038	0.863591756624141
PCa14121	PCa40507	22	1672	1960	0.853061224489796
PCa14121	PCa40507	23	1640	1911	0.858189429618001
PCa14121	PCa40507	24	1566	1858	0.842841765339074
PCa14121	PCa40507	25	1538	1787	0.860660324566312
PCa14121	PCa40507	26	1490	1748	0.852402745995423
PCa14121	PCa40507	27	1433	1682	0.851961950059453
PCa14121	PCa40507	28	1400	1639	0.854179377669311
PCa14121	PCa40507	29	1353	1601	0.845096814490943
PCa14121	PCa40507	30	1329	1565	0.849201277955272
PCa14121	PCa51852	3	4347	6824	0.637016412661196
PCa14121	PCa51852	4	4694	6448	0.727977667493797
PCa14121	PCa51852	5	4523	5868	0.770790729379686
PCa14121	PCa51852	6	4244	5233	0.811007070514046
PCa14121	PCa51852	7	4012	4825	0.831502590673575
PCa14121	PCa51852	8	3619	4357	0.830617397291715
PCa14121	PCa51852	9	3361	4029	0.834202035244478
PCa14121	PCa51852	10	3097	3704	0.836123110151188
PCa14121	PCa51852	11	2871	3413	0.841195429241137
PCa14121	PCa51852	12	2709	3232	0.838180693069307
PCa14121	PCa51852	13	2493	3017	0.826317533974147
PCa14121	PCa51852	14	2353	2809	0.837664649341403
PCa14121	PCa51852	15	2232	2666	0.837209302325582
PCa14121	PCa51852	16	2160	2520	0.857142857142857
PCa14121	PCa51852	17	2036	2409	0.84516396845164
PCa14121	PCa51852	18	1945	2300	0.845652173913044
PCa14121	PCa51852	19	1872	2195	0.852847380410023
PCa14121	PCa51852	20	1779	2108	0.84392789373814
PCa14121	PCa51852	21	1705	2038	0.836604514229637
PCa14121	PCa51852	22	1647	1960	0.84030612244898
PCa14121	PCa51852	23	1603	1911	0.838827838827839
PCa14121	PCa51852	24	1562	1858	0.840688912809473
PCa14121	PCa51852	25	1499	1787	0.838836038052602
PCa14121	PCa51852	26	1460	1748	0.835240274599542
PCa14121	PCa51852	27	1405	1682	0.835315101070155
PCa14121	PCa51852	28	1371	1639	0.836485661989018
PCa14121	PCa51852	29	1335	1601	0.833853841349157
PCa14121	PCa51852	30	1322	1565	0.844728434504792
PCa14121	PCa53687	3	4446	6824	0.651524032825322
PCa14121	PCa53687	4	4728	6448	0.733250620347395
PCa14121	PCa53687	5	4539	5868	0.773517382413088
PCa14121	PCa53687	6	4195	5233	0.801643416778139
PCa14121	PCa53687	7	3957	4825	0.820103626943005
PCa14121	PCa53687	8	3592	4357	0.824420472802387
PCa14121	PCa53687	9	3327	4029	0.825763216679077
PCa14121	PCa53687	10	3057	3704	0.825323974082074
PCa14121	PCa53687	11	2872	3413	0.841488426604161
PCa14121	PCa53687	12	2676	3232	0.827970297029703
PCa14121	PCa53687	13	2514	3017	0.833278090818694
PCa14121	PCa53687	14	2326	2809	0.828052687789249
PCa14121	PCa53687	15	2228	2666	0.835708927231808
PCa14121	PCa53687	16	2101	2520	0.833730158730159
PCa14121	PCa53687	17	1997	2409	0.828974678289747
PCa14121	PCa53687	18	1913	2300	0.831739130434783
PCa14121	PCa53687	19	1850	2195	0.842824601366743
PCa14121	PCa53687	20	1773	2108	0.841081593927894
PCa14121	PCa53687	21	1692	2038	0.830225711481845
PCa14121	PCa53687	22	1643	1960	0.838265306122449
PCa14121	PCa53687	23	1562	1911	0.817373103087389
PCa14121	PCa53687	24	1506	1858	0.810548977395049
PCa14121	PCa53687	25	1464	1787	0.819250139899273
PCa14121	PCa53687	26	1427	1748	0.816361556064073
PCa14121	PCa53687	27	1371	1682	0.815101070154578
PCa14121	PCa53687	28	1335	1639	0.814521049420378
PCa14121	PCa53687	29	1310	1601	0.818238600874454
PCa14121	PCa53687	30	1281	1565	0.8185303514377
PCa14121	PCa56413	3	4802	6824	0.70369284876905
PCa14121	PCa56413	4	4939	6448	0.765973945409429
PCa14121	PCa56413	5	4697	5868	0.800443081117928
PCa14121	PCa56413	6	4346	5233	0.830498757882668
PCa14121	PCa56413	7	4053	4825	0.84
PCa14121	PCa56413	8	3674	4357	0.843240761992196
PCa14121	PCa56413	9	3409	4029	0.846115661454455
PCa14121	PCa56413	10	3126	3704	0.843952483801296
PCa14121	PCa56413	11	2895	3413	0.848227365953706
PCa14121	PCa56413	12	2737	3232	0.846844059405941
PCa14121	PCa56413	13	2552	3017	0.845873384156447
PCa14121	PCa56413	14	2384	2809	0.848700605197579
PCa14121	PCa56413	15	2271	2666	0.851837959489873
PCa14121	PCa56413	16	2147	2520	0.851984126984127
PCa14121	PCa56413	17	2026	2409	0.841012868410129
PCa14121	PCa56413	18	1931	2300	0.839565217391304
PCa14121	PCa56413	19	1866	2195	0.850113895216401
PCa14121	PCa56413	20	1781	2108	0.844876660341556
PCa14121	PCa56413	21	1750	2038	0.858684985279686
PCa14121	PCa56413	22	1662	1960	0.847959183673469
PCa14121	PCa56413	23	1627	1911	0.851386708529566
PCa14121	PCa56413	24	1571	1858	0.845532831001077
PCa14121	PCa56413	25	1507	1787	0.843312814773363
PCa14121	PCa56413	26	1466	1748	0.838672768878719
PCa14121	PCa56413	27	1420	1682	0.84423305588585
PCa14121	PCa56413	28	1389	1639	0.847467968273337
PCa14121	PCa56413	29	1349	1601	0.842598376014991
PCa14121	PCa56413	30	1302	1565	0.831948881789137
PCa14121	PCa57054	3	4733	6824	0.693581477139508
PCa14121	PCa57054	4	4922	6448	0.76333746898263
PCa14121	PCa57054	5	4683	5868	0.798057259713701
PCa14121	PCa57054	6	4326	5233	0.826676858398624
PCa14121	PCa57054	7	4060	4825	0.841450777202073
PCa14121	PCa57054	8	3694	4357	0.847831076428735
PCa14121	PCa57054	9	3395	4029	0.842640853809878
PCa14121	PCa57054	10	3137	3704	0.846922246220302
PCa14121	PCa57054	11	2916	3413	0.854380310577205
PCa14121	PCa57054	12	2759	3232	0.85365099009901
PCa14121	PCa57054	13	2547	3017	0.844216108717269
PCa14121	PCa57054	14	2384	2809	0.848700605197579
PCa14121	PCa57054	15	2261	2666	0.848087021755439
PCa14121	PCa57054	16	2163	2520	0.858333333333333
PCa14121	PCa57054	17	2063	2409	0.856371938563719
PCa14121	PCa57054	18	1975	2300	0.858695652173913
PCa14121	PCa57054	19	1897	2195	0.864236902050114
PCa14121	PCa57054	20	1818	2108	0.862428842504744
PCa14121	PCa57054	21	1745	2038	0.856231599607458
PCa14121	PCa57054	22	1666	1960	0.85
PCa14121	PCa57054	23	1616	1911	0.845630559916274
PCa14121	PCa57054	24	1569	1858	0.844456404736276
PCa14121	PCa57054	25	1521	1787	0.851147174034695
PCa14121	PCa57054	26	1486	1748	0.850114416475973
PCa14121	PCa57054	27	1435	1682	0.853151010701546
PCa14121	PCa57054	28	1398	1639	0.852959121415497
PCa14121	PCa57054	29	1352	1601	0.844472204871955
PCa14121	PCa57054	30	1329	1565	0.849201277955272
PCa14121	PCa57294	3	4608	6824	0.675263774912075
PCa14121	PCa57294	4	4817	6448	0.747053349875931
PCa14121	PCa57294	5	4619	5868	0.787150647580095
PCa14121	PCa57294	6	4255	5233	0.81310911523027
PCa14121	PCa57294	7	3999	4825	0.82880829015544
PCa14121	PCa57294	8	3624	4357	0.831764975900849
PCa14121	PCa57294	9	3379	4029	0.838669645073219
PCa14121	PCa57294	10	3153	3704	0.851241900647948
PCa14121	PCa57294	11	2902	3413	0.850278347494873
PCa14121	PCa57294	12	2732	3232	0.84529702970297
PCa14121	PCa57294	13	2543	3017	0.842890288365926
PCa14121	PCa57294	14	2369	2809	0.843360626557494
PCa14121	PCa57294	15	2262	2666	0.848462115528882
PCa14121	PCa57294	16	2128	2520	0.844444444444445
PCa14121	PCa57294	17	2043	2409	0.848069738480697
PCa14121	PCa57294	18	1942	2300	0.844347826086957
PCa14121	PCa57294	19	1862	2195	0.848291571753986
PCa14121	PCa57294	20	1793	2108	0.850569259962049
PCa14121	PCa57294	21	1710	2038	0.839057899901865
PCa14121	PCa57294	22	1661	1960	0.847448979591837
PCa14121	PCa57294	23	1601	1911	0.837781266352695
PCa14121	PCa57294	24	1533	1858	0.82508073196986
PCa14121	PCa57294	25	1475	1787	0.825405707890319
PCa14121	PCa57294	26	1435	1748	0.820938215102975
PCa14121	PCa57294	27	1383	1682	0.822235434007135
PCa14121	PCa57294	28	1356	1639	0.827333740085418
PCa14121	PCa57294	29	1308	1601	0.816989381636477
PCa14121	PCa57294	30	1286	1565	0.821725239616613
PCa14121	PCa58215	3	4841	6824	0.709407971864009
PCa14121	PCa58215	4	5046	6448	0.7825682382134
PCa14121	PCa58215	5	4815	5868	0.820552147239264
PCa14121	PCa58215	6	4422	5233	0.845021975922033
PCa14121	PCa58215	7	4144	4825	0.858860103626943
PCa14121	PCa58215	8	3772	4357	0.865733302731237
PCa14121	PCa58215	9	3498	4029	0.868205510052122
PCa14121	PCa58215	10	3201	3704	0.864200863930886
PCa14121	PCa58215	11	2981	3413	0.873425139173748
PCa14121	PCa58215	12	2777	3232	0.859220297029703
PCa14121	PCa58215	13	2596	3017	0.860457408021213
PCa14121	PCa58215	14	2418	2809	0.860804556781773
PCa14121	PCa58215	15	2301	2666	0.863090772693173
PCa14121	PCa58215	16	2196	2520	0.871428571428572
PCa14121	PCa58215	17	2108	2409	0.875051888750519
PCa14121	PCa58215	18	1989	2300	0.864782608695652
PCa14121	PCa58215	19	1909	2195	0.869703872437358
PCa14121	PCa58215	20	1825	2108	0.865749525616698
PCa14121	PCa58215	21	1759	2038	0.863101079489696
PCa14121	PCa58215	22	1678	1960	0.856122448979592
PCa14121	PCa58215	23	1619	1911	0.84720041862899
PCa14121	PCa58215	24	1583	1858	0.851991388589882
PCa14121	PCa58215	25	1548	1787	0.866256295467264
PCa14121	PCa58215	26	1504	1748	0.860411899313501
PCa14121	PCa58215	27	1440	1682	0.856123662306778
PCa14121	PCa58215	28	1402	1639	0.855399633923124
PCa14121	PCa58215	29	1361	1601	0.850093691442848
PCa14121	PCa58215	30	1331	1565	0.850479233226837
PCa14121	PCa13266	3	4505	6824	0.660169988276671
PCa14121	PCa13266	4	4755	6448	0.737437965260546
PCa14121	PCa13266	5	4454	5868	0.759032038173142
PCa14121	PCa13266	6	4146	5233	0.792279763042232
PCa14121	PCa13266	7	3883	4825	0.804766839378238
PCa14121	PCa13266	8	3559	4357	0.816846453982098
PCa14121	PCa13266	9	3316	4029	0.823033010672624
PCa14121	PCa13266	10	3067	3704	0.828023758099352
PCa14121	PCa13266	11	2823	3413	0.827131555815998
PCa14121	PCa13266	12	2679	3232	0.828898514851485
PCa14121	PCa13266	13	2485	3017	0.823665893271462
PCa14121	PCa13266	14	2345	2809	0.834816660733357
PCa14121	PCa13266	15	2228	2666	0.835708927231808
PCa14121	PCa13266	16	2133	2520	0.846428571428571
PCa14121	PCa13266	17	2034	2409	0.844333748443338
PCa14121	PCa13266	18	1930	2300	0.839130434782609
PCa14121	PCa13266	19	1875	2195	0.854214123006834
PCa14121	PCa13266	20	1783	2108	0.845825426944972
PCa14121	PCa13266	21	1713	2038	0.840529931305201
PCa14121	PCa13266	22	1664	1960	0.848979591836735
PCa14121	PCa13266	23	1597	1911	0.835688121402407
PCa14121	PCa13266	24	1540	1858	0.828848223896663
PCa14121	PCa13266	25	1486	1787	0.831561275881365
PCa14121	PCa13266	26	1470	1748	0.840961098398169
PCa14121	PCa13266	27	1422	1682	0.845422116527943
PCa14121	PCa13266	28	1379	1639	0.841366687004271
PCa14121	PCa13266	29	1334	1601	0.833229231730169
PCa14121	PCa13266	30	1329	1565	0.849201277955272
PCa14121	PCa13848	3	4771	6824	0.699150058616647
PCa14121	PCa13848	4	4947	6448	0.767214640198511
PCa14121	PCa13848	5	4668	5868	0.795501022494888
PCa14121	PCa13848	6	4278	5233	0.81750429963692
PCa14121	PCa13848	7	4017	4825	0.832538860103627
PCa14121	PCa13848	8	3689	4357	0.846683497819601
PCa14121	PCa13848	9	3378	4029	0.838421444527178
PCa14121	PCa13848	10	3104	3704	0.838012958963283
PCa14121	PCa13848	11	2871	3413	0.841195429241137
PCa14121	PCa13848	12	2702	3232	0.836014851485149
PCa14121	PCa13848	13	2553	3017	0.846204839244282
PCa14121	PCa13848	14	2384	2809	0.848700605197579
PCa14121	PCa13848	15	2261	2666	0.848087021755439
PCa14121	PCa13848	16	2153	2520	0.854365079365079
PCa14121	PCa13848	17	2045	2409	0.848899958489
PCa14121	PCa13848	18	1960	2300	0.852173913043478
PCa14121	PCa13848	19	1891	2195	0.861503416856492
PCa14121	PCa13848	20	1795	2108	0.851518026565465
PCa14121	PCa13848	21	1731	2038	0.849362119725221
PCa14121	PCa13848	22	1666	1960	0.85
PCa14121	PCa13848	23	1622	1911	0.848770277341706
PCa14121	PCa13848	24	1568	1858	0.843918191603875
PCa14121	PCa13848	25	1525	1787	0.853385562395076
PCa14121	PCa13848	26	1482	1748	0.847826086956522
PCa14121	PCa13848	27	1428	1682	0.848989298454221
PCa14121	PCa13848	28	1383	1639	0.843807199511898
PCa14121	PCa13848	29	1339	1601	0.836352279825109
PCa14121	PCa13848	30	1318	1565	0.842172523961661
PCa19121	PCa3023	3	5171	7158	0.722408493992735
PCa19121	PCa3023	4	5175	6559	0.788992224424455
PCa19121	PCa3023	5	4904	5846	0.838864180636332
PCa19121	PCa3023	6	4467	5254	0.850209364293871
PCa19121	PCa3023	7	4144	4782	0.866583019657047
PCa19121	PCa3023	8	3782	4339	0.871629407697626
PCa19121	PCa3023	9	3512	4012	0.875373878364905
PCa19121	PCa3023	10	3261	3708	0.879449838187702
PCa19121	PCa3023	11	2974	3426	0.868067717454758
PCa19121	PCa3023	12	2822	3228	0.874225526641883
PCa19121	PCa3023	13	2660	3038	0.875576036866359
PCa19121	PCa3023	14	2485	2849	0.872235872235872
PCa19121	PCa3023	15	2350	2697	0.871338524286244
PCa19121	PCa3023	16	2240	2583	0.867208672086721
PCa19121	PCa3023	17	2122	2448	0.866830065359477
PCa19121	PCa3023	18	2051	2349	0.873137505321413
PCa19121	PCa3023	19	1957	2253	0.868619618286729
PCa19121	PCa3023	20	1866	2154	0.866295264623956
PCa19121	PCa3023	21	1775	2061	0.861232411450752
PCa19121	PCa3023	22	1739	2018	0.861744301288404
PCa19121	PCa3023	23	1674	1940	0.862886597938145
PCa19121	PCa3023	24	1593	1873	0.850507207688201
PCa19121	PCa3023	25	1551	1818	0.853135313531353
PCa19121	PCa3023	26	1496	1763	0.848553601815088
PCa19121	PCa3023	27	1433	1705	0.840469208211144
PCa19121	PCa3023	28	1390	1664	0.835336538461539
PCa19121	PCa3023	29	1367	1635	0.836085626911315
PCa19121	PCa3023	30	1340	1602	0.83645443196005
PCa19121	PCa33173	3	5066	7158	0.707739592064823
PCa19121	PCa33173	4	5089	6559	0.775880469583778
PCa19121	PCa33173	5	4819	5846	0.824324324324324
PCa19121	PCa33173	6	4407	5254	0.838789493719071
PCa19121	PCa33173	7	4066	4782	0.850271852781263
PCa19121	PCa33173	8	3713	4339	0.855727126065914
PCa19121	PCa33173	9	3435	4012	0.856181455633101
PCa19121	PCa33173	10	3129	3708	0.843851132686084
PCa19121	PCa33173	11	2916	3426	0.851138353765324
PCa19121	PCa33173	12	2776	3228	0.85997521685254
PCa19121	PCa33173	13	2602	3038	0.856484529295589
PCa19121	PCa33173	14	2423	2849	0.850473850473851
PCa19121	PCa33173	15	2303	2697	0.853911753800519
PCa19121	PCa33173	16	2207	2583	0.854432830042586
PCa19121	PCa33173	17	2096	2448	0.856209150326797
PCa19121	PCa33173	18	2013	2349	0.856960408684547
PCa19121	PCa33173	19	1921	2253	0.852640923213493
PCa19121	PCa33173	20	1845	2154	0.856545961002786
PCa19121	PCa33173	21	1752	2061	0.850072780203785
PCa19121	PCa33173	22	1720	2018	0.852329038652131
PCa19121	PCa33173	23	1645	1940	0.847938144329897
PCa19121	PCa33173	24	1591	1873	0.849439402028831
PCa19121	PCa33173	25	1544	1818	0.849284928492849
PCa19121	PCa33173	26	1512	1763	0.857629041406693
PCa19121	PCa33173	27	1448	1705	0.849266862170088
PCa19121	PCa33173	28	1413	1664	0.849158653846154
PCa19121	PCa33173	29	1383	1635	0.845871559633028
PCa19121	PCa33173	30	1348	1602	0.841448189762797
PCa19121	PCa40507	3	4553	7158	0.636071528359877
PCa19121	PCa40507	4	4767	6559	0.726787620064034
PCa19121	PCa40507	5	4537	5846	0.776086212795074
PCa19121	PCa40507	6	4258	5254	0.810430148458318
PCa19121	PCa40507	7	3935	4782	0.822877457130908
PCa19121	PCa40507	8	3625	4339	0.835445955289237
PCa19121	PCa40507	9	3344	4012	0.833499501495514
PCa19121	PCa40507	10	3102	3708	0.836569579288026
PCa19121	PCa40507	11	2944	3426	0.859311150029189
PCa19121	PCa40507	12	2733	3228	0.846654275092937
PCa19121	PCa40507	13	2582	3038	0.84990125082291
PCa19121	PCa40507	14	2419	2849	0.849069849069849
PCa19121	PCa40507	15	2284	2697	0.846866889136077
PCa19121	PCa40507	16	2183	2583	0.845141308555943
PCa19121	PCa40507	17	2080	2448	0.849673202614379
PCa19121	PCa40507	18	2004	2349	0.853128991060025
PCa19121	PCa40507	19	1927	2253	0.855304039059032
PCa19121	PCa40507	20	1844	2154	0.856081708449396
PCa19121	PCa40507	21	1740	2061	0.844250363901019
PCa19121	PCa40507	22	1707	2018	0.845887016848365
PCa19121	PCa40507	23	1651	1940	0.851030927835052
PCa19121	PCa40507	24	1566	1873	0.836091831286706
PCa19121	PCa40507	25	1531	1818	0.842134213421342
PCa19121	PCa40507	26	1486	1763	0.842881452070335
PCa19121	PCa40507	27	1432	1705	0.839882697947214
PCa19121	PCa40507	28	1403	1664	0.843149038461539
PCa19121	PCa40507	29	1367	1635	0.836085626911315
PCa19121	PCa40507	30	1336	1602	0.833957553058677
PCa19121	PCa51852	3	4680	7158	0.653813914501257
PCa19121	PCa51852	4	4910	6559	0.748589724043299
PCa19121	PCa51852	5	4702	5846	0.804310639753678
PCa19121	PCa51852	6	4336	5254	0.825275980205558
PCa19121	PCa51852	7	3990	4782	0.834378920953576
PCa19121	PCa51852	8	3673	4339	0.846508412076515
PCa19121	PCa51852	9	3426	4012	0.853938185443669
PCa19121	PCa51852	10	3176	3708	0.856526429341963
PCa19121	PCa51852	11	2971	3426	0.867192060712201
PCa19121	PCa51852	12	2789	3228	0.864002478314746
PCa19121	PCa51852	13	2629	3038	0.865371955233706
PCa19121	PCa51852	14	2462	2849	0.864162864162864
PCa19121	PCa51852	15	2320	2697	0.860215053763441
PCa19121	PCa51852	16	2250	2583	0.871080139372822
PCa19121	PCa51852	17	2105	2448	0.859885620915033
PCa19121	PCa51852	18	2027	2349	0.862920391656024
PCa19121	PCa51852	19	1934	2253	0.858411007545495
PCa19121	PCa51852	20	1827	2154	0.848189415041783
PCa19121	PCa51852	21	1731	2061	0.839883551673945
PCa19121	PCa51852	22	1705	2018	0.844895936570862
PCa19121	PCa51852	23	1647	1940	0.848969072164949
PCa19121	PCa51852	24	1585	1873	0.846235985050721
PCa19121	PCa51852	25	1533	1818	0.843234323432343
PCa19121	PCa51852	26	1483	1763	0.841179807146909
PCa19121	PCa51852	27	1436	1705	0.842228739002933
PCa19121	PCa51852	28	1404	1664	0.84375
PCa19121	PCa51852	29	1373	1635	0.839755351681957
PCa19121	PCa51852	30	1339	1602	0.835830212234707
PCa19121	PCa53687	3	4624	7158	0.645990500139704
PCa19121	PCa53687	4	4752	6559	0.724500686080195
PCa19121	PCa53687	5	4567	5846	0.781217926787547
PCa19121	PCa53687	6	4156	5254	0.791016368481157
PCa19121	PCa53687	7	3928	4782	0.821413634462568
PCa19121	PCa53687	8	3608	4339	0.831528001843743
PCa19121	PCa53687	9	3288	4012	0.819541375872383
PCa19121	PCa53687	10	3077	3708	0.82982740021575
PCa19121	PCa53687	11	2895	3426	0.845008756567426
PCa19121	PCa53687	12	2687	3228	0.832403965303594
PCa19121	PCa53687	13	2531	3038	0.833113890717577
PCa19121	PCa53687	14	2362	2849	0.829062829062829
PCa19121	PCa53687	15	2242	2697	0.831294030404153
PCa19121	PCa53687	16	2136	2583	0.826945412311266
PCa19121	PCa53687	17	2040	2448	0.833333333333333
PCa19121	PCa53687	18	1938	2349	0.825031928480204
PCa19121	PCa53687	19	1866	2253	0.828229027962716
PCa19121	PCa53687	20	1787	2154	0.829619312906221
PCa19121	PCa53687	21	1705	2061	0.827268316351286
PCa19121	PCa53687	22	1667	2018	0.826065411298315
PCa19121	PCa53687	23	1583	1940	0.815979381443299
PCa19121	PCa53687	24	1535	1873	0.819540843566471
PCa19121	PCa53687	25	1479	1818	0.813531353135314
PCa19121	PCa53687	26	1430	1763	0.811117413499716
PCa19121	PCa53687	27	1376	1705	0.807038123167155
PCa19121	PCa53687	28	1334	1664	0.801682692307692
PCa19121	PCa53687	29	1310	1635	0.801223241590214
PCa19121	PCa53687	30	1281	1602	0.799625468164794
PCa19121	PCa56413	3	4975	7158	0.695026543727298
PCa19121	PCa56413	4	5072	6559	0.773288611068761
PCa19121	PCa56413	5	4791	5846	0.819534724598016
PCa19121	PCa56413	6	4365	5254	0.830795584316711
PCa19121	PCa56413	7	4007	4782	0.837933918862401
PCa19121	PCa56413	8	3718	4339	0.856879465314589
PCa19121	PCa56413	9	3382	4012	0.842971086739781
PCa19121	PCa56413	10	3134	3708	0.845199568500539
PCa19121	PCa56413	11	2902	3426	0.847051955633392
PCa19121	PCa56413	12	2701	3228	0.836741016109046
PCa19121	PCa56413	13	2558	3038	0.842001316655695
PCa19121	PCa56413	14	2377	2849	0.834327834327834
PCa19121	PCa56413	15	2265	2697	0.839822024471635
PCa19121	PCa56413	16	2157	2583	0.835075493612079
PCa19121	PCa56413	17	2054	2448	0.839052287581699
PCa19121	PCa56413	18	1953	2349	0.831417624521073
PCa19121	PCa56413	19	1888	2253	0.837993786063027
PCa19121	PCa56413	20	1798	2154	0.8347260909935
PCa19121	PCa56413	21	1712	2061	0.830664725861232
PCa19121	PCa56413	22	1678	2018	0.831516352824579
PCa19121	PCa56413	23	1617	1940	0.833505154639175
PCa19121	PCa56413	24	1567	1873	0.836625734116391
PCa19121	PCa56413	25	1500	1818	0.825082508250825
PCa19121	PCa56413	26	1456	1763	0.825865002836075
PCa19121	PCa56413	27	1393	1705	0.817008797653959
PCa19121	PCa56413	28	1370	1664	0.823317307692308
PCa19121	PCa56413	29	1339	1635	0.818960244648318
PCa19121	PCa56413	30	1306	1602	0.815230961298377
PCa19121	PCa57054	3	5025	7158	0.702011735121542
PCa19121	PCa57054	4	5078	6559	0.774203384662296
PCa19121	PCa57054	5	4853	5846	0.830140266849128
PCa19121	PCa57054	6	4413	5254	0.839931480776551
PCa19121	PCa57054	7	4092	4782	0.855708908406525
PCa19121	PCa57054	8	3756	4339	0.865637243604517
PCa19121	PCa57054	9	3502	4012	0.872881355932204
PCa19121	PCa57054	10	3182	3708	0.85814455231931
PCa19121	PCa57054	11	2969	3426	0.866608289550496
PCa19121	PCa57054	12	2814	3228	0.871747211895911
PCa19121	PCa57054	13	2657	3038	0.874588545095458
PCa19121	PCa57054	14	2464	2849	0.864864864864865
PCa19121	PCa57054	15	2319	2697	0.859844271412681
PCa19121	PCa57054	16	2238	2583	0.866434378629501
PCa19121	PCa57054	17	2121	2448	0.866421568627451
PCa19121	PCa57054	18	2045	2349	0.870583226905066
PCa19121	PCa57054	19	1961	2253	0.870395028850422
PCa19121	PCa57054	20	1873	2154	0.869545032497679
PCa19121	PCa57054	21	1776	2061	0.861717612809316
PCa19121	PCa57054	22	1745	2018	0.864717542120912
PCa19121	PCa57054	23	1667	1940	0.859278350515464
PCa19121	PCa57054	24	1607	1873	0.857981847303791
PCa19121	PCa57054	25	1553	1818	0.854235423542354
PCa19121	PCa57054	26	1522	1763	0.863301191151446
PCa19121	PCa57054	27	1459	1705	0.855718475073314
PCa19121	PCa57054	28	1414	1664	0.849759615384615
PCa19121	PCa57054	29	1400	1635	0.856269113149847
PCa19121	PCa57054	30	1350	1602	0.842696629213483
PCa19121	PCa57294	3	4801	7158	0.670718077675328
PCa19121	PCa57294	4	4892	6559	0.745845403262693
PCa19121	PCa57294	5	4639	5846	0.793534040369483
PCa19121	PCa57294	6	4241	5254	0.807194518462124
PCa19121	PCa57294	7	3963	4782	0.828732747804266
PCa19121	PCa57294	8	3619	4339	0.834063148190827
PCa19121	PCa57294	9	3342	4012	0.833000997008973
PCa19121	PCa57294	10	3103	3708	0.836839266450917
PCa19121	PCa57294	11	2868	3426	0.837127845884413
PCa19121	PCa57294	12	2715	3228	0.841078066914498
PCa19121	PCa57294	13	2560	3038	0.842659644502963
PCa19121	PCa57294	14	2393	2849	0.83994383994384
PCa19121	PCa57294	15	2272	2697	0.842417500926956
PCa19121	PCa57294	16	2177	2583	0.842818428184282
PCa19121	PCa57294	17	2082	2448	0.850490196078431
PCa19121	PCa57294	18	1991	2349	0.84759472115794
PCa19121	PCa57294	19	1902	2253	0.844207723035952
PCa19121	PCa57294	20	1812	2154	0.841225626740947
PCa19121	PCa57294	21	1726	2061	0.837457544881126
PCa19121	PCa57294	22	1697	2018	0.840931615460852
PCa19121	PCa57294	23	1642	1940	0.84639175257732
PCa19121	PCa57294	24	1548	1873	0.826481580352376
PCa19121	PCa57294	25	1517	1818	0.834433443344335
PCa19121	PCa57294	26	1453	1763	0.824163357912649
PCa19121	PCa57294	27	1396	1705	0.818768328445748
PCa19121	PCa57294	28	1384	1664	0.831730769230769
PCa19121	PCa57294	29	1356	1635	0.829357798165138
PCa19121	PCa57294	30	1321	1602	0.824594257178527
PCa19121	PCa58215	3	5039	7158	0.703967588711931
PCa19121	PCa58215	4	5134	6559	0.782741271535295
PCa19121	PCa58215	5	4851	5846	0.829798152582963
PCa19121	PCa58215	6	4439	5254	0.844880091358965
PCa19121	PCa58215	7	4107	4782	0.858845671267252
