Sample	Sequencing Batch	Lane	Read Mate	Total_reads_processed	Reads_too_short_to_map	Unique_alignments	Multiple_alignments	Failed_to_align	Paired
PCa40507	HLGJ3DSXX	4	2	230136422	5747649	173665339	35133404	15590030	139907081
PCa51852	HKYH3DSXX	4	1	283109981	9350193	226204787	40150702	7404299	182613984
PCa51852	HKYH3DSXX	4	2	283109981	9019126	223530204	41655930	8904721	182613984
PCa51852	HLGJ3DSXX	1	1	306541467	10280100	244243960	43738437	8278970	197003122
PCa51852	HLGJ3DSXX	1	2	306541467	9898995	241607661	45175631	9859180	197003122
PCa51852	HLGJ3DSXX	2	1	304985916	10187827	243097074	43509642	8191373	195829794
PCa51852	HLGJ3DSXX	2	2	304985916	9808204	240086205	45147775	9943732	195829794
PCa51852	HLGJ3DSXX	3	1	297383540	9929716	236450964	42616932	8385928	190015456
PCa51852	HLGJ3DSXX	3	2	297383540	9545184	233371576	44144399	10322381	190015456
PCa51852	HLGJ3DSXX	4	1	301747082	10077579	239670018	43335129	8664356	192672588
PCa51852	HLGJ3DSXX	4	2	301747082	9692210	236870560	44835476	10348836	192672588
PCa53687	HKYH3DSXX	4	1	256683937	6381111	203769095	34116011	12417720	167491045
PCa53687	HKYH3DSXX	4	2	256683937	6183687	202333091	35268566	12898593	167491045
PCa53687	HLGJ3DSXX	1	1	209168623	5288484	165569219	27917176	10393744	135873119
PCa53687	HLGJ3DSXX	1	2	209168623	5115181	164333933	28844640	10874869	135873119
PCa53687	HLGJ3DSXX	2	1	209370921	5276910	165781795	27963374	10348842	135866005
PCa53687	HLGJ3DSXX	2	2	209370921	5100888	164305462	29030117	10934454	135866005
PCa53687	HLGJ3DSXX	3	1	203575824	5122784	160802742	27312933	10337365	131573082
PCa53687	HLGJ3DSXX	3	2	203575824	4948660	159370784	28294439	10961941	131573082
PCa53687	HLGJ3DSXX	4	1	206608650	5203747	163041942	27788778	10574183	133423907
PCa53687	HLGJ3DSXX	4	2	206608650	5026418	161746464	28750259	11085509	133423907
PCa56413	HKYH3DSXX	4	1	182873200	5837042	148517400	25802543	2716215	122226230
PCa56413	HKYH3DSXX	4	2	182873200	5649916	147413278	26565892	3244114	122226230
PCa56413	HLGJ3DSXX	1	1	204660098	6655210	165773572	29101015	3130301	136086287
PCa56413	HLGJ3DSXX	1	2	204660098	6429999	164492042	29938515	3799542	136086287
PCa56413	HLGJ3DSXX	2	1	203601984	6585223	164977770	28937076	3101915	135310917
PCa56413	HLGJ3DSXX	2	2	203601984	6368828	163483962	29871888	3877306	135310917
PCa56413	HLGJ3DSXX	3	1	199074065	6441201	160910430	28431765	3290669	131678353
PCa56413	HLGJ3DSXX	3	2	199074065	6223962	159396195	29313958	4139950	131678353
PCa56413	HLGJ3DSXX	4	1	201755044	6532388	162912802	28880012	3429842	133343903
PCa56413	HLGJ3DSXX	4	2	201755044	6311638	161577284	29737915	4128207	133343903
PCa57054	HKYH3DSXX	4	1	299297771	7743061	245225987	40313905	6014818	202996897
PCa57054	HKYH3DSXX	4	2	299297771	7512816	242644542	41915384	7225029	202996897
PCa57054	HLGJ3DSXX	1	1	309750829	8181586	252984263	42069558	6515422	209265218
PCa57054	HLGJ3DSXX	1	2	309750829	7922868	250761692	43440524	7625745	209265218
PCa57054	HLGJ3DSXX	2	1	307198354	8075385	250988068	41709345	6425556	207347315
PCa57054	HLGJ3DSXX	2	2	307198354	7815872	248373361	43300365	7708756	207347315
PCa57054	HLGJ3DSXX	3	1	299607751	7867587	244159871	40899728	6680565	201241173
PCa57054	HLGJ3DSXX	3	2	299607751	7620438	241499735	42358724	8128854	201241173
PCa57054	HLGJ3DSXX	4	1	304410188	8000999	247818177	41663307	6927705	204292187
PCa57054	HLGJ3DSXX	4	2	304410188	7747142	245411967	43100408	8150671	204292187
PCa57294	HKYH3DSXX	4	1	238309004	7639861	193381350	33202520	4085273	158473772
PCa57294	HKYH3DSXX	4	2	238309004	7346501	191661554	34296534	5004415	158473772
PCa57294	HLGJ3DSXX	1	1	242401704	7895846	196175855	34044323	4285680	160517601
PCa57294	HLGJ3DSXX	1	2	242401704	7620309	194588326	35000050	5193019	160517601
PCa57294	HLGJ3DSXX	2	1	242230536	7865579	196108226	33988243	4268488	160301822
PCa57294	HLGJ3DSXX	2	2	242230536	7565202	194247213	35101740	5316381	160301822
PCa57294	HLGJ3DSXX	3	1	238148586	7718698	192365173	33565864	4498851	156860038
PCa57294	HLGJ3DSXX	3	2	238148586	7431067	190403994	34607207	5706318	156860038
PCa57294	HLGJ3DSXX	4	1	240039388	7786258	193678182	33926459	4648489	157969860
PCa57294	HLGJ3DSXX	4	2	240039388	7490724	191962872	34947513	5638279	157969860
PCa58215	HKYH3DSXX	4	1	202949172	6573973	164322910	28610929	3441360	134464175
PCa58215	HKYH3DSXX	4	2	202949172	6344611	162578516	29643632	4382413	134464175
PCa58215	HLGJ3DSXX	1	1	197101435	6494897	159107795	28017956	3480787	130000822
PCa58215	HLGJ3DSXX	1	2	197101435	6259484	157569965	28888684	4383302	130000822
PCa58215	HLGJ3DSXX	2	1	197578594	6482844	159562002	28061005	3472743	130231477
PCa58215	HLGJ3DSXX	2	2	197578594	6241592	157774363	29066154	4496485	130231477
PCa58215	HLGJ3DSXX	3	1	193156913	6335093	155588299	27569956	3663565	126657242
PCa58215	HLGJ3DSXX	3	2	193156913	6097746	153724264	28507693	4827210	126657242
PCa58215	HLGJ3DSXX	4	1	195158636	6401727	157043378	27925196	3788335	127891642
PCa58215	HLGJ3DSXX	4	2	195158636	6162010	155388044	28833888	4774694	127891642
