Sample_ID	size	N
Benign-Prostate-1595983	2600000	4
Benign-Prostate-1595983	2880000	3
Benign-Prostate-1595983	10440000	1
Benign-Prostate-1595983	4640000	1
Benign-Prostate-1595983	12720000	1
Benign-Prostate-1595983	3040000	5
Benign-Prostate-1595983	15840000	1
Benign-Prostate-1595983	1680000	4
Benign-Prostate-1595983	7920000	1
Benign-Prostate-1595983	3160000	2
Benign-Prostate-1595983	6280000	1
Benign-Prostate-1595983	3560000	2
Benign-Prostate-1595983	5000000	2
Benign-Prostate-1595983	4000000	1
Benign-Prostate-1595983	5240000	2
Benign-Prostate-1595983	8600000	1
Benign-Prostate-1595983	2800000	1
Benign-Prostate-1595983	7760000	1
Benign-Prostate-1595983	5720000	1
Benign-Prostate-1595983	13480000	1
Benign-Prostate-1595983	18880000	1
Benign-Prostate-1595983	44040000	1
Benign-Prostate-1595983	11120000	1
Benign-Prostate-1595983	12440000	1
Benign-Prostate-1595983	6880000	1
Benign-Prostate-1595983	14240000	2
Benign-Prostate-1595983	3840000	1
Benign-Prostate-1595983	24200000	1
Benign-Prostate-1595983	6320000	2
Benign-Prostate-1595983	11160000	1
Benign-Prostate-1595983	7160000	2
Benign-Prostate-1595983	8640000	1
Benign-Prostate-1595983	1800000	1
Benign-Prostate-1595983	1320000	2
Benign-Prostate-1595983	16680000	1
Benign-Prostate-1595983	9640000	1
Benign-Prostate-1595983	13520000	1
Benign-Prostate-1595983	17000000	1
Benign-Prostate-1595983	33440000	1
Benign-Prostate-1595983	13440000	1
Benign-Prostate-1595983	18800000	1
Benign-Prostate-1595983	6960000	1
Benign-Prostate-1595983	10680000	1
Benign-Prostate-1595983	22520000	1
Benign-Prostate-1595983	8120000	1
Benign-Prostate-1595983	4520000	1
Benign-Prostate-1595983	5360000	1
Benign-Prostate-1595983	11200000	1
Benign-Prostate-1595983	44880000	1
Benign-Prostate-1595983	10920000	1
Benign-Prostate-1595983	12000000	1
Benign-Prostate-1595983	2640000	3
Benign-Prostate-1595983	11240000	1
Benign-Prostate-1595983	19800000	1
Benign-Prostate-1595983	11760000	1
Benign-Prostate-1595983	2280000	1
Benign-Prostate-1595983	17360000	1
Benign-Prostate-1595983	3320000	1
Benign-Prostate-1595983	4920000	1
Benign-Prostate-1595983	22360000	1
Benign-Prostate-1595983	8440000	1
Benign-Prostate-1595983	2840000	2
