Sample	Resolution	w	N	Mean_Size	SD_Size
PCa53687	40000	3	6932	388324.481102135	259213.958282493
PCa53687	40000	4	6456	415772.196871128	249686.400733979
PCa53687	40000	5	5793	459807.57862938	258819.311858093
PCa53687	40000	6	5205	508777.195581172	274203.311236827
PCa53687	40000	7	4736	556289.126478041	295959.481069822
PCa53687	40000	8	4331	605371.80858924	322310.635940053
PCa53687	40000	9	3955	657432.440707965	350448.307424045
PCa53687	40000	10	3681	700707.770442815	374697.278012379
PCa53687	40000	11	3419	749992.776542849	398857.316772137
PCa53687	40000	12	3219	791806.555762659	425161.169388916
PCa53687	40000	13	3031	833528.638403167	445430.08540867
PCa53687	40000	14	2831	889390.781702579	467901.778045248
PCa53687	40000	15	2695	927267.273840445	493720.579985954
PCa53687	40000	16	2569	966222.383417672	521597.381292537
PCa53687	40000	17	2453	1006696.00611496	545115.403491274
PCa53687	40000	18	2328	1051557.26073883	574522.671458466
PCa53687	40000	19	2238	1090896.02457551	603753.252985447
PCa53687	40000	20	2154	1126641.27344475	626586.761567778
PCa53687	40000	21	2082	1160069.79010567	650602.496418254
PCa53687	40000	22	2015	1196439.35632754	666581.203350098
PCa53687	40000	23	1925	1244210.54701299	708096.560884706
PCa53687	40000	24	1874	1273887.56830309	721025.3682077
PCa53687	40000	25	1826	1305227.43866375	749324.962620771
PCa53687	40000	26	1772	1341210.66760722	777875.85677175
PCa53687	40000	27	1723	1374918.92222867	794985.585042222
PCa53687	40000	28	1673	1412686.97130903	823614.600454878
PCa53687	40000	29	1623	1449652.0659273	840928.317881048
PCa53687	40000	30	1596	1472096.05451128	857457.530432657
PCa56413	40000	3	7439	365385.845274903	228182.673169236
PCa56413	40000	4	6724	401889.545359905	233041.628951334
PCa56413	40000	5	6012	445573.071024617	246486.584352913
PCa56413	40000	6	5356	496666.41206124	272216.570474657
PCa56413	40000	7	4863	544286.511001439	296477.101102734
PCa56413	40000	8	4427	594015.202846171	325739.224526506
PCa56413	40000	9	4072	639308.767927309	357420.268035755
PCa56413	40000	10	3747	688066.534027222	385672.212981048
PCa56413	40000	11	3468	735370.61793541	408460.518470307
PCa56413	40000	12	3243	780889.701819303	435199.038784141
PCa56413	40000	13	3027	826582.524942187	466744.944518236
PCa56413	40000	14	2852	868045.337657784	496614.803664904
PCa56413	40000	15	2671	919440.397978285	524610.576581229
PCa56413	40000	16	2525	964604.08039604	551685.46483221
PCa56413	40000	17	2404	1006300.04284526	579273.289568567
PCa56413	40000	18	2292	1048370.55104712	616381.657472955
PCa56413	40000	19	2205	1084601.04444444	638535.553585938
PCa56413	40000	20	2100	1129135.85857143	666286.832698168
PCa56413	40000	21	2012	1170887.32753479	699717.089131913
PCa56413	40000	22	1960	1197686.37908163	707752.07162129
PCa56413	40000	23	1904	1230034.29779412	740147.521947503
PCa56413	40000	24	1865	1252624.82734584	753897.373269157
PCa56413	40000	25	1794	1295755.46432553	780708.298500794
PCa56413	40000	26	1751	1324903.08566533	799677.821808604
PCa56413	40000	27	1703	1357971.40516735	818875.710080035
PCa56413	40000	28	1649	1397347.06064281	843810.938001598
PCa56413	40000	29	1622	1416932.98581998	856903.963588796
PCa56413	40000	30	1582	1453947.72629583	871276.373112203
PCa57054	40000	3	7220	377460.568282549	248630.107879102
PCa57054	40000	4	6583	412818.669755431	245882.089545751
PCa57054	40000	5	5970	453042.764321608	251865.999972334
PCa57054	40000	6	5386	499759.618083921	272177.835280321
PCa57054	40000	7	4838	551770.422281935	293789.068840519
PCa57054	40000	8	4397	603826.541505572	323219.739942335
PCa57054	40000	9	4027	652104.619567917	353396.562114197
PCa57054	40000	10	3729	698703.486993832	379627.943771522
PCa57054	40000	11	3463	745707.566560786	397301.44052161
PCa57054	40000	12	3250	789250.862461539	422722.251925593
PCa57054	40000	13	3055	831628.577086743	443465.742608062
PCa57054	40000	14	2894	872420.629923981	473157.946063005
PCa57054	40000	15	2698	924560.898072646	496230.221919424
PCa57054	40000	16	2556	966958.256259781	522732.688846874
PCa57054	40000	17	2440	1010092.33729508	548110.625090121
PCa57054	40000	18	2323	1054595.48127421	567771.829501933
PCa57054	40000	19	2227	1091919.75886843	593638.789249122
PCa57054	40000	20	2136	1130873.26919476	619162.915085774
PCa57054	40000	21	2042	1172314.05631734	646149.211303696
PCa57054	40000	22	1990	1200736.33316583	668214.344153092
PCa57054	40000	23	1903	1247727.43194955	698547.02700524
PCa57054	40000	24	1858	1272973.79063509	716950.598287177
PCa57054	40000	25	1797	1310620.64718976	742539.185740317
PCa57054	40000	26	1736	1353240.38191244	764742.701571506
PCa57054	40000	27	1701	1377204.76366843	787849.156122966
PCa57054	40000	28	1653	1413542.22807018	803889.090017566
PCa57054	40000	29	1608	1447329.16853234	813803.509137707
PCa57054	40000	30	1560	1486939.29679487	833499.622882636
PCa57294	40000	3	6912	391166.855179398	264861.422148954
PCa57294	40000	4	6383	421761.758264139	259485.868778373
PCa57294	40000	5	5707	468313.527772911	265788.580288585
PCa57294	40000	6	5127	517110.455041935	286117.198488617
PCa57294	40000	7	4655	566905.543071966	305988.538737589
PCa57294	40000	8	4241	617077.411695355	330348.806506502
PCa57294	40000	9	3906	665966.539426523	357265.426594005
PCa57294	40000	10	3633	710130.829342142	383873.403103496
PCa57294	40000	11	3371	760861.851972708	404725.665158093
PCa57294	40000	12	3153	808178.02188392	425616.475382115
PCa57294	40000	13	2964	855932.963225371	450585.125362701
PCa57294	40000	14	2772	906040.874098124	494958.587713541
PCa57294	40000	15	2640	945494.432954546	514490.201846293
PCa57294	40000	16	2495	994879.880961924	537285.844313704
PCa57294	40000	17	2382	1034553.02392947	559172.195115231
PCa57294	40000	18	2274	1078498.37423043	584071.292585309
PCa57294	40000	19	2191	1112489.86900958	609942.394951341
PCa57294	40000	20	2096	1156176.19417939	639845.746678993
PCa57294	40000	21	2017	1194221.76648488	666420.372282293
PCa57294	40000	22	1959	1227026.69882593	679872.039945382
PCa57294	40000	23	1891	1263789.1607615	700338.406372788
PCa57294	40000	24	1823	1305817.50027427	726746.020918914
PCa57294	40000	25	1770	1342274.18248588	754347.33541667
PCa57294	40000	26	1723	1376335.05687754	780956.252357842
PCa57294	40000	27	1682	1412238.58680143	803919.373759899
PCa57294	40000	28	1635	1450143.91620795	821869.767691551
PCa57294	40000	29	1591	1483183.72281584	838619.684398834
PCa57294	40000	30	1557	1513388.12010276	849298.351463972
PCa58215	40000	3	7460	363842.533914209	228632.369808123
PCa58215	40000	4	6832	396256.631001171	227547.95347712
PCa58215	40000	5	6058	444494.107461208	237366.370164577
PCa58215	40000	6	5495	487378.581073703	254823.521900792
PCa58215	40000	7	4964	536395.105358582	277132.192827126
PCa58215	40000	8	4516	584992.316873339	307619.504315865
PCa58215	40000	9	4134	633184.640299952	328468.086008583
PCa58215	40000	10	3814	679524.201101206	356531.285476501
PCa58215	40000	11	3543	725256.930002823	383865.872165094
PCa58215	40000	12	3307	771425.85515573	409228.12856227
PCa58215	40000	13	3088	818285.396049223	434006.018522683
PCa58215	40000	14	2913	858614.934088569	463786.208957403
PCa58215	40000	15	2760	898777.283695652	488580.500300627
PCa58215	40000	16	2608	943813.383052147	523065.366856431
PCa58215	40000	17	2470	989046.681376518	550593.841108085
PCa58215	40000	18	2348	1030487.77810903	577472.550267126
PCa58215	40000	19	2250	1069557.91244444	608010.941016057
PCa58215	40000	20	2159	1105727.32885595	623844.904425932
PCa58215	40000	21	2085	1140098.46666667	654548.14185514
PCa58215	40000	22	2015	1175059.70372208	678424.401798067
PCa58215	40000	23	1932	1219019.30797101	699312.018649138
PCa58215	40000	24	1874	1253012.43489861	720924.616866119
PCa58215	40000	25	1820	1284255.66098901	741719.963946707
PCa58215	40000	26	1784	1307256.33576233	762612.513645765
PCa58215	40000	27	1741	1334328.14646755	765628.300183543
PCa58215	40000	28	1693	1367811.75605434	786505.605291908
PCa58215	40000	29	1649	1403290.05639782	823107.539908587
PCa58215	40000	30	1605	1438894.26978193	842109.847226283
