Sample	Unique Alignments	Multiple Alignments	Failed To Align	Too short to map
a57054_L004 Read 2	245411967.0	43100408.0	8150671.0	7747142.0
a57294_L001 Read 1	196175855.0	34044323.0	4285680.0	7895846.0
a57294_L001 Read 2	194588326.0	35000050.0	5193019.0	7620309.0
a57294_L002 Read 1	196108226.0	33988243.0	4268488.0	7865579.0
a57294_L002 Read 2	194247213.0	35101740.0	5316381.0	7565202.0
a57294_L003 Read 1	192365173.0	33565864.0	4498851.0	7718698.0
a57294_L003 Read 2	190403994.0	34607207.0	5706318.0	7431067.0
a57294_L004 Read 1	193678182.0	33926459.0	4648489.0	7786258.0
a57294_L004 Read 2	191962872.0	34947513.0	5638279.0	7490724.0
a58215_L001 Read 1	159107795.0	28017956.0	3480787.0	6494897.0
a58215_L001 Read 2	157569965.0	28888684.0	4383302.0	6259484.0
a58215_L002 Read 1	159562002.0	28061005.0	3472743.0	6482844.0
a58215_L002 Read 2	157774363.0	29066154.0	4496485.0	6241592.0
a58215_L003 Read 1	155588299.0	27569956.0	3663565.0	6335093.0
a58215_L003 Read 2	153724264.0	28507693.0	4827210.0	6097746.0
a58215_L004 Read 1	157043378.0	27925196.0	3788335.0	6401727.0
a58215_L004 Read 2	155388044.0	28833888.0	4774694.0	6162010.0
