Sample	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
PCa13266_L001_R1 - illumina_universal_adapter	0.0003883000270267555	0.0004230144073231567	0.0004455608605053554	0.0004831382824756866	0.0005228629857014652	0.0005765450170876527	0.0006413213349603188	0.000703234611159055	0.0007558430019175186	0.0009528202690839022	0.0012969578782902878	0.0016838979605219265	0.00245262464997213	0.0047097035536148414	0.01052776211524983	0.022271887485668822	0.0423474641272241	0.07285059642544164	0.11604673768086045	0.17404036667590272	0.2484400117990242	0.34089507135857594	0.45263944473997997	0.5858552707310638	0.7418117357058807	0.9223274437357109	1.1302550579684163	1.367668708944676	1.637072627640634	1.9408957470364108	2.281474738594185	2.661226367366962	3.084590781534757	3.5532992623977946	4.071543374542751	4.40628770189718
PCa13266_L001_R2 - illumina_universal_adapter	0.0003704060165646931	0.000404762516651853	0.00042766685004329296	0.0004652442720136241	0.0005021059335654728	0.0005557879649516602	0.0006173433609411551	0.0006763935954659612	0.0007279283455967012	0.000920396322126645	0.0012605972490313765	0.0016531202625271787	0.002433227542631254	0.004711564530702895	0.010568918339312575	0.02237087715154495	0.04252389907038003	0.07314548971785644	0.11648177686321412	0.17455986558763734	0.24914933037374035	0.34177545667330944	0.4536951197811998	0.5869820207818389	0.7429947445255485	0.9235667829003132	1.1314732822006737	1.3687229524650586	1.6377659847580177	1.9411305164536734	2.281144057280846	2.6601209469766576	3.082077603553381	3.5487703599258884	4.064452479228928	4.397192892139732
PCa13266_L002_R1 - illumina_universal_adapter	0.0003662510833475218	0.000403271555952816	0.00042735283424946366	0.0004514341125461113	0.0004902516954720508	0.0005387736741294752	0.0005955623602618682	0.0006519916243301321	0.0007145310634885902	0.0009117818922826235	0.001254958079113059	0.0016465124757752674	0.0023749172309392398	0.004583997121489327	0.010329286932179677	0.02162664125188459	0.04090956310799634	0.07044852167961826	0.11234944272489542	0.16886424924442203	0.2409633089269338	0.33037033810758093	0.43875945287666385	0.5680263889692247	0.7198090327314999	0.8952233177881974	1.0971516653248063	1.3282685349205114	1.5901814058149235	1.8853662647234146	2.216417132567218	2.5868140056556426	3.000293651420614	3.458238191467534	3.9645537529049433	4.29112600617646
PCa13266_L002_R2 - illumina_universal_adapter	0.00035043651252584276	0.0003838627644898462	0.0004075846207223648	0.0004323847431472706	0.00046832694956017753	0.00051756777234586	0.0005732781922858658	0.0006289886122258716	0.0006893715189995553	0.0008835313180420785	0.0012269950425238176	0.0016171117509295094	0.002350117108514334	0.004579612172306952	0.010354302707843061	0.021703413804782558	0.04106174240994859	0.07066094011951855	0.11259571872323663	0.16917248960661913	0.24138002286808505	0.33083212357557396	0.43916056790023184	0.5681490956619184	0.7196406075522491	0.8947328504394868	1.0962856738034938	1.3264329664390044	1.5873681374345725	1.8813308175561994	2.2110173192445686	2.5795812835747607	2.990154858182423	3.4441852919509772	3.945912543202128	4.269768068859718
PCa13266_L003_R1 - illumina_universal_adapter	0.00035380856809290426	0.00038439826720926994	0.00040651130271507645	0.00043525824887262493	0.0004721133080489691	0.00052039343556998	0.0005753074737427329	0.000637961074342518	0.0006906638089646902	0.0008732437721242993	0.0011929982655382615	0.0015517454115607959	0.00228309720585617	0.004442066572406414	0.010066590863426653	0.02128394409457548	0.04048240781059835	0.06996512836954336	0.11167141898526974	0.16745715301766145	0.23911702442836985	0.32830796296784487	0.4366226231633332	0.5655531189406482	0.7168096724658091	0.8916103434445937	1.0928456004580849	1.323217951285565	1.5845178147018213	1.8791193199088756	2.2099078494896434	2.5801604078858498	2.9933926729024423	3.451079731427896	3.9574731830887955	4.284259842923959
PCa13266_L003_R2 - illumina_universal_adapter	0.00033501248791296875	0.00036486508584580754	0.00038734667194337746	0.00041498796632563563	0.0004507373737266895	0.00049791184947241	0.0005509831346863457	0.0006132681846943674	0.0006652338181330127	0.0008471503902274475	0.0011679368252983475	0.0015263891308474713	0.0022712298768013876	0.004459241029982589	0.010133519650890894	0.02141455842429644	0.040701032021632416	0.0702982981044975	0.11212429395242865	0.1680815514302271	0.24004031737085557	0.3295171774594208	0.4379830171076504	0.566935994471063	0.7182667003752866	0.8931148406702907	1.0942535374287394	1.324253504738302	1.5851803212455753	1.8793361013669507	2.209535760812199	2.5789119796113096	2.9901867987249284	3.4450068284869366	3.948056273208529	4.272791285609464
PCa13266_L004_R1 - illumina_universal_adapter	0.00037889821600915367	0.00041231972691312504	0.0004304835915348486	0.00046644804348586124	0.00050858820940826	0.0005569040893020446	0.0006117589604596499	0.0006753324866356823	0.0007327302988403288	0.0009342038852244866	0.0012838219514634218	0.0016559632098332943	0.002402716012161594	0.0046325846885828656	0.010365390985032773	0.021815745931650338	0.04131102183014625	0.07116732938616571	0.11338160387622102	0.1700123197501629	0.24257521518294486	0.3327654146765247	0.44255507799607063	0.5731071284101239	0.7257081487775705	0.9025284302988723	1.1059474392394752	1.3383833672241985	1.601982020563994	1.8994988575219776	2.2341331159017015	2.6078002842107164	3.0241182410043748	3.4856112548768885	3.996264405070805	4.325316035986772
PCa13266_L004_R2 - illumina_universal_adapter	0.00035855468763282326	0.00039124964395192567	0.00040941350857364925	0.0004453779605246619	0.0004871548491546261	0.0005358340063408453	0.0005874193818665403	0.0006531725717971795	0.0007109336612942605	0.0009133517686387481	0.0012602815829136679	0.0016324954967420276	0.0023882575759227023	0.0046431197300634665	0.01041436076405294	0.02190009891895362	0.04143744232791344	0.07134606181404349	0.11362783322503311	0.1703769048408501	0.24313967543992954	0.3335286602679295	0.44341342958263474	0.5739206515788016	0.7264676889405924	0.9031712131401057	1.1062863042978581	1.3381325605815015	1.6010396792674193	1.8978240038929375	2.231644375826692	2.6039181577528447	3.0183157581232365	3.477785462787807	3.9858101564600417	4.313086305936965
PCa13848_L001_R1 - illumina_universal_adapter	0.0001327614501108359	0.00016247472704040392	0.00019914217516625384	0.000244028189251346	0.00030345474311048204	0.0003894335869917853	0.0004741480361101282	0.0005645522616617927	0.0006252432102838891	0.0008556159360952633	0.0012307618622655967	0.0017549799309889546	0.0031704698681230574	0.006903595405763467	0.01455621826910464	0.027739556704586943	0.047906020976422915	0.07604373559186606	0.11396546332257265	0.16252656722568531	0.2215821476613688	0.292378012789568	0.37524404320393917	0.4707676767113537	0.5798917724865512	0.7031026167553662	0.8422139838052652	0.998360541496529	1.1725495066973317	1.365281959052234	1.5789991919695607	1.8145828679175235	2.0746199385811392	2.360021526826597	2.673226017954266	2.874460513574267
