Cell_Line	Shift	z
22Rv1	-5000	12.5092503000361
22Rv1	-4990	12.5902918552723
22Rv1	-4980	12.2661256343276
22Rv1	-4970	12.1040425238552
22Rv1	-4960	12.023000968619
22Rv1	-4950	11.8609178581467
22Rv1	-4940	11.6177931924381
22Rv1	-4930	11.6988347476743
22Rv1	-4920	11.3746685267296
22Rv1	-4910	11.4557100819658
22Rv1	-4900	11.6988347476743
22Rv1	-4890	11.2125854162572
22Rv1	-4880	11.2936269714934
22Rv1	-4870	10.9694607505487
22Rv1	-4860	10.7263360848401
22Rv1	-4850	10.8884191953125
22Rv1	-4840	10.4832114191316
22Rv1	-4830	10.3211283086592
22Rv1	-4820	10.4832114191316
22Rv1	-4810	10.3211283086592
22Rv1	-4800	10.4832114191316
22Rv1	-4790	10.3211283086592
22Rv1	-4780	10.4832114191316
22Rv1	-4770	10.4021698638954
22Rv1	-4760	10.3211283086592
22Rv1	-4750	10.240086753423
22Rv1	-4740	10.3211283086592
22Rv1	-4730	10.5642529743678
22Rv1	-4720	10.3211283086592
22Rv1	-4710	10.1590451981869
22Rv1	-4700	9.91592053247831
22Rv1	-4690	9.67279586676976
22Rv1	-4680	9.91592053247831
22Rv1	-4670	9.83487897724213
22Rv1	-4660	9.83487897724213
22Rv1	-4650	9.91592053247831
22Rv1	-4640	9.91592053247831
22Rv1	-4630	10.4832114191316
22Rv1	-4620	10.3211283086592
22Rv1	-4610	10.4832114191316
22Rv1	-4600	10.240086753423
22Rv1	-4590	10.1590451981869
22Rv1	-4580	9.99696208771449
22Rv1	-4570	9.91592053247831
22Rv1	-4560	9.91592053247831
22Rv1	-4550	10.3211283086592
22Rv1	-4540	10.4021698638954
22Rv1	-4530	10.8073776400763
22Rv1	-4520	10.7263360848401
22Rv1	-4510	10.8073776400763
22Rv1	-4500	10.9694607505487
22Rv1	-4490	11.131543861021
22Rv1	-4480	11.3746685267296
22Rv1	-4470	11.131543861021
22Rv1	-4460	11.2936269714934
22Rv1	-4450	11.0505023057849
22Rv1	-4440	11.4557100819658
22Rv1	-4430	11.536751637202
22Rv1	-4420	11.6177931924381
22Rv1	-4410	11.536751637202
22Rv1	-4400	12.023000968619
22Rv1	-4390	12.1040425238552
22Rv1	-4380	12.1040425238552
22Rv1	-4370	12.1040425238552
22Rv1	-4360	11.6988347476743
22Rv1	-4350	11.6988347476743
22Rv1	-4340	11.7798763029105
22Rv1	-4330	11.7798763029105
22Rv1	-4320	11.3746685267296
22Rv1	-4310	10.9694607505487
22Rv1	-4300	10.9694607505487
22Rv1	-4290	10.8884191953125
22Rv1	-4280	10.8073776400763
22Rv1	-4270	10.8884191953125
22Rv1	-4260	10.8073776400763
22Rv1	-4250	10.7263360848401
22Rv1	-4240	10.8884191953125
22Rv1	-4230	10.9694607505487
22Rv1	-4220	10.645294529604
22Rv1	-4210	10.5642529743678
22Rv1	-4200	10.4021698638954
22Rv1	-4190	10.7263360848401
22Rv1	-4180	10.4021698638954
22Rv1	-4170	10.0780036429507
22Rv1	-4160	9.83487897724213
22Rv1	-4150	9.83487897724213
22Rv1	-4140	9.67279586676976
22Rv1	-4130	9.67279586676976
22Rv1	-4120	9.67279586676976
22Rv1	-4110	9.67279586676976
22Rv1	-4100	9.67279586676976
22Rv1	-4090	9.59175431153358
22Rv1	-4080	9.75383742200595
22Rv1	-4070	9.83487897724213
22Rv1	-4060	10.3211283086592
22Rv1	-4050	10.0780036429507
22Rv1	-4040	10.3211283086592
22Rv1	-4030	10.3211283086592
22Rv1	-4020	10.240086753423
22Rv1	-4010	10.240086753423
22Rv1	-4000	10.5642529743678
22Rv1	-3990	10.7263360848401
22Rv1	-3980	10.645294529604
22Rv1	-3970	10.9694607505487
22Rv1	-3960	10.8073776400763
22Rv1	-3950	11.0505023057849
22Rv1	-3940	10.8884191953125
22Rv1	-3930	11.2125854162572
22Rv1	-3920	11.2936269714934
22Rv1	-3910	11.2125854162572
22Rv1	-3900	11.2125854162572
22Rv1	-3890	11.0505023057849
22Rv1	-3880	11.131543861021
22Rv1	-3870	11.6177931924381
22Rv1	-3860	11.6988347476743
22Rv1	-3850	11.6177931924381
22Rv1	-3840	11.2936269714934
22Rv1	-3830	11.6177931924381
22Rv1	-3820	11.7798763029105
22Rv1	-3810	11.8609178581467
22Rv1	-3800	11.7798763029105
22Rv1	-3790	11.7798763029105
22Rv1	-3780	12.023000968619
22Rv1	-3770	12.023000968619
22Rv1	-3760	12.1850840790914
22Rv1	-3750	12.1850840790914
22Rv1	-3740	12.3471671895638
22Rv1	-3730	12.4282087448
22Rv1	-3720	12.5902918552723
22Rv1	-3710	12.3471671895638
22Rv1	-3700	12.6713334105085
22Rv1	-3690	12.7523749657447
22Rv1	-3680	12.6713334105085
22Rv1	-3670	12.5092503000361
22Rv1	-3660	12.2661256343276
22Rv1	-3650	12.2661256343276
22Rv1	-3640	12.3471671895638
22Rv1	-3630	12.3471671895638
22Rv1	-3620	12.023000968619
22Rv1	-3610	11.9419594133829
22Rv1	-3600	11.7798763029105
22Rv1	-3590	12.023000968619
22Rv1	-3580	12.023000968619
22Rv1	-3570	11.7798763029105
22Rv1	-3560	11.9419594133829
22Rv1	-3550	11.9419594133829
22Rv1	-3540	11.8609178581467
22Rv1	-3530	12.023000968619
22Rv1	-3520	11.6177931924381
22Rv1	-3510	12.023000968619
22Rv1	-3500	12.1040425238552
22Rv1	-3490	11.8609178581467
22Rv1	-3480	12.023000968619
22Rv1	-3470	12.1850840790914
22Rv1	-3460	12.1850840790914
22Rv1	-3450	12.2661256343276
